date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Cal State Fullerton,W (2 OT),102,94,33,78,0.423,10,26,0.385,26,44,0.591,18,56,11,3,2,17,26,34,74,0.459,7,24,0.292,19,26,0.731,4,34,7,7,3,17,36,arizona-state,38,30
2018-11-09,,McNeese State,W,80,52,27,58,0.466,5,19,0.263,21,27,0.778,12,38,15,9,6,10,23,15,47,0.319,5,20,0.25,17,29,0.586,7,27,10,1,1,17,22,arizona-state,26,20
2018-11-12,,Long Beach State,W,90,58,29,65,0.446,5,16,0.313,27,36,0.75,16,58,17,7,7,17,23,17,62,0.274,9,31,0.29,15,24,0.625,7,26,14,11,4,15,27,arizona-state,42,19
2018-11-19,N,Mississippi State,W,72,67,26,58,0.448,7,17,0.412,13,18,0.722,11,37,15,5,2,12,13,25,69,0.362,8,30,0.267,9,10,0.9,13,33,16,6,5,10,17,arizona-state,26,20
2018-11-21,N,Utah State,W,87,82,26,52,0.5,7,14,0.5,28,42,0.667,6,26,13,8,3,16,27,25,56,0.446,7,23,0.304,25,33,0.758,8,31,15,6,1,17,28,arizona-state,20,23
2018-11-28,,Omaha,W,89,71,33,64,0.516,8,21,0.381,15,22,0.682,13,39,19,9,5,13,13,28,61,0.459,13,26,0.5,2,5,0.4,3,21,14,5,2,17,19,arizona-state,26,18
2018-12-01,,Texas Southern,W,83,71,31,56,0.5539999999999999,8,25,0.32,13,25,0.52,9,42,18,4,5,19,19,24,67,0.358,10,35,0.28600000000000003,13,22,0.591,9,30,14,10,1,7,22,arizona-state,33,21
2018-12-07,N,Nevada,L,66,72,25,62,0.403,5,20,0.25,11,17,0.647,11,34,13,4,2,16,25,25,55,0.455,3,18,0.16699999999999998,19,24,0.792,3,26,11,3,7,11,15,arizona-state,23,23
2018-12-15,@,Georgia,W,76,74,26,64,0.406,4,16,0.25,20,27,0.741,10,32,8,8,0,12,22,20,47,0.426,8,22,0.364,26,32,0.813,7,33,11,6,7,19,21,arizona-state,22,26
2018-12-17,@,Vanderbilt,L,65,81,21,65,0.32299999999999995,7,24,0.292,16,20,0.8,10,38,9,4,1,10,19,24,55,0.436,12,28,0.429,21,29,0.7240000000000001,4,31,13,3,4,10,18,arizona-state,28,27
