date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,South Alabama,W,101,58,38,74,0.514,18,38,0.474,7,14,0.5,19,40,24,9,8,13,21,17,46,0.37,7,22,0.318,17,22,0.773,6,24,9,4,5,22,17,auburn,21,18
2018-11-09,,Washington,W,88,66,29,70,0.414,12,31,0.387,18,23,0.7829999999999999,17,39,16,8,4,11,20,25,45,0.556,6,14,0.429,10,17,0.588,3,21,10,8,5,18,18,auburn,22,18
2018-11-14,,Mississippi College,W,103,52,37,80,0.46299999999999997,8,33,0.242,21,32,0.6559999999999999,21,62,14,14,7,11,14,18,66,0.273,8,30,0.267,8,16,0.5,8,33,10,2,0,18,23,auburn,41,25
2018-11-19,N,Xavier,W (1 OT),88,79,30,66,0.455,11,35,0.314,17,24,0.708,12,32,16,10,7,12,23,24,61,0.39299999999999996,10,27,0.37,21,24,0.875,15,41,13,7,3,21,20,auburn,20,26
2018-11-20,N,Duke,L,72,78,28,77,0.364,11,32,0.344,5,9,0.556,17,39,14,8,2,9,24,24,54,0.444,7,25,0.28,23,34,0.6759999999999999,13,44,12,6,11,12,13,auburn,22,31
2018-11-21,N,Arizona,W,73,57,27,50,0.54,9,26,0.34600000000000003,10,15,0.667,8,28,10,4,2,14,19,20,47,0.426,10,25,0.4,7,9,0.778,5,21,9,3,0,19,22,auburn,20,16
2018-11-28,,St. Peter's,W,99,49,36,75,0.48,15,31,0.484,12,20,0.6,15,41,25,16,8,13,17,14,52,0.26899999999999996,6,22,0.273,15,21,0.7140000000000001,10,34,8,9,6,26,19,auburn,26,24
2018-12-04,,UNC Asheville,W,67,41,23,48,0.479,9,25,0.36,12,18,0.667,7,30,19,13,12,19,16,14,45,0.311,7,19,0.368,6,8,0.75,3,22,8,5,0,25,15,auburn,23,19
2018-12-08,,Dayton,W,82,72,28,61,0.45899999999999996,12,33,0.364,14,17,0.8240000000000001,10,26,17,10,9,10,10,27,56,0.48200000000000004,11,23,0.478,7,10,0.7,13,35,16,3,2,23,14,auburn,16,22
2018-12-15,N,Alabama-Birmingham,W (1 OT),75,71,22,57,0.386,4,22,0.182,27,34,0.794,13,38,10,2,7,10,16,28,63,0.444,9,29,0.31,6,11,0.545,11,35,11,8,3,11,25,auburn,25,24
