date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Texas Southern,L,69,72,30,67,0.448,6,19,0.316,3,11,0.273,21,40,12,6,5,19,23,25,52,0.481,9,21,0.429,13,21,0.619,11,34,18,5,4,18,17,baylor,19,23
2018-11-10,,Southern,W,80,53,28,63,0.444,9,27,0.333,15,21,0.7140000000000001,14,38,19,8,7,9,20,17,46,0.37,4,12,0.333,15,21,0.7140000000000001,4,24,7,4,2,20,22,baylor,24,20
2018-11-12,,Prairie View,W,91,80,31,51,0.608,11,23,0.478,18,27,0.667,4,28,17,4,11,16,20,28,61,0.459,11,22,0.5,13,25,0.52,11,25,14,8,1,11,22,baylor,24,14
2018-11-16,,Nicholls State,W,81,54,29,63,0.46,10,29,0.345,13,22,0.591,12,35,17,5,6,8,17,18,55,0.327,4,26,0.154,14,18,0.778,8,29,7,4,4,13,20,baylor,23,21
2018-11-23,N,Ole Miss,L,70,78,25,54,0.463,2,18,0.111,18,22,0.818,6,25,11,7,3,18,27,22,56,0.393,5,20,0.25,29,36,0.8059999999999999,9,33,14,8,4,13,21,baylor,19,24
2018-11-24,N,George Mason,W,72,61,21,54,0.389,6,26,0.231,24,29,0.828,8,31,9,6,5,13,25,18,49,0.3670000000000001,2,14,0.14300000000000002,23,31,0.742,4,20,5,4,2,14,23,baylor,23,16
2018-11-27,,South Dakota,W,63,57,23,57,0.404,8,22,0.364,9,19,0.474,11,40,11,3,12,8,14,22,63,0.349,5,23,0.217,8,11,0.727,13,42,9,5,4,8,19,baylor,29,29
2018-12-01,@,Wichita State,L,63,71,23,62,0.371,4,22,0.182,13,16,0.813,12,34,5,4,6,13,18,26,66,0.394,10,32,0.313,9,17,0.529,12,40,13,6,3,14,17,baylor,22,28
2018-12-15,@,Arizona,W,58,49,22,50,0.44,4,19,0.211,10,20,0.5,18,46,10,7,3,20,17,19,53,0.358,9,28,0.321,2,6,0.333,1,14,15,7,3,10,21,baylor,28,13
2018-12-18,,Stephen F. Austin,L,58,59,21,55,0.382,4,24,0.16699999999999998,12,21,0.5710000000000001,13,36,11,14,5,17,16,22,52,0.423,7,17,0.412,8,14,0.5710000000000001,6,30,10,10,5,19,19,baylor,23,24
2018-12-21,,Oregon,W,57,47,21,44,0.477,4,15,0.267,11,18,0.611,9,30,14,7,2,16,14,18,44,0.409,7,18,0.389,4,6,0.667,4,15,12,6,4,16,16,baylor,21,11
2018-12-29,,New Orleans,W,84,44,31,59,0.525,10,25,0.4,12,19,0.632,9,39,22,14,12,14,13,16,61,0.262,7,22,0.318,5,8,0.625,11,31,8,7,4,21,15,baylor,30,20
2019-01-05,@,TCU,L,81,85,29,59,0.4920000000000001,4,16,0.25,19,27,0.7040000000000001,8,27,19,6,1,11,22,30,53,0.5660000000000001,6,14,0.429,19,34,0.5589999999999999,7,27,22,6,3,10,20,baylor,19,20
2019-01-08,,Iowa State,W,73,70,24,55,0.436,8,23,0.348,17,20,0.85,8,28,12,6,3,10,14,28,56,0.5,7,18,0.389,7,8,0.875,4,26,14,6,2,10,17,baylor,20,22
2019-01-12,,Kansas,L,68,73,25,75,0.333,9,31,0.29,9,15,0.6,22,44,13,9,3,14,23,24,44,0.545,9,16,0.563,16,27,0.593,4,26,13,6,11,14,19,baylor,22,22
2019-01-14,@,Oklahoma State,W,73,69,23,55,0.418,15,25,0.6,12,15,0.8,10,34,16,5,6,13,17,22,57,0.386,13,29,0.448,12,17,0.706,12,34,17,5,7,10,12,baylor,24,22
2019-01-19,,Texas Tech,W,73,62,24,58,0.414,11,29,0.379,14,16,0.875,10,29,16,10,1,13,17,21,45,0.467,5,15,0.333,15,19,0.789,7,26,12,8,3,17,18,baylor,19,19
2019-01-21,@,West Virginia,W,85,73,29,58,0.5,8,27,0.29600000000000004,19,31,0.613,13,40,17,7,0,18,26,24,62,0.387,4,17,0.235,21,34,0.618,14,32,11,11,4,13,26,baylor,27,18
2019-01-26,,Alabama,W,73,68,30,67,0.448,6,22,0.273,7,10,0.7,14,33,14,6,5,8,11,29,57,0.509,5,17,0.294,5,7,0.7140000000000001,9,29,17,3,7,12,15,baylor,19,20
2019-01-28,@,Oklahoma,W,77,47,31,57,0.544,10,20,0.5,5,11,0.455,6,35,17,9,5,12,19,15,55,0.273,4,20,0.2,13,17,0.765,8,29,11,3,3,14,14,baylor,29,21
2019-02-02,,TCU,W,90,64,35,63,0.556,15,28,0.536,5,8,0.625,15,40,21,1,10,10,15,24,57,0.421,4,14,0.28600000000000003,12,17,0.706,10,24,9,2,6,9,14,baylor,25,14
2019-02-06,@,Texas,L,72,84,28,57,0.491,7,18,0.389,9,15,0.6,8,26,13,5,1,14,27,27,49,0.551,8,20,0.4,22,34,0.647,8,27,13,5,5,9,16,baylor,18,19
2019-02-09,,Kansas State,L,63,70,25,56,0.446,6,24,0.25,7,11,0.636,14,31,13,5,7,13,17,23,57,0.404,9,26,0.34600000000000003,15,17,0.882,13,29,17,5,2,10,14,baylor,17,16
2019-02-11,,Oklahoma,W,59,53,21,54,0.389,10,22,0.455,7,10,0.7,10,31,15,5,5,10,14,21,54,0.389,3,16,0.188,8,15,0.5329999999999999,13,32,11,8,2,10,14,baylor,21,19
