date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-10,,Illinois State,W,100,89,37,71,0.521,14,34,0.412,12,17,0.706,9,38,26,5,5,10,9,35,72,0.486,13,31,0.419,6,7,0.857,7,31,19,5,7,11,17,belmont,29,24
2018-11-12,,Middle Tennessee,W,92,73,35,65,0.5379999999999999,6,19,0.316,16,24,0.667,6,31,21,10,6,13,16,27,65,0.415,5,18,0.278,14,19,0.737,13,40,10,7,4,21,20,belmont,25,27
2018-11-15,@,Lipscomb,W,87,83,34,62,0.5479999999999999,9,22,0.409,10,16,0.625,5,36,19,6,8,20,23,28,63,0.444,8,21,0.381,19,26,0.731,4,28,16,10,3,14,18,belmont,31,24
2018-11-20,,Trevecca Nazarene,W,104,50,37,64,0.578,14,32,0.438,16,20,0.8,8,46,28,12,3,13,11,17,58,0.293,10,36,0.278,6,6,1.0,2,20,12,4,0,20,16,belmont,38,18
2018-11-24,@,Kennesaw State,W,91,53,35,69,0.507,9,21,0.429,12,16,0.75,13,51,15,8,9,12,15,21,67,0.313,2,9,0.222,9,18,0.5,7,30,5,7,4,10,14,belmont,38,23
2018-11-29,@,Samford,W (1 OT),99,93,36,80,0.45,12,33,0.364,15,26,0.5770000000000001,14,45,21,10,3,10,20,36,81,0.444,6,23,0.261,15,23,0.652,14,43,16,5,5,12,17,belmont,31,29
2018-12-01,@,Green Bay,L,92,100,37,84,0.44,6,31,0.194,12,16,0.75,16,43,18,10,4,12,20,34,67,0.507,11,23,0.478,21,27,0.778,7,36,20,5,6,13,16,belmont,27,29
2018-12-04,,Lipscomb,W,76,74,30,68,0.441,12,30,0.4,4,6,0.667,4,34,21,7,7,11,14,28,68,0.412,7,26,0.269,11,14,0.7859999999999999,8,39,11,5,4,13,13,belmont,30,31
2018-12-15,@,UCLA,W,74,72,27,68,0.397,11,32,0.344,9,14,0.643,11,41,19,6,3,11,20,26,61,0.426,8,28,0.28600000000000003,12,28,0.429,12,42,12,5,5,13,15,belmont,30,30
2018-12-19,,Western Kentucky,W,80,74,30,63,0.476,11,25,0.44,9,12,0.75,2,28,20,11,3,12,15,26,59,0.441,3,15,0.2,19,20,0.95,8,38,11,9,5,16,13,belmont,26,30
