date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-07,,Wisconsin-Parkside,W,74,58,30,63,0.47600000000000003,3,13,0.231,11,15,0.733,16,42,13,13,4,17,15,23,54,0.426,8,28,0.28600000000000003,4,9,0.444,5,22,13,8,3,18,13,bradley,26,17
2018-11-10,,Southeast Missouri State,W,68,57,19,49,0.38799999999999996,8,23,0.348,22,32,0.688,8,33,14,9,6,12,23,18,57,0.316,4,23,0.174,17,25,0.68,11,37,9,3,2,15,28,bradley,25,26
2018-11-14,,Jacksonville State,W,74,65,26,47,0.5529999999999999,4,13,0.308,18,24,0.75,4,28,18,8,4,14,16,26,57,0.456,8,19,0.42100000000000004,5,9,0.556,7,24,22,7,2,14,23,bradley,24,17
2018-11-17,@,UIC,L,70,71,24,56,0.429,7,19,0.368,15,22,0.682,7,27,13,6,1,11,21,24,52,0.462,9,24,0.375,14,22,0.636,7,30,18,3,9,15,24,bradley,20,23
2018-11-20,N,SMU,W,75,62,26,51,0.51,5,18,0.278,18,26,0.6920000000000001,9,30,9,5,5,12,15,19,52,0.365,7,24,0.292,17,22,0.773,10,27,6,4,1,14,23,bradley,21,17
2018-11-21,N,Penn State,W,59,56,21,49,0.429,8,24,0.33299999999999996,9,17,0.529,5,25,13,5,3,12,18,17,59,0.28800000000000003,4,27,0.14800000000000002,18,22,0.818,19,43,6,7,3,12,19,bradley,20,24
2018-11-24,,Chicago State,W,86,70,30,59,0.508,9,22,0.409,17,18,0.9440000000000001,10,31,22,9,4,9,23,19,48,0.396,7,12,0.583,25,30,0.833,6,25,15,6,3,12,19,bradley,21,19
2018-11-28,@,IUPUI,L,73,85,26,58,0.44799999999999995,8,23,0.348,13,19,0.684,6,26,12,6,1,10,28,25,49,0.51,6,17,0.353,29,39,0.7440000000000001,6,30,15,4,4,11,21,bradley,20,24
2018-12-01,,New Mexico,L,75,85,25,58,0.431,7,20,0.35,18,29,0.621,10,32,11,6,3,13,21,26,60,0.433,12,32,0.375,21,24,0.875,11,38,15,8,0,17,24,bradley,22,27
2018-12-04,@,Little Rock,W,68,62,22,55,0.4,9,25,0.36,15,24,0.625,13,28,12,5,5,15,20,24,47,0.511,4,14,0.28600000000000003,10,22,0.455,9,33,14,6,3,20,24,bradley,15,24
2018-12-15,,Eastern Illinois,L,66,73,24,55,0.436,5,17,0.294,13,20,0.65,13,41,13,4,4,13,15,24,57,0.42100000000000004,13,24,0.542,12,15,0.8,7,27,15,5,1,8,20,bradley,28,20
2018-12-18,@,Georgia Southern,L (1 OT),74,79,27,59,0.45799999999999996,7,19,0.368,13,20,0.65,7,35,11,7,3,28,31,24,58,0.414,5,18,0.278,26,39,0.667,10,36,8,13,3,25,21,bradley,28,26
2018-12-22,,Southeastern Louisiana,W,63,60,16,47,0.34,5,15,0.33299999999999996,26,39,0.667,11,28,8,4,6,9,18,20,47,0.426,11,23,0.478,9,14,0.643,10,33,15,1,2,16,30,bradley,17,23
2019-01-02,,Northern Iowa,L,47,65,18,48,0.375,5,17,0.294,6,8,0.75,5,27,12,4,3,12,10,25,56,0.446,10,22,0.455,5,7,0.7140000000000001,9,32,17,7,2,7,12,bradley,22,23
2019-01-05,@,Indiana State,L,60,65,20,60,0.33299999999999996,3,20,0.15,17,23,0.7390000000000001,11,45,5,6,5,16,29,16,51,0.314,3,17,0.17600000000000002,30,47,0.638,9,40,5,2,2,12,21,bradley,34,31
2019-01-08,@,Valparaiso,L,50,61,17,55,0.309,5,18,0.278,11,14,0.7859999999999999,6,26,7,9,3,13,16,24,49,0.49,8,22,0.364,5,9,0.556,4,32,18,8,3,14,18,bradley,20,28
2019-01-12,,Missouri State,L,64,69,18,42,0.429,10,19,0.526,18,25,0.72,12,30,9,4,7,20,18,27,51,0.529,2,13,0.154,13,19,0.684,7,21,9,12,1,10,20,bradley,18,14
2019-01-16,,Drake,L,52,69,19,61,0.311,3,15,0.2,11,17,0.647,13,28,8,14,4,11,14,26,50,0.52,9,22,0.409,8,12,0.667,7,38,16,7,2,18,17,bradley,15,31
2019-01-20,@,Southern Illinois,W,57,54,19,54,0.35200000000000004,7,20,0.35,12,17,0.706,11,37,8,5,3,7,15,20,51,0.392,5,18,0.278,9,14,0.643,6,30,12,4,5,9,14,bradley,26,24
2019-01-23,,Illinois State,W,85,68,31,54,0.574,10,17,0.588,13,19,0.684,6,40,19,2,3,10,18,23,61,0.377,7,25,0.28,15,19,0.789,5,26,13,4,2,8,20,bradley,34,21
2019-01-26,@,Missouri State,L,37,55,16,42,0.381,2,10,0.2,3,10,0.3,3,22,5,3,3,13,17,17,48,0.354,8,19,0.42100000000000004,13,17,0.765,8,31,11,6,4,10,17,bradley,19,23
2019-01-30,@,Evansville,W,81,73,30,58,0.517,9,16,0.563,12,18,0.667,9,38,10,4,2,13,17,26,57,0.456,11,32,0.344,10,17,0.588,6,27,14,7,3,10,15,bradley,29,21
2019-02-02,,Southern Illinois,L,68,72,27,64,0.42200000000000004,8,23,0.348,6,10,0.6,14,35,18,3,2,10,17,24,55,0.436,5,16,0.313,19,24,0.792,10,36,9,6,3,7,16,bradley,21,26
2019-02-06,@,Northern Iowa,W,79,71,28,51,0.5489999999999999,11,20,0.55,12,16,0.75,4,30,9,5,2,8,11,25,56,0.446,10,21,0.47600000000000003,11,12,0.917,4,25,7,3,1,8,16,bradley,26,21
2019-02-09,,Indiana State,W,96,67,33,58,0.569,14,25,0.56,16,25,0.64,7,43,19,4,5,13,20,23,60,0.38299999999999995,6,22,0.273,15,18,0.833,3,25,11,5,1,11,22,bradley,36,22
2019-02-13,,Loyola (IL),W,61,54,23,50,0.46,5,16,0.313,10,13,0.769,8,29,11,6,2,13,10,22,50,0.44,5,20,0.25,5,11,0.455,6,26,9,10,3,13,12,bradley,21,20
2019-02-16,@,Illinois State,W,65,59,22,52,0.423,9,18,0.5,12,19,0.632,6,33,13,3,7,6,16,23,65,0.354,6,26,0.231,7,13,0.5379999999999999,11,38,12,2,1,7,15,bradley,27,27
