date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Rider,W,84,70,27,59,0.45799999999999996,5,22,0.22699999999999998,25,45,0.556,11,44,14,5,10,11,22,27,69,0.391,7,17,0.41200000000000003,9,24,0.375,10,35,15,6,1,17,32,central-florida,33,25
2018-11-11,,Florida Atlantic,L,79,80,28,56,0.5,6,20,0.3,17,26,0.654,9,29,14,5,2,12,19,28,67,0.418,12,34,0.353,12,18,0.667,15,36,14,6,1,13,27,central-florida,20,21
2018-11-15,N,Cal State Fullerton,W,68,52,26,60,0.433,4,15,0.267,12,19,0.632,9,39,12,7,5,10,17,19,55,0.345,4,17,0.235,10,18,0.556,5,25,12,6,4,12,20,central-florida,30,20
2018-11-16,N,St. Joseph's,W,77,57,32,58,0.552,10,21,0.47600000000000003,3,4,0.75,9,35,14,8,4,11,13,21,55,0.382,9,25,0.36,6,13,0.462,8,23,12,6,3,11,9,central-florida,26,15
2018-11-18,N,Western Kentucky,W,78,62,28,55,0.509,10,20,0.5,12,24,0.5,7,31,20,7,3,11,17,22,55,0.4,4,12,0.33299999999999996,14,21,0.667,8,28,15,7,4,15,24,central-florida,24,20
2018-11-24,,Northern Kentucky,W,66,53,22,50,0.44,5,14,0.35700000000000004,17,36,0.47200000000000003,9,48,14,1,5,8,17,19,59,0.322,8,31,0.258,7,17,0.41200000000000003,6,30,14,2,3,5,28,central-florida,39,24
2018-11-29,,Alabama,W,70,64,21,45,0.467,5,15,0.33299999999999996,23,36,0.639,3,24,12,5,6,9,14,25,66,0.379,5,24,0.20800000000000002,9,14,0.643,16,39,14,3,5,14,24,central-florida,21,23
2018-12-02,@,Missouri,L (1 OT),62,64,19,40,0.475,6,20,0.3,18,23,0.7829999999999999,7,30,9,5,8,13,18,23,63,0.365,12,29,0.414,6,11,0.545,15,30,7,6,0,10,21,central-florida,23,15
2018-12-08,,Grambling,W,70,45,20,49,0.408,8,17,0.47100000000000003,22,31,0.71,8,39,11,6,7,14,15,17,58,0.293,3,16,0.188,8,18,0.444,11,29,6,5,3,12,27,central-florida,31,18
2018-12-11,,Georgia Southern,W,95,88,33,66,0.5,12,27,0.444,17,23,0.7390000000000001,9,33,18,1,5,11,14,37,68,0.544,7,16,0.43799999999999994,7,12,0.583,4,25,17,7,3,9,19,central-florida,24,21
2018-12-16,,Stetson,W,90,65,29,62,0.46799999999999997,10,28,0.35700000000000004,22,31,0.71,8,40,18,4,7,6,15,23,69,0.33299999999999996,7,26,0.26899999999999996,12,16,0.75,10,35,10,6,1,7,24,central-florida,32,25
2018-12-21,,Illinois State,W,77,56,30,59,0.508,7,18,0.389,10,15,0.667,10,34,14,9,5,8,14,19,53,0.358,8,28,0.28600000000000003,10,13,0.769,9,27,14,0,1,16,19,central-florida,24,18
