date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,@,NJIT,L (1 OT),78,81,25,53,0.47200000000000003,6,18,0.33299999999999996,22,27,0.815,12,35,14,2,5,11,19,26,55,0.473,11,21,0.524,18,27,0.667,8,25,14,5,3,7,22,colgate,23,17
2018-11-09,,Monmouth,W,87,74,26,56,0.46399999999999997,13,29,0.44799999999999995,22,28,0.7859999999999999,10,35,17,2,1,18,24,22,57,0.386,6,18,0.33299999999999996,24,28,0.857,11,29,13,8,4,18,24,colgate,25,18
2018-11-11,@,Cornell,W,73,57,32,64,0.5,2,13,0.154,7,11,0.636,6,37,16,5,2,10,14,23,59,0.39,4,28,0.14300000000000002,7,17,0.41200000000000003,7,30,15,6,3,14,12,colgate,31,23
2018-11-14,,Nazareth,W,86,68,35,68,0.515,5,18,0.278,11,16,0.688,7,42,13,5,8,8,21,23,64,0.359,4,19,0.21100000000000002,18,24,0.75,7,33,8,6,2,9,14,colgate,35,26
2018-11-19,,Binghamton,W,76,68,28,59,0.475,8,21,0.381,12,19,0.632,11,47,14,3,3,10,12,27,77,0.35100000000000003,7,26,0.26899999999999996,7,11,0.636,13,34,10,8,6,3,17,colgate,36,21
2018-11-21,@,Syracuse,L,56,77,18,51,0.353,12,40,0.3,8,10,0.8,5,24,14,4,1,15,20,26,60,0.433,7,20,0.35,18,30,0.6,17,41,13,13,3,9,14,colgate,19,24
2018-11-24,@,Siena,W,84,79,29,53,0.547,11,23,0.478,15,19,0.789,6,26,15,3,1,9,17,32,60,0.5329999999999999,5,23,0.217,10,18,0.556,9,27,15,7,2,7,19,colgate,20,18
2018-11-30,@,South Florida,L,63,73,20,51,0.392,11,30,0.3670000000000001,12,19,0.632,8,27,12,5,2,20,23,22,47,0.46799999999999997,5,15,0.33299999999999996,24,33,0.727,6,24,9,11,4,13,19,colgate,19,18
2018-12-02,@,Florida Gulf Coast,W,74,56,26,58,0.44799999999999995,7,19,0.368,15,19,0.789,5,34,13,5,7,12,9,23,71,0.324,5,26,0.192,5,8,0.625,15,37,9,8,8,10,15,colgate,29,22
2018-12-05,@,Columbia,W,64,62,26,59,0.441,8,26,0.308,4,8,0.5,9,33,12,7,3,12,10,25,59,0.424,11,31,0.355,1,1,1.0,8,32,16,8,2,15,10,colgate,24,24
2018-12-08,@,Penn State,L,65,76,25,54,0.46299999999999997,10,21,0.47600000000000003,5,8,0.625,2,24,14,9,4,13,15,25,60,0.41700000000000004,10,26,0.385,16,19,0.8420000000000001,12,39,15,7,5,16,13,colgate,22,27
2018-12-15,,Marist,W,82,66,26,52,0.5,6,21,0.28600000000000003,24,30,0.8,11,43,13,4,3,16,19,23,60,0.38299999999999995,7,28,0.25,13,22,0.591,4,22,12,9,0,11,27,colgate,32,18
2018-12-29,@,Pitt,L,54,68,21,70,0.3,4,24,0.16699999999999998,8,13,0.615,22,46,9,7,0,15,17,23,53,0.434,7,23,0.304,15,22,0.682,9,30,11,9,13,13,12,colgate,24,21
2019-01-03,@,Navy,L,66,72,24,65,0.369,9,34,0.265,9,12,0.75,13,33,17,7,2,12,16,27,56,0.48200000000000004,9,20,0.45,9,10,0.9,9,32,16,5,3,16,17,colgate,20,23
2019-01-06,,American,W,73,69,27,58,0.466,7,19,0.368,12,17,0.706,10,32,19,5,2,12,13,25,50,0.5,8,21,0.381,11,17,0.647,4,24,12,8,2,14,18,colgate,22,20
2019-01-09,@,Bucknell,L,81,84,31,66,0.47,9,27,0.33299999999999996,10,14,0.7140000000000001,13,40,15,4,6,17,19,27,62,0.435,9,24,0.375,21,26,0.8079999999999999,9,26,17,10,6,8,16,colgate,27,17
2019-01-12,,Lehigh,W,91,78,36,67,0.537,11,30,0.3670000000000001,8,13,0.615,7,29,23,11,3,5,11,32,62,0.516,9,20,0.45,5,7,0.7140000000000001,8,35,16,3,2,15,16,colgate,22,27
2019-01-16,@,Army,L,81,91,32,68,0.47100000000000003,13,27,0.48100000000000004,4,7,0.5710000000000001,13,33,13,8,2,14,19,31,52,0.596,12,22,0.545,17,25,0.68,3,27,14,7,0,12,14,colgate,20,24
2019-01-19,@,Boston University,W,77,56,28,56,0.5,7,19,0.368,14,18,0.778,9,34,12,7,4,6,15,20,54,0.37,7,24,0.292,9,10,0.9,8,29,11,3,1,12,16,colgate,25,21
2019-01-23,,Lafayette,W,57,47,21,49,0.429,3,13,0.231,12,16,0.75,2,33,11,7,1,13,10,18,54,0.33299999999999996,8,24,0.33299999999999996,3,4,0.75,0,23,10,6,6,11,17,colgate,31,23
