date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Florida,W,81,60,23,48,0.479,11,23,0.478,24,34,0.706,6,28,10,9,2,16,22,20,54,0.37,6,24,0.25,14,21,0.667,7,27,9,5,3,16,26,florida-state,22,20
2018-11-11,@,Tulane,W,80,69,29,60,0.483,6,19,0.316,16,24,0.667,10,34,14,8,4,14,21,23,52,0.442,8,23,0.348,15,24,0.625,4,22,16,4,4,17,22,florida-state,24,18
2018-11-19,,Canisius,W,93,61,31,59,0.525,7,14,0.5,24,30,0.8,13,37,19,9,3,15,15,22,52,0.423,8,21,0.381,9,15,0.6,5,21,10,4,6,18,23,florida-state,24,16
2018-11-22,N,Alabama-Birmingham,W,81,63,26,53,0.491,6,18,0.33299999999999996,23,26,0.885,8,37,12,7,5,18,22,19,58,0.32799999999999996,2,14,0.14300000000000002,23,28,0.821,9,23,6,9,1,14,21,florida-state,29,14
2018-11-23,N,LSU,W (1 OT),79,76,29,76,0.382,9,26,0.34600000000000003,12,17,0.706,19,38,15,11,1,12,15,27,52,0.519,11,26,0.423,11,13,0.846,4,28,16,6,7,17,20,florida-state,19,24
2018-11-25,N,Villanova,L,60,66,22,51,0.431,3,12,0.25,13,17,0.765,12,26,7,3,2,16,23,23,43,0.535,3,14,0.214,17,24,0.708,5,22,6,8,2,12,15,florida-state,14,17
2018-11-28,,Purdue,W,73,72,24,55,0.436,8,28,0.28600000000000003,17,20,0.85,8,25,12,6,3,17,24,22,51,0.431,11,30,0.3670000000000001,17,25,0.68,9,29,11,5,0,20,19,florida-state,17,20
2018-12-03,,Troy,W,83,67,29,69,0.42,10,29,0.345,15,20,0.75,15,41,14,9,3,17,18,23,52,0.442,5,19,0.263,16,18,0.889,4,26,10,8,5,22,17,florida-state,26,22
2018-12-08,N,UConn,W,79,71,25,55,0.455,6,17,0.353,23,32,0.7190000000000001,9,33,6,11,5,21,27,23,61,0.377,7,21,0.33299999999999996,18,26,0.6920000000000001,13,32,7,7,5,19,28,florida-state,24,19
2018-12-17,,Southeast Missouri State,W,85,68,31,62,0.5,7,26,0.26899999999999996,16,25,0.64,15,43,15,6,5,15,13,25,59,0.424,14,37,0.37799999999999995,4,10,0.4,4,25,14,6,1,11,21,florida-state,28,21
2018-12-19,,North Florida,W,95,81,40,79,0.506,3,23,0.13,12,13,0.9229999999999999,14,34,17,11,3,6,20,27,54,0.5,10,25,0.4,17,26,0.654,9,27,12,2,1,19,15,florida-state,20,18
2018-12-22,N,Saint Louis,W,81,59,31,56,0.5539999999999999,10,18,0.556,9,11,0.818,7,33,13,10,3,19,21,19,63,0.302,3,14,0.214,18,25,0.72,19,36,5,12,4,17,11,florida-state,26,17
2019-01-01,,Winthrop,W,87,76,30,64,0.469,8,22,0.364,19,29,0.655,10,31,11,13,8,11,19,29,59,0.4920000000000001,6,23,0.261,12,19,0.632,7,29,7,1,5,21,22,florida-state,21,22
2019-01-05,@,Virginia,L,52,65,15,44,0.341,6,23,0.261,16,27,0.593,6,29,8,9,6,13,19,21,52,0.40399999999999997,7,16,0.43799999999999994,16,18,0.889,6,32,12,4,2,10,16,florida-state,23,26
2019-01-09,,Miami (FL),W,68,62,27,64,0.42200000000000004,6,26,0.231,8,13,0.615,11,38,15,7,3,9,20,20,54,0.37,4,18,0.222,18,22,0.818,8,29,10,3,0,12,15,florida-state,27,21
2019-01-12,,Duke,L,78,80,25,62,0.40299999999999997,8,25,0.32,20,24,0.833,16,36,16,8,7,17,14,30,65,0.462,11,24,0.45799999999999996,9,15,0.6,9,27,14,7,3,14,15,florida-state,20,18
2019-01-14,@,Pitt,L,62,75,20,58,0.345,2,22,0.091,20,27,0.741,14,38,8,7,8,12,31,16,46,0.348,5,17,0.294,38,46,0.826,7,34,8,7,6,12,19,florida-state,24,27
2019-01-20,@,Boston College,L,82,87,28,67,0.418,8,25,0.32,18,24,0.75,16,36,12,4,4,9,25,27,55,0.491,13,21,0.619,20,28,0.7140000000000001,10,33,16,6,4,13,20,florida-state,20,23
2019-01-22,,Clemson,W,77,68,25,55,0.455,10,22,0.455,17,21,0.81,5,28,14,1,1,8,15,26,58,0.44799999999999995,5,17,0.294,11,14,0.7859999999999999,6,31,13,1,1,11,17,florida-state,23,25
2019-01-27,@,Miami (FL),W,78,66,28,50,0.56,12,20,0.6,10,14,0.7140000000000001,5,32,20,5,4,14,17,23,55,0.418,7,29,0.24100000000000002,13,18,0.722,5,23,11,5,3,9,17,florida-state,27,18
