date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,@,Florida State,L,60,81,20,54,0.37,6,24,0.25,14,21,0.667,7,27,9,5,3,16,26,23,48,0.479,11,23,0.478,24,34,0.706,6,28,10,9,2,16,22,florida,20,22
2018-11-09,,Charleston Southern,W,76,46,26,56,0.46399999999999997,8,28,0.28600000000000003,16,22,0.727,4,36,14,12,5,7,19,14,55,0.255,5,28,0.179,13,19,0.684,7,32,6,2,1,18,19,florida,32,25
2018-11-14,,La Salle,W,82,69,30,54,0.556,3,13,0.231,19,26,0.731,7,24,14,9,1,12,15,25,53,0.47200000000000003,8,24,0.33299999999999996,11,18,0.611,8,26,10,9,1,17,22,florida,17,18
2018-11-21,N,Oklahoma,L,60,65,23,59,0.39,11,28,0.39299999999999996,3,11,0.273,5,30,15,9,6,10,14,25,64,0.391,4,18,0.222,11,15,0.733,14,45,13,6,8,14,13,florida,25,31
2018-11-22,N,Stanford,W,72,49,29,56,0.518,7,15,0.467,7,10,0.7,7,30,10,15,3,9,17,16,43,0.3720000000000001,8,22,0.364,9,12,0.75,4,22,10,2,2,19,11,florida,23,18
2018-11-23,N,Butler,L,54,61,18,52,0.34600000000000003,8,27,0.29600000000000004,10,16,0.625,9,27,11,2,4,7,14,21,48,0.43799999999999994,7,20,0.35,12,17,0.706,5,31,11,3,2,8,17,florida,18,26
2018-11-27,,North Florida,W,98,66,39,69,0.565,16,28,0.5710000000000001,4,6,0.667,13,40,26,11,6,11,17,24,58,0.414,9,26,0.34600000000000003,9,11,0.818,9,23,15,5,0,15,8,florida,27,14
2018-12-04,N,West Virginia,W,66,56,16,48,0.33299999999999996,6,21,0.28600000000000003,28,46,0.609,8,37,12,13,7,15,22,19,64,0.297,7,23,0.304,11,20,0.55,12,42,9,8,3,21,30,florida,29,30
2018-12-08,,Michigan State,L,59,63,23,63,0.365,6,24,0.25,7,12,0.583,14,29,7,7,3,9,12,26,51,0.51,4,15,0.267,7,8,0.875,8,32,14,5,3,13,11,florida,15,24
2018-12-18,,Mercer,W,71,63,24,57,0.42100000000000004,12,33,0.364,11,15,0.733,8,34,16,4,7,11,13,23,57,0.40399999999999997,7,23,0.304,10,15,0.667,8,30,8,6,2,12,18,florida,26,22
2018-12-22,N,Florida Gulf Coast,W,77,56,28,63,0.444,11,30,0.3670000000000001,10,14,0.7140000000000001,12,31,17,7,5,11,23,18,45,0.4,2,14,0.14300000000000002,18,27,0.667,7,29,10,7,3,19,16,florida,19,22
2018-12-29,,Butler,W,77,43,30,56,0.536,10,21,0.47600000000000003,7,11,0.636,12,43,12,6,6,12,14,15,49,0.306,5,24,0.20800000000000002,8,13,0.615,2,14,7,7,2,10,10,florida,31,12
2019-01-05,,South Carolina,L,69,71,23,61,0.377,9,31,0.29,14,20,0.7,10,30,12,11,4,15,25,23,51,0.451,7,18,0.389,18,25,0.72,11,32,11,9,4,21,23,florida,20,21
2019-01-09,@,Arkansas,W,57,51,18,58,0.31,6,26,0.231,15,19,0.789,8,35,9,4,2,10,24,15,50,0.3,6,26,0.231,15,26,0.5770000000000001,7,35,10,5,5,15,20,florida,27,28
2019-01-12,,Tennessee,L,67,78,19,54,0.35200000000000004,12,32,0.375,17,21,0.81,6,23,11,4,1,12,16,29,55,0.527,9,23,0.391,11,14,0.7859999999999999,10,32,15,7,3,12,19,florida,17,22
2019-01-15,@,Mississippi State,L,68,71,25,59,0.424,10,31,0.32299999999999995,8,10,0.8,12,28,18,7,4,10,12,26,49,0.531,10,17,0.588,9,11,0.818,6,27,19,7,5,13,12,florida,16,21
2019-01-19,@,Georgia,W,62,52,22,56,0.39299999999999996,10,27,0.37,8,14,0.5710000000000001,11,25,12,9,6,9,18,17,43,0.395,5,14,0.35700000000000004,13,19,0.684,13,37,10,3,2,20,17,florida,14,24
2019-01-22,,Texas A&M,W,81,72,29,62,0.46799999999999997,18,37,0.486,5,5,1.0,12,34,16,8,6,16,10,28,59,0.475,9,22,0.409,7,10,0.7,8,25,14,7,3,15,12,florida,22,17
2019-01-26,@,TCU,L,50,55,19,62,0.306,8,27,0.29600000000000004,4,5,0.8,10,26,14,7,8,9,15,18,50,0.36,5,20,0.25,14,19,0.737,9,35,10,5,6,14,10,florida,16,26
2019-01-30,,Ole Miss,W (1 OT),90,86,31,63,0.4920000000000001,11,26,0.423,17,22,0.773,8,27,18,6,1,13,20,29,63,0.46,6,23,0.261,22,26,0.846,13,37,10,7,1,16,23,florida,19,24
2019-02-02,,Kentucky,L,54,65,22,63,0.349,5,19,0.263,5,10,0.5,11,32,7,7,6,9,15,23,56,0.41100000000000003,6,21,0.28600000000000003,13,16,0.813,12,42,13,4,2,12,12,florida,21,30
2019-02-05,@,Auburn,L,62,76,23,50,0.46,4,20,0.2,12,12,1.0,5,25,9,3,2,17,22,25,52,0.48100000000000004,9,25,0.36,17,27,0.63,10,28,14,8,2,10,16,florida,20,18
2019-02-09,@,Tennessee,L,61,73,21,59,0.35600000000000004,8,26,0.308,11,16,0.688,13,30,11,6,5,11,19,28,53,0.528,6,14,0.429,11,16,0.688,7,28,17,2,4,13,16,florida,17,21
2019-02-13,,Vanderbilt,W,66,57,19,57,0.33299999999999996,5,22,0.22699999999999998,23,28,0.821,12,37,4,12,3,12,22,18,51,0.353,5,24,0.20800000000000002,16,21,0.762,9,33,9,6,2,19,24,florida,25,24
2019-02-16,@,Alabama,W,71,53,27,50,0.54,6,19,0.316,11,14,0.7859999999999999,4,29,11,6,2,8,20,19,43,0.442,5,19,0.263,10,22,0.455,4,20,6,4,4,10,12,florida,25,16
