date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,@,VCU,L,57,69,20,52,0.385,5,16,0.313,12,20,0.6,6,25,12,6,5,20,17,25,59,0.424,7,23,0.304,12,18,0.667,10,32,14,10,7,18,18,gardner-webb,19,22
2018-11-09,@,Virginia Tech,L,59,87,21,45,0.467,6,21,0.28600000000000003,11,21,0.524,2,22,11,3,5,29,19,32,63,0.508,10,25,0.4,13,19,0.684,9,29,20,16,3,20,25,gardner-webb,20,20
2018-11-13,@,Furman,L (1 OT),86,88,32,64,0.5,9,22,0.409,13,20,0.65,5,31,12,8,1,11,19,35,66,0.53,8,23,0.348,10,17,0.588,7,31,21,7,3,11,16,gardner-webb,26,24
2018-11-16,@,Savannah State,W,97,77,36,66,0.545,10,29,0.345,15,18,0.833,8,42,23,7,1,13,17,26,70,0.371,12,47,0.255,13,19,0.684,8,29,12,5,5,13,14,gardner-webb,34,21
2018-11-23,N,Eastern Illinois,L,78,79,27,51,0.529,8,14,0.5710000000000001,16,21,0.762,3,20,8,6,0,6,15,30,59,0.508,12,26,0.462,7,9,0.778,9,31,8,4,3,10,15,gardner-webb,17,22
2018-11-24,N,UNC Wilmington,W,81,72,28,58,0.483,12,24,0.5,13,22,0.591,6,27,15,7,3,10,18,23,50,0.46,9,23,0.391,17,21,0.81,3,26,10,4,3,16,24,gardner-webb,21,23
2018-11-25,N,Arkansas State,L,69,77,21,53,0.396,7,20,0.35,20,25,0.8,5,16,10,9,1,9,21,25,49,0.51,6,16,0.375,21,25,0.84,8,33,11,5,2,16,20,gardner-webb,11,25
2018-11-28,@,USC Upstate,W,74,61,28,57,0.491,4,18,0.222,14,16,0.875,9,31,12,7,3,9,16,20,57,0.35100000000000003,10,29,0.345,11,16,0.688,16,38,10,3,2,15,20,gardner-webb,22,22
2018-12-01,,Savannah State,W,97,60,36,72,0.5,11,32,0.344,14,20,0.7,15,47,28,10,6,10,13,21,74,0.284,13,45,0.289,5,12,0.41700000000000004,14,34,16,7,1,15,13,gardner-webb,32,20
2018-12-06,,Bob Jones University,W,105,37,40,78,0.513,13,24,0.542,12,20,0.6,19,51,24,13,7,5,14,11,51,0.21600000000000005,1,18,0.055999999999999994,14,18,0.778,9,24,5,2,0,19,14,gardner-webb,32,15
2018-12-08,,Johnson & Wales (NC),W,102,55,40,74,0.541,10,21,0.47600000000000003,12,20,0.6,15,45,23,15,9,9,15,18,58,0.31,12,36,0.33299999999999996,7,10,0.7,6,21,12,6,4,22,13,gardner-webb,30,15
2018-12-13,,Kennesaw State,W (1 OT),81,77,25,57,0.439,8,21,0.381,23,30,0.767,7,29,11,5,1,10,24,27,64,0.42200000000000004,3,9,0.33299999999999996,20,28,0.7140000000000001,15,40,10,2,8,14,23,gardner-webb,22,25
2018-12-17,@,Georgia Tech,W,79,69,31,59,0.525,6,15,0.4,11,15,0.733,6,29,19,7,1,8,10,28,63,0.444,6,23,0.261,7,10,0.7,9,32,13,5,4,11,15,gardner-webb,23,23
2018-12-19,,Brevard,W,106,29,38,54,0.7040000000000001,9,14,0.643,21,28,0.75,10,47,23,12,6,13,14,9,50,0.18,3,25,0.12,8,15,0.5329999999999999,3,13,4,3,1,19,17,gardner-webb,37,10
2018-12-29,@,Wake Forest,W,73,69,18,51,0.353,2,15,0.133,35,40,0.875,7,34,11,11,1,17,26,17,52,0.327,7,25,0.28,28,37,0.757,11,34,7,7,5,18,29,gardner-webb,27,23
2019-01-05,@,Campbell,L,61,72,21,53,0.396,6,26,0.231,13,18,0.722,9,36,9,4,3,13,19,26,63,0.413,10,33,0.303,10,13,0.769,7,32,16,2,2,5,16,gardner-webb,27,25
2019-01-12,,USC Upstate,W,64,59,20,42,0.47600000000000003,7,11,0.636,17,22,0.773,5,25,11,8,5,18,11,20,50,0.4,11,31,0.355,8,8,1.0,6,23,11,8,1,20,21,gardner-webb,20,17
2019-01-17,@,Radford,L,58,75,22,48,0.45799999999999996,5,14,0.35700000000000004,9,14,0.643,5,21,7,4,2,9,10,28,57,0.491,13,26,0.5,6,9,0.667,9,32,19,4,1,8,14,gardner-webb,16,23
2019-01-19,,Hampton,W (1 OT),87,74,27,61,0.44299999999999995,10,22,0.455,23,35,0.657,7,41,18,7,4,10,25,23,69,0.33299999999999996,4,23,0.174,24,34,0.706,12,46,12,6,3,10,23,gardner-webb,34,34
2019-01-24,@,Winthrop,L,88,97,32,63,0.508,10,26,0.385,14,23,0.609,5,28,14,8,0,10,24,31,62,0.5,15,36,0.41700000000000004,20,28,0.7140000000000001,10,39,14,4,2,12,18,gardner-webb,23,29
2019-01-26,@,Charleston Southern,L,60,74,19,58,0.32799999999999996,7,27,0.259,15,18,0.833,6,31,8,8,3,11,18,24,60,0.4,8,28,0.28600000000000003,18,18,1.0,7,35,18,9,3,11,12,gardner-webb,25,28
2019-01-30,,High Point,W,69,67,25,52,0.48100000000000004,12,24,0.5,7,12,0.583,4,21,17,9,4,12,15,27,55,0.491,3,18,0.16699999999999998,10,16,0.625,12,37,16,8,5,16,12,gardner-webb,17,25
2019-02-02,,UNC Asheville,W (1 OT),82,81,32,56,0.5710000000000001,10,25,0.4,8,12,0.667,6,24,22,7,2,10,10,28,51,0.5489999999999999,12,23,0.522,13,16,0.813,6,25,14,5,2,12,12,gardner-webb,18,19
2019-02-07,@,Longwood,W (1 OT),89,88,30,60,0.5,9,24,0.375,20,26,0.769,5,33,15,4,2,12,19,30,71,0.423,14,40,0.35,14,17,0.8240000000000001,10,36,14,4,2,11,22,gardner-webb,28,26
2019-02-09,@,Presbyterian,L (1 OT),101,103,32,57,0.561,12,27,0.444,25,32,0.7809999999999999,5,29,13,6,0,17,18,36,69,0.522,12,33,0.364,19,24,0.792,6,28,21,10,1,12,22,gardner-webb,24,22
2019-02-13,,Charleston Southern,W,77,74,26,54,0.48100000000000004,11,20,0.55,14,17,0.8240000000000001,4,33,13,4,2,14,11,26,65,0.4,14,33,0.424,8,15,0.5329999999999999,11,31,17,9,5,8,12,gardner-webb,29,20
2019-02-16,,Winthrop,W,64,60,24,60,0.4,5,18,0.278,11,18,0.611,5,34,11,9,2,6,11,22,69,0.319,10,40,0.25,6,6,1.0,12,47,13,1,3,14,14,gardner-webb,29,35
2019-02-21,@,UNC Asheville,W,65,55,25,54,0.46299999999999997,4,11,0.364,11,17,0.647,3,29,12,5,3,10,12,21,53,0.396,7,22,0.318,6,9,0.667,5,29,13,9,4,10,16,gardner-webb,26,24
2019-02-23,@,High Point,L,79,87,26,45,0.578,11,23,0.478,16,25,0.64,5,19,11,2,3,11,17,31,61,0.508,12,22,0.545,13,16,0.813,13,31,23,4,0,7,16,gardner-webb,14,18
2019-02-27,,Presbyterian,W,78,70,30,64,0.469,7,22,0.318,11,16,0.688,8,37,17,5,3,8,13,27,65,0.415,9,32,0.281,7,11,0.636,12,36,13,4,5,10,16,gardner-webb,29,24
2019-03-02,,Longwood,W,66,47,23,49,0.469,6,20,0.3,14,24,0.583,5,41,15,5,2,14,15,15,54,0.278,3,22,0.136,14,24,0.583,6,30,6,10,0,11,19,gardner-webb,36,24
2019-03-07,N,High Point,W,75,69,25,50,0.5,6,18,0.33299999999999996,19,26,0.731,5,28,13,5,5,10,15,24,57,0.42100000000000004,8,20,0.4,13,17,0.765,7,27,15,7,4,11,17,gardner-webb,23,20
2019-03-08,@,Campbell,W,79,74,28,47,0.596,9,15,0.6,14,18,0.778,2,22,11,4,3,7,13,29,63,0.46,12,30,0.4,4,8,0.5,12,29,19,1,2,5,14,gardner-webb,20,17
2019-03-10,@,Radford,W,76,65,25,48,0.521,5,17,0.294,21,28,0.75,9,35,13,3,1,8,11,28,68,0.41200000000000003,7,23,0.304,2,3,0.667,13,30,11,5,3,5,19,gardner-webb,26,17
