date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,ETSU,W,74,68,22,57,0.386,9,24,0.375,21,29,0.7240000000000001,14,38,9,7,10,13,18,26,74,0.35100000000000003,4,23,0.174,12,18,0.667,23,44,12,5,4,13,24,georgia-state,24,21
2018-11-09,@,Montana,L,74,81,28,72,0.389,6,19,0.316,12,24,0.5,18,42,8,11,5,12,31,24,55,0.436,5,25,0.2,28,43,0.6509999999999999,8,35,13,6,5,14,20,georgia-state,24,27
2018-11-13,,Mercer,W,62,60,23,54,0.426,15,35,0.429,1,6,0.16699999999999998,6,28,13,7,5,14,15,23,58,0.397,7,26,0.26899999999999996,7,10,0.7,9,35,14,3,1,13,14,georgia-state,22,26
2018-11-19,N,St. Bonaventure,W,75,65,30,59,0.508,6,17,0.353,9,12,0.75,8,33,15,13,7,12,16,21,58,0.36200000000000004,12,27,0.444,11,18,0.611,12,33,11,4,5,17,14,georgia-state,25,21
2018-11-20,N,Creighton,L,68,93,24,61,0.39299999999999996,4,19,0.21100000000000002,16,27,0.593,11,34,8,6,3,17,16,36,66,0.545,14,32,0.43799999999999994,7,13,0.5379999999999999,9,35,22,6,6,14,21,georgia-state,23,26
2018-11-21,N,Georgia,W,91,67,34,61,0.557,14,25,0.56,9,16,0.563,4,22,19,7,2,8,16,25,53,0.47200000000000003,5,18,0.278,12,17,0.706,8,32,13,5,4,17,14,georgia-state,18,24
2018-11-28,@,Tulane,W,80,76,27,58,0.466,12,28,0.429,14,22,0.636,9,29,13,8,8,11,15,28,58,0.483,10,25,0.4,10,13,0.769,6,25,18,4,3,15,20,georgia-state,20,19
2018-12-01,@,Liberty,L,52,78,20,50,0.4,2,16,0.125,10,19,0.526,6,19,7,9,3,10,15,27,52,0.519,13,25,0.52,11,14,0.7859999999999999,9,36,17,6,1,15,16,georgia-state,13,27
2018-12-04,@,Alabama,W,83,80,30,66,0.455,8,23,0.348,15,20,0.75,4,29,10,6,1,9,23,26,56,0.46399999999999997,10,28,0.35700000000000004,18,31,0.581,8,40,10,5,8,10,18,georgia-state,25,32
2018-12-12,,Chattanooga,W,95,88,30,52,0.5770000000000001,10,23,0.435,25,35,0.7140000000000001,5,31,17,6,5,10,21,31,70,0.44299999999999995,17,44,0.386,9,14,0.643,11,32,17,2,1,14,24,georgia-state,26,21
2018-12-15,@,Kansas State,L,59,71,22,51,0.431,8,31,0.258,7,9,0.778,3,23,9,13,5,17,12,25,53,0.47200000000000003,12,26,0.462,9,12,0.75,6,31,23,10,0,19,13,georgia-state,20,25
2018-12-19,,UNC Wilmington,W,86,71,31,56,0.5539999999999999,14,27,0.519,10,13,0.769,4,18,16,12,3,11,15,25,53,0.47200000000000003,14,30,0.467,7,12,0.583,9,29,17,8,3,21,14,georgia-state,14,20
2018-12-29,,Middle Georgia State,W,117,69,41,72,0.569,16,34,0.47100000000000003,19,22,0.8640000000000001,11,37,22,12,7,7,14,24,70,0.34299999999999997,7,21,0.33299999999999996,14,18,0.778,18,37,13,3,2,20,16,georgia-state,26,19
2019-01-03,@,Texas-Arlington,W,63,58,16,39,0.41,8,21,0.381,23,38,0.605,3,24,9,9,5,18,24,20,56,0.35700000000000004,2,25,0.08,16,22,0.727,11,36,12,4,1,15,24,georgia-state,21,25
2019-01-05,@,Texas State,W,73,69,23,50,0.46,9,25,0.36,18,23,0.7829999999999999,6,37,11,4,7,15,22,24,64,0.375,6,25,0.24,15,29,0.517,16,39,12,8,0,10,20,georgia-state,31,23
2019-01-10,,Louisiana,W,89,76,31,59,0.525,13,25,0.52,14,24,0.583,8,31,16,11,3,12,16,27,66,0.409,8,31,0.258,14,17,0.8240000000000001,16,39,18,7,4,15,21,georgia-state,23,23
2019-01-12,,Louisiana-Monroe,W,74,73,29,65,0.446,9,28,0.321,7,12,0.583,7,28,10,10,1,11,15,22,57,0.386,8,31,0.258,21,23,0.9129999999999999,12,42,12,8,2,16,13,georgia-state,21,30
2019-01-17,@,South Alabama,W,69,66,23,59,0.39,8,20,0.4,15,27,0.556,10,43,9,2,6,13,23,24,59,0.40700000000000003,10,32,0.313,8,19,0.42100000000000004,5,34,18,1,5,10,19,georgia-state,33,29
2019-01-19,@,Troy,L,75,77,29,59,0.4920000000000001,12,30,0.4,5,12,0.41700000000000004,8,28,11,2,3,9,13,28,58,0.483,8,24,0.33299999999999996,13,21,0.619,9,32,16,4,4,9,14,georgia-state,20,23
2019-01-24,,Texas State,L,68,81,26,55,0.473,11,30,0.3670000000000001,5,9,0.556,5,27,11,2,8,10,10,32,67,0.478,13,29,0.44799999999999995,4,6,0.667,10,34,18,4,2,8,12,georgia-state,22,24
2019-01-26,,Texas-Arlington,W,77,71,26,58,0.44799999999999995,10,25,0.4,15,20,0.75,7,29,13,8,9,7,12,28,72,0.389,8,27,0.29600000000000004,7,11,0.636,17,42,16,3,0,14,16,georgia-state,22,25
2019-02-02,,Georgia Southern,W,81,72,30,60,0.5,10,27,0.37,11,17,0.647,4,31,9,6,4,10,20,26,56,0.46399999999999997,5,19,0.263,15,22,0.682,7,33,11,6,3,15,16,georgia-state,27,26
2019-02-06,@,Louisiana-Monroe,L,76,82,29,61,0.475,11,26,0.423,7,10,0.7,7,27,15,6,5,14,19,26,58,0.44799999999999995,9,23,0.391,21,24,0.875,9,36,14,6,2,15,12,georgia-state,20,27
2019-02-08,@,Louisiana,L,72,76,25,50,0.5,6,17,0.353,16,25,0.64,4,26,8,4,5,12,22,23,56,0.41100000000000003,10,27,0.37,20,23,0.87,9,30,13,6,3,12,20,georgia-state,22,21
