date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-10,,Alabama A&M,W,101,54,37,61,0.607,15,30,0.5,12,15,0.8,8,33,23,8,5,11,11,22,54,0.407,7,21,0.333,3,6,0.5,2,14,11,5,1,15,14,houston,25,12
2018-11-14,,Rice,W,79,68,26,59,0.441,9,20,0.45,18,25,0.72,12,36,15,8,1,7,18,25,54,0.463,11,27,0.407,7,13,0.5379999999999999,7,28,13,2,3,11,21,houston,24,21
2018-11-19,,Northwestern State,W,82,55,28,61,0.459,11,30,0.3670000000000001,15,26,0.5770000000000001,17,39,18,9,4,4,15,20,53,0.377,7,24,0.292,8,15,0.5329999999999999,12,30,6,2,5,15,18,houston,22,18
2018-11-24,@,BYU,W,76,62,30,59,0.508,11,26,0.423,5,6,0.833,8,31,21,6,2,8,19,22,54,0.407,8,28,0.28600000000000003,10,14,0.7140000000000001,8,25,13,5,0,9,11,houston,23,17
2018-11-28,,Texas-Rio Grande Valley,W,58,53,21,54,0.389,6,23,0.261,10,17,0.588,11,37,11,5,7,13,15,21,61,0.344,3,24,0.125,8,13,0.615,14,40,9,11,3,12,18,houston,26,26
2018-12-01,,Oregon,W,65,61,19,57,0.333,9,35,0.257,18,23,0.7829999999999999,11,35,14,7,6,12,19,21,53,0.396,6,26,0.231,13,17,0.765,7,32,12,8,3,15,23,houston,24,25
2018-12-04,,Lamar,W,79,56,28,60,0.467,9,32,0.281,14,17,0.8240000000000001,10,40,16,3,7,14,21,20,66,0.303,4,21,0.19,12,25,0.48,20,36,11,8,3,10,16,houston,30,16
2018-12-08,@,Oklahoma State,W,63,53,25,61,0.41,12,34,0.353,1,2,0.5,9,38,14,8,5,14,13,20,57,0.35100000000000003,7,22,0.318,6,10,0.6,6,30,17,11,3,12,9,houston,29,24
2018-12-12,,LSU,W,82,76,26,62,0.419,4,20,0.2,26,38,0.684,17,44,10,8,5,15,24,21,57,0.368,5,26,0.192,29,38,0.763,9,31,10,9,4,16,27,houston,27,22
2018-12-16,,Saint Louis,W,68,64,22,50,0.44,6,20,0.3,18,25,0.72,10,40,10,6,5,14,22,22,60,0.3670000000000001,6,19,0.316,14,23,0.609,12,34,6,7,3,8,20,houston,30,22
2018-12-20,,Utah State,W,60,50,20,63,0.317,7,24,0.292,13,15,0.867,11,35,10,8,5,10,17,18,49,0.3670000000000001,4,20,0.2,10,14,0.7140000000000001,5,32,8,4,4,17,17,houston,24,27
