date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-09,,Albany (NY),W,72,68,25,57,0.439,6,25,0.24,16,25,0.64,8,29,16,12,2,13,16,21,58,0.36200000000000004,11,24,0.45799999999999996,15,16,0.938,12,37,10,0,0,22,20,iona,21,25
2018-11-13,@,New Mexico,L,83,90,24,60,0.4,9,26,0.34600000000000003,26,36,0.722,9,28,15,12,3,14,29,27,53,0.509,12,30,0.4,24,38,0.632,8,37,19,7,5,19,22,iona,19,29
2018-11-19,N,Long Beach State,L,85,86,26,60,0.433,10,31,0.32299999999999995,23,28,0.821,8,25,11,14,2,17,21,30,54,0.556,10,17,0.588,16,20,0.8,7,33,13,6,2,24,25,iona,17,26
2018-11-21,N,Hartford,W,80,75,28,49,0.5710000000000001,9,20,0.45,15,24,0.625,3,25,16,6,1,14,20,27,57,0.474,5,19,0.263,16,21,0.762,8,26,12,6,0,12,19,iona,22,18
2018-11-24,@,Providence,L,79,91,29,57,0.509,6,20,0.3,15,18,0.833,7,30,14,6,0,15,16,33,67,0.493,9,22,0.409,16,20,0.8,13,32,17,6,5,12,17,iona,23,19
2018-11-27,@,Ohio,L,65,89,21,65,0.32299999999999995,9,33,0.273,14,24,0.583,10,35,16,9,2,17,21,35,73,0.479,7,22,0.318,12,18,0.667,15,51,23,6,4,15,20,iona,25,36
2018-12-01,@,VCU,L,59,88,19,51,0.373,4,19,0.21100000000000002,17,23,0.7390000000000001,6,32,7,3,3,21,27,28,66,0.424,11,30,0.3670000000000001,21,36,0.583,15,41,16,14,7,8,23,iona,26,26
2018-12-09,N,Columbia,L,71,74,25,55,0.455,5,18,0.278,16,20,0.8,8,35,14,8,2,18,16,26,63,0.413,10,29,0.345,12,13,0.9229999999999999,6,29,19,7,3,11,16,iona,27,23
2018-12-15,N,Princeton,L,81,85,30,63,0.47600000000000003,13,29,0.44799999999999995,8,10,0.8,8,29,14,3,4,13,16,30,64,0.469,13,34,0.382,12,14,0.857,6,25,19,8,2,10,14,iona,21,19
2018-12-22,@,Yale,L,84,99,29,70,0.414,10,35,0.28600000000000003,16,22,0.727,6,29,15,9,3,7,21,38,72,0.528,10,28,0.35700000000000004,13,23,0.565,17,53,30,2,4,13,16,iona,23,36
2018-12-30,,Holy Cross,L,71,78,28,57,0.491,5,18,0.278,10,17,0.588,9,27,8,4,3,9,15,29,54,0.537,10,24,0.41700000000000004,10,13,0.769,7,30,18,5,6,13,17,iona,18,23
2019-01-03,,Monmouth,W,103,84,31,53,0.585,17,31,0.5479999999999999,24,34,0.706,5,34,18,8,3,12,24,28,59,0.475,10,22,0.455,18,32,0.563,7,26,12,4,5,10,25,iona,29,19
2019-01-05,,Fairfield,W,94,87,31,64,0.484,10,24,0.41700000000000004,22,29,0.759,9,34,17,11,0,11,16,31,64,0.484,16,33,0.485,9,11,0.818,9,35,21,6,3,18,25,iona,25,26
2019-01-11,@,Niagara,L,90,95,35,67,0.522,9,22,0.409,11,17,0.647,3,29,14,12,2,8,18,36,77,0.46799999999999997,13,32,0.406,10,13,0.769,16,46,18,3,3,14,17,iona,26,30
2019-01-13,@,Canisius,W,88,70,30,56,0.536,14,26,0.5379999999999999,14,15,0.9329999999999999,6,35,17,2,2,16,24,24,63,0.381,6,31,0.19399999999999998,16,22,0.727,5,25,15,7,1,10,17,iona,29,20
2019-01-18,,Marist,W,90,77,27,56,0.48200000000000004,12,31,0.387,24,26,0.9229999999999999,8,31,14,4,3,9,18,25,58,0.431,14,32,0.43799999999999994,13,16,0.813,8,28,15,2,2,14,24,iona,23,20
2019-01-20,@,Monmouth,L,81,83,23,56,0.41100000000000003,11,33,0.33299999999999996,24,29,0.828,7,29,16,7,1,13,27,26,60,0.433,5,18,0.278,26,39,0.667,14,37,17,5,4,11,24,iona,22,23
2019-01-25,,Rider,W,77,71,31,64,0.484,4,21,0.19,11,17,0.647,5,34,14,5,6,13,17,25,67,0.373,9,27,0.33299999999999996,12,21,0.5710000000000001,13,39,15,8,7,11,15,iona,29,26
2019-01-27,@,Fairfield,L,68,80,24,49,0.49,3,14,0.214,17,27,0.63,6,27,6,4,3,19,23,27,59,0.45799999999999996,6,19,0.316,20,25,0.8,8,29,12,8,2,11,23,iona,21,21
2019-01-31,@,Marist,L,74,78,24,59,0.40700000000000003,11,29,0.379,15,18,0.833,11,33,12,5,6,14,16,25,58,0.431,11,24,0.45799999999999996,17,22,0.773,10,32,14,6,5,15,20,iona,22,22
2019-02-02,,Siena,L,54,56,18,50,0.36,6,27,0.222,12,19,0.632,10,31,10,3,3,8,9,21,51,0.41200000000000003,7,22,0.318,7,10,0.7,5,30,7,4,1,10,15,iona,21,25
2019-02-08,,Quinnipiac,L,65,66,27,67,0.40299999999999997,5,25,0.2,6,8,0.75,7,28,12,7,6,4,11,26,59,0.441,6,23,0.261,8,10,0.8,9,41,12,2,3,12,10,iona,21,32
2019-02-10,,Niagara,W,79,76,28,60,0.467,8,25,0.32,15,20,0.75,8,32,14,6,4,10,14,26,58,0.44799999999999995,15,28,0.536,9,12,0.75,5,29,12,5,3,16,19,iona,24,24
2019-02-13,@,Siena,W,57,52,21,52,0.40399999999999997,7,19,0.368,8,11,0.727,7,34,9,8,1,15,9,21,56,0.375,7,26,0.26899999999999996,3,5,0.6,7,29,11,11,6,11,10,iona,27,22
2019-02-15,,St. Peter's,W,62,46,23,60,0.38299999999999995,9,24,0.375,7,8,0.875,10,36,16,8,6,9,11,18,53,0.34,8,20,0.4,2,7,0.28600000000000003,6,30,9,2,10,13,10,iona,26,24
2019-02-19,@,Quinnipiac,W,81,77,27,60,0.45,8,28,0.28600000000000003,19,26,0.731,6,41,15,3,2,9,18,26,71,0.366,17,49,0.34700000000000003,8,17,0.47100000000000003,10,38,13,4,1,6,21,iona,35,28
2019-02-22,@,Manhattan,W,66,52,21,54,0.389,13,32,0.406,11,16,0.688,10,33,10,8,1,11,12,20,56,0.35700000000000004,9,32,0.281,3,9,0.33299999999999996,11,33,12,7,6,13,18,iona,23,22
2019-02-24,,Canisius,W,87,80,27,52,0.519,10,22,0.455,23,24,0.958,8,29,11,4,5,9,10,31,60,0.517,10,26,0.385,8,12,0.667,7,18,18,4,4,8,20,iona,21,11
2019-03-01,@,Rider,W,86,79,29,60,0.483,12,30,0.4,16,26,0.615,7,36,17,4,4,14,16,32,73,0.43799999999999994,10,24,0.41700000000000004,5,12,0.41700000000000004,13,41,24,7,3,16,22,iona,29,28
2019-03-08,N,St. Peter's,W,73,71,24,54,0.444,6,18,0.33299999999999996,19,24,0.792,6,15,8,8,1,5,17,26,46,0.565,7,16,0.43799999999999994,12,15,0.8,7,32,9,4,8,15,21,iona,9,25
2019-03-10,N,Siena,W,73,57,26,53,0.491,9,20,0.45,12,18,0.667,7,35,11,3,2,8,8,22,59,0.373,8,28,0.28600000000000003,5,7,0.7140000000000001,5,27,13,3,2,5,15,iona,28,22
2019-03-11,N,Monmouth,W,81,60,24,52,0.462,12,29,0.414,21,25,0.84,7,32,13,11,3,11,16,25,58,0.431,5,24,0.20800000000000002,5,12,0.41700000000000004,11,31,8,6,1,15,20,iona,25,20
