date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Alabama State,W,79,53,32,67,0.478,10,26,0.385,5,7,0.7140000000000001,11,37,20,12,5,13,14,20,55,0.364,9,26,0.34600000000000003,4,10,0.4,6,28,11,4,3,20,17,iowa-state,26,22
2018-11-09,,Missouri,W,76,59,22,51,0.431,8,25,0.32,24,35,0.6859999999999999,5,23,10,9,3,7,17,19,44,0.4320000000000001,9,26,0.34600000000000003,12,17,0.706,5,34,12,2,1,25,26,iowa-state,18,29
2018-11-12,,Texas Southern,W,85,73,28,58,0.483,7,23,0.304,22,30,0.733,10,45,12,7,8,16,15,26,74,0.35100000000000003,7,28,0.25,14,15,0.933,10,33,11,10,1,10,21,iowa-state,35,23
2018-11-19,N,Arizona,L,66,71,26,62,0.419,4,24,0.16699999999999998,10,13,0.769,11,40,12,8,4,14,16,24,59,0.407,8,28,0.28600000000000003,15,18,0.833,7,34,10,8,2,10,12,iowa-state,29,27
2018-11-20,N,Illinois,W,84,68,26,53,0.491,8,23,0.348,24,29,0.828,11,37,13,3,3,11,15,23,60,0.383,12,33,0.364,10,14,0.7140000000000001,8,24,13,4,2,9,22,iowa-state,26,16
2018-11-21,N,San Diego State,W,87,57,28,59,0.475,14,32,0.438,17,20,0.85,11,39,17,7,2,4,15,18,51,0.353,7,21,0.333,14,17,0.8240000000000001,7,26,9,2,2,11,17,iowa-state,28,19
2018-11-26,,Omaha,W,82,55,30,65,0.462,8,24,0.333,14,20,0.7,12,42,17,14,2,13,12,21,59,0.35600000000000004,9,32,0.281,4,9,0.444,7,31,11,4,2,19,19,iowa-state,30,24
2018-12-03,,North Dakota State,W,81,59,33,66,0.5,6,19,0.316,9,14,0.643,7,36,16,8,10,9,10,23,63,0.365,7,28,0.25,6,8,0.75,8,33,11,3,2,15,15,iowa-state,29,25
2018-12-06,@,Iowa,L,84,98,30,64,0.469,6,23,0.261,18,29,0.621,10,20,14,11,2,10,21,35,61,0.574,9,18,0.5,19,23,0.826,17,44,21,3,2,18,21,iowa-state,10,27
2018-12-09,,Southern,W,101,65,40,57,0.7020000000000001,12,25,0.48,9,13,0.6920000000000001,2,31,28,5,7,13,16,24,58,0.414,7,19,0.368,10,17,0.588,7,24,11,7,0,12,16,iowa-state,29,17
