date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-08,,UMKC,W,77,63,21,47,0.447,7,25,0.28,28,38,0.737,7,37,15,3,6,16,15,23,64,0.359,9,27,0.333,8,12,0.667,9,30,10,11,0,9,27,iowa,30,21
2018-11-11,,Green Bay,W,93,82,27,53,0.509,5,18,0.278,34,45,0.7559999999999999,6,33,16,10,4,17,15,32,69,0.464,7,26,0.269,11,16,0.688,11,29,17,9,2,20,30,iowa,27,18
2018-11-15,N,Oregon,W,77,69,19,52,0.365,10,29,0.345,29,33,0.879,9,41,13,6,3,14,20,23,64,0.359,6,19,0.316,17,24,0.708,12,33,15,8,6,8,24,iowa,32,21
2018-11-16,N,UConn,W,91,72,29,57,0.509,4,13,0.308,29,37,0.784,13,34,14,5,2,17,15,29,69,0.42,4,26,0.154,10,15,0.667,12,25,10,11,0,14,24,iowa,21,13
2018-11-21,,Alabama State,W,105,78,36,61,0.59,9,23,0.391,24,29,0.828,4,29,20,8,5,8,13,33,73,0.452,10,29,0.345,2,8,0.25,16,37,19,3,1,18,19,iowa,25,21
2018-11-27,,Pitt,W,69,68,19,52,0.365,12,31,0.387,19,28,0.679,10,33,12,11,4,13,18,26,55,0.473,8,19,0.421,8,13,0.615,6,35,13,5,2,17,23,iowa,23,29
2018-11-30,,Wisconsin,L,66,72,23,59,0.39,6,24,0.25,14,19,0.737,11,38,9,2,4,10,16,27,56,0.482,8,24,0.333,10,14,0.7140000000000001,4,31,13,5,1,9,24,iowa,27,27
2018-12-03,@,Michigan State,L,68,90,21,64,0.328,6,22,0.273,20,30,0.667,14,30,13,7,3,10,23,31,60,0.517,3,12,0.25,25,32,0.7809999999999999,13,39,28,7,6,8,25,iowa,16,26
2018-12-06,,Iowa State,W,98,84,35,61,0.574,9,18,0.5,19,23,0.826,17,44,21,3,2,18,21,30,64,0.469,6,23,0.261,18,29,0.621,10,20,14,11,2,10,21,iowa,27,10
2018-12-15,N,Northern Iowa,W,77,54,29,54,0.537,10,25,0.4,9,14,0.643,6,36,18,6,1,12,14,20,55,0.364,6,29,0.207,8,15,0.5329999999999999,6,27,12,3,0,11,16,iowa,30,21
2018-12-18,,Western Carolina,W,78,60,23,49,0.469,5,18,0.278,27,37,0.73,6,23,15,10,8,10,13,21,43,0.488,7,16,0.438,11,18,0.611,6,27,11,4,0,23,24,iowa,17,21
2018-12-22,,Savannah State,W,110,64,39,70,0.557,19,42,0.452,13,22,0.591,8,42,30,8,2,6,10,25,68,0.368,9,33,0.273,5,9,0.556,10,35,16,3,1,16,17,iowa,34,25
2018-12-29,,Bryant,W,72,67,21,46,0.457,9,25,0.36,21,31,0.677,9,31,16,6,7,9,13,25,58,0.431,10,26,0.385,7,12,0.583,11,30,10,3,0,10,23,iowa,22,19
2019-01-03,@,Purdue,L,70,86,24,50,0.48,6,17,0.353,16,19,0.8420000000000001,7,23,15,3,4,14,15,33,62,0.532,9,24,0.375,11,12,0.917,9,26,22,4,3,7,18,iowa,16,17
2019-01-06,,Nebraska,W,93,84,27,59,0.458,10,22,0.455,29,32,0.906,11,38,16,6,6,13,22,30,65,0.462,4,23,0.174,20,26,0.769,8,28,17,8,3,7,25,iowa,27,20
2019-01-09,@,Northwestern,W,73,63,24,58,0.414,4,17,0.235,21,26,0.8079999999999999,9,36,14,6,0,7,15,22,57,0.386,7,27,0.259,12,16,0.75,7,30,13,4,4,8,21,iowa,27,23
2019-01-12,,Ohio State,W,72,62,25,55,0.455,4,16,0.25,18,25,0.72,9,34,15,11,6,14,15,22,59,0.373,10,25,0.4,8,11,0.727,11,36,14,9,1,20,23,iowa,25,25
2019-01-16,@,Penn State,W,89,82,32,64,0.5,12,28,0.429,13,18,0.722,7,34,18,9,1,11,11,30,64,0.469,12,35,0.343,10,13,0.769,5,32,23,6,5,12,20,iowa,27,27
2019-01-20,,Illinois,W,95,71,34,50,0.68,15,21,0.7140000000000001,12,16,0.75,1,26,29,3,5,14,11,27,69,0.391,11,32,0.344,6,9,0.667,15,25,15,9,3,11,18,iowa,25,10
2019-01-24,,Michigan State,L,67,82,27,70,0.386,5,24,0.208,8,8,1.0,10,23,13,9,0,5,16,27,51,0.529,8,19,0.421,20,21,0.952,11,41,16,3,2,16,13,iowa,13,30
2019-01-27,@,Minnesota,L,87,92,32,59,0.542,10,18,0.556,13,21,0.619,9,31,23,7,1,13,23,32,56,0.5710000000000001,7,18,0.389,21,31,0.677,6,23,25,7,3,9,17,iowa,22,17
2019-02-01,,Michigan,W,74,59,26,57,0.456,6,14,0.429,16,24,0.667,7,45,10,7,5,9,14,21,65,0.32299999999999995,8,33,0.242,9,12,0.75,6,35,11,5,3,8,20,iowa,38,29
2019-02-07,@,Indiana,W,77,72,27,60,0.45,10,25,0.4,13,17,0.765,9,27,14,8,2,9,18,26,53,0.491,7,21,0.333,13,18,0.722,8,30,17,7,3,12,15,iowa,18,22
2019-02-10,,Northwestern,W,80,79,26,55,0.473,9,17,0.529,19,25,0.76,5,23,13,6,0,11,15,29,56,0.518,8,23,0.348,13,18,0.722,10,34,13,5,0,14,23,iowa,18,24
2019-02-16,@,Rutgers,W,71,69,25,54,0.463,8,21,0.381,13,18,0.722,10,29,12,6,5,15,15,26,57,0.456,7,20,0.35,10,18,0.556,13,31,14,10,2,11,18,iowa,19,18
2019-02-19,,Maryland,L,65,66,19,58,0.328,8,26,0.308,19,24,0.792,15,35,12,6,3,14,12,22,53,0.415,12,28,0.429,10,12,0.833,8,31,16,7,5,13,22,iowa,20,23
2019-02-22,,Indiana,W (1 OT),76,70,26,62,0.419,7,25,0.28,17,25,0.68,12,43,18,4,4,10,18,26,63,0.413,6,27,0.222,12,22,0.545,12,36,10,9,8,11,21,iowa,31,24
2019-02-26,@,Ohio State,L,70,90,26,55,0.473,6,19,0.316,12,14,0.857,4,25,10,4,1,10,18,28,58,0.483,12,32,0.375,22,24,0.917,8,33,19,7,3,10,12,iowa,21,25
2019-03-02,,Rutgers,L,72,86,20,56,0.35700000000000004,8,29,0.276,24,36,0.667,13,36,12,3,2,13,21,30,59,0.508,11,23,0.478,15,26,0.5770000000000001,9,34,21,8,1,10,27,iowa,23,25
2019-03-07,@,Wisconsin,L,45,65,18,59,0.305,5,22,0.227,4,6,0.667,7,29,10,9,4,15,25,22,54,0.407,4,20,0.2,17,27,0.63,15,46,10,7,5,15,13,iowa,22,31
2019-03-10,@,Nebraska,L (1 OT),91,93,30,69,0.435,10,26,0.385,21,32,0.6559999999999999,13,41,18,5,2,13,21,35,68,0.515,13,26,0.5,10,20,0.5,8,40,18,7,7,9,25,iowa,28,32
2019-03-14,N,Illinois,W,83,62,31,60,0.517,12,23,0.522,9,11,0.818,9,23,25,3,2,7,9,26,50,0.52,8,24,0.333,2,4,0.5,6,24,18,6,4,13,18,iowa,14,18
2019-03-15,N,Michigan,L,53,74,21,59,0.35600000000000004,1,16,0.063,10,18,0.556,9,35,10,4,4,11,9,28,62,0.452,10,30,0.333,8,12,0.667,5,37,24,9,4,6,14,iowa,26,32
