date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-09,,Kennesaw State,W,56,41,25,60,0.41700000000000004,1,13,0.077,5,11,0.455,13,41,13,10,2,16,14,17,52,0.327,4,14,0.28600000000000003,3,5,0.6,7,27,10,9,6,20,18,kansas-state,28,20
2018-11-12,,Denver,W,64,56,23,60,0.38299999999999995,6,27,0.222,12,27,0.444,11,39,13,10,3,9,18,19,52,0.365,7,29,0.24100000000000002,11,16,0.688,4,34,7,4,1,17,21,kansas-state,28,30
2018-11-16,N,Eastern Kentucky,W,95,68,37,67,0.552,4,17,0.235,17,23,0.7390000000000001,11,43,18,9,4,13,17,25,64,0.391,8,28,0.28600000000000003,10,15,0.667,4,21,14,7,0,16,21,kansas-state,32,17
2018-11-18,N,Penn,W,64,48,24,57,0.42100000000000004,2,7,0.28600000000000003,14,19,0.737,10,30,10,7,5,11,23,15,49,0.306,4,20,0.2,14,22,0.636,7,31,8,6,1,19,20,kansas-state,20,24
2018-11-19,N,Missouri,W,82,67,30,55,0.545,12,24,0.5,10,13,0.769,5,24,17,5,2,9,20,23,48,0.479,9,15,0.6,12,19,0.632,7,25,12,3,0,14,19,kansas-state,19,18
2018-11-24,,Lehigh,W,77,58,27,65,0.415,6,20,0.3,17,21,0.81,12,40,19,9,2,11,14,22,56,0.39299999999999996,6,21,0.28600000000000003,8,11,0.727,6,30,14,9,0,15,21,kansas-state,28,24
2018-12-01,@,Marquette,L,71,83,23,55,0.418,6,22,0.273,19,31,0.613,5,20,11,8,0,13,29,25,44,0.568,6,22,0.273,27,36,0.75,3,32,9,8,0,18,24,kansas-state,15,29
2018-12-08,@,Tulsa,L,46,47,18,59,0.305,5,19,0.263,5,6,0.833,11,40,7,8,2,16,11,19,50,0.38,4,20,0.2,5,9,0.556,4,30,9,8,4,14,13,kansas-state,29,26
2018-12-15,,Georgia State,W,71,59,25,53,0.47200000000000003,12,26,0.462,9,12,0.75,6,31,23,10,0,19,13,22,51,0.431,8,31,0.258,7,9,0.778,3,23,9,13,5,17,12,kansas-state,25,20
2018-12-19,,Southern Miss,W,55,51,20,44,0.455,4,16,0.25,11,20,0.55,6,38,11,5,1,16,11,20,63,0.317,7,33,0.212,4,6,0.667,10,33,15,11,2,8,17,kansas-state,32,23
2018-12-22,N,Vanderbilt,W,69,58,24,58,0.414,5,17,0.294,16,27,0.593,5,32,13,7,2,7,19,15,47,0.319,7,25,0.28,21,27,0.778,6,33,11,2,2,15,22,kansas-state,27,27
2018-12-29,,George Mason,W,59,58,22,52,0.423,9,22,0.409,6,13,0.462,7,37,15,3,2,10,11,23,56,0.41100000000000003,6,19,0.316,6,11,0.545,5,31,9,6,3,5,14,kansas-state,30,26
2019-01-02,,Texas,L,47,67,17,52,0.327,6,18,0.33299999999999996,7,14,0.5,10,29,11,5,2,10,8,23,48,0.479,14,27,0.519,7,11,0.636,6,33,20,6,4,10,15,kansas-state,19,27
2019-01-05,@,Texas Tech,L,57,63,19,57,0.33299999999999996,4,23,0.174,15,24,0.625,11,31,9,6,3,13,25,17,38,0.447,6,19,0.316,23,31,0.742,5,29,9,5,8,17,22,kansas-state,20,24
2019-01-09,,West Virginia,W,71,69,25,53,0.47200000000000003,9,23,0.391,12,19,0.632,4,18,14,10,2,6,25,23,51,0.451,9,20,0.45,14,23,0.609,13,34,11,3,2,15,19,kansas-state,14,21
2019-01-12,@,Iowa State,W,58,57,20,56,0.35700000000000004,7,22,0.318,11,14,0.7859999999999999,10,34,12,3,4,9,16,21,50,0.42,9,24,0.375,6,12,0.5,4,24,15,6,5,10,13,kansas-state,24,20
