date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,N,Duke,L,84,118,26,59,0.441,4,17,0.235,28,38,0.737,9,33,17,1,5,15,25,43,79,0.544,12,26,0.462,20,29,0.69,13,38,22,10,3,4,26,kentucky,24,25
2018-11-09,,Southern Illinois,W,71,59,24,54,0.444,4,14,0.28600000000000003,19,27,0.7040000000000001,18,48,11,5,6,19,15,23,56,0.411,5,16,0.313,8,12,0.667,6,18,13,7,2,13,24,kentucky,30,12
2018-11-14,,North Dakota,W,96,58,33,62,0.532,6,13,0.462,24,30,0.8,15,40,15,12,5,13,15,19,48,0.396,7,19,0.368,13,18,0.722,3,13,8,5,5,19,19,kentucky,25,10
2018-11-18,,VMI,W,92,82,29,59,0.4920000000000001,5,14,0.35700000000000004,29,35,0.8290000000000001,16,41,15,6,6,11,12,29,62,0.468,19,38,0.5,5,5,1.0,6,21,14,2,1,13,26,kentucky,25,15
2018-11-21,,Winthrop,W,87,74,31,55,0.564,7,18,0.389,18,24,0.75,7,36,20,8,6,19,16,28,59,0.475,13,28,0.464,5,8,0.625,2,22,16,4,0,18,21,kentucky,29,20
2018-11-23,,Tennessee State,W,77,62,23,52,0.442,4,15,0.267,27,41,0.659,14,37,8,4,5,14,14,22,54,0.407,6,16,0.375,12,19,0.632,8,26,11,5,1,15,29,kentucky,23,18
2018-11-28,,Monmouth,W,90,44,30,53,0.5660000000000001,10,24,0.417,20,23,0.87,6,37,15,8,5,14,16,16,58,0.276,2,16,0.125,10,16,0.625,13,25,4,6,2,16,21,kentucky,31,12
2018-12-01,,UNC Greensboro,W,78,61,28,58,0.483,5,12,0.417,17,24,0.708,13,44,12,5,4,17,15,24,67,0.358,7,20,0.35,6,10,0.6,11,27,7,8,3,11,17,kentucky,31,16
2018-12-08,N,Seton Hall,L (1 OT),83,84,27,62,0.435,5,20,0.25,24,30,0.8,9,34,14,3,7,15,21,27,59,0.458,11,26,0.423,19,26,0.731,7,29,15,8,5,16,25,kentucky,25,22
2018-12-15,,Utah,W,88,61,34,58,0.586,12,21,0.5710000000000001,8,12,0.667,6,19,13,6,5,6,10,24,54,0.444,7,23,0.304,6,8,0.75,11,28,12,2,2,14,15,kentucky,13,17
2018-12-22,N,UNC,W,80,72,28,65,0.431,9,26,0.34600000000000003,15,22,0.682,10,39,24,12,8,17,18,27,63,0.429,7,18,0.389,11,16,0.688,5,33,18,8,3,18,19,kentucky,29,28
2018-12-29,@,Louisville,W,71,58,29,57,0.509,6,20,0.3,7,11,0.636,10,33,11,9,8,9,21,20,55,0.364,5,20,0.25,13,19,0.684,11,31,7,5,2,12,12,kentucky,23,20
2019-01-05,@,Alabama,L,75,77,28,65,0.431,5,18,0.278,14,17,0.8240000000000001,6,31,14,7,1,11,15,27,59,0.458,10,23,0.435,13,17,0.765,7,39,14,2,4,16,16,kentucky,25,32
2019-01-08,,Texas A&M,W,85,74,29,56,0.518,6,18,0.333,21,23,0.913,7,26,16,11,5,12,13,27,56,0.482,8,17,0.471,12,13,0.923,5,25,8,8,3,19,19,kentucky,19,20
2019-01-12,,Vanderbilt,W,56,47,22,44,0.5,4,16,0.25,8,14,0.5710000000000001,9,35,10,5,5,14,14,17,47,0.362,7,25,0.28,6,12,0.5,6,20,6,4,4,10,14,kentucky,26,14
2019-01-15,@,Georgia,W,69,49,28,64,0.438,4,11,0.364,9,11,0.818,13,40,14,8,4,9,14,17,56,0.304,4,27,0.14800000000000002,11,16,0.688,11,33,12,5,4,14,15,kentucky,27,22
2019-01-19,@,Auburn,W,82,80,26,48,0.542,6,15,0.4,24,33,0.727,8,32,14,7,2,13,20,26,56,0.464,13,30,0.433,15,20,0.75,7,24,17,5,4,11,25,kentucky,24,17
2019-01-22,,Mississippi State,W,76,55,26,59,0.441,8,16,0.5,16,22,0.727,14,40,14,8,8,16,17,19,61,0.311,3,20,0.15,14,18,0.778,14,34,5,8,6,15,18,kentucky,26,20
2019-01-26,,Kansas,W,71,63,25,64,0.391,4,18,0.222,17,23,0.7390000000000001,15,47,14,4,8,11,13,23,63,0.365,9,23,0.391,8,11,0.727,9,35,9,4,2,8,21,kentucky,32,26
2019-01-29,@,Vanderbilt,W,87,52,30,54,0.556,10,17,0.588,17,23,0.7390000000000001,6,29,18,7,6,6,20,17,46,0.37,9,24,0.375,9,18,0.5,6,25,10,2,3,19,19,kentucky,23,19
2019-02-02,@,Florida,W,65,54,23,56,0.411,6,21,0.28600000000000003,13,16,0.813,12,42,13,4,2,12,12,22,63,0.349,5,19,0.263,5,10,0.5,11,32,7,7,6,9,15,kentucky,30,21
2019-02-05,,South Carolina,W,76,48,25,61,0.41,5,16,0.313,21,27,0.778,18,46,11,11,1,14,17,19,53,0.358,5,17,0.294,5,14,0.35700000000000004,8,25,10,6,2,19,19,kentucky,28,17
2019-02-09,@,Mississippi State,W,71,67,27,57,0.474,7,18,0.389,10,17,0.588,10,33,13,4,4,9,18,23,53,0.434,7,16,0.438,14,18,0.778,7,27,7,7,6,9,19,kentucky,23,20
2019-02-12,,LSU,L,71,73,25,60,0.417,5,19,0.263,16,23,0.696,12,34,14,3,1,9,17,24,56,0.429,6,21,0.28600000000000003,19,22,0.8640000000000001,9,29,11,8,4,7,17,kentucky,22,20
