date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-08,,Maine-Fort Kent,W,89,40,28,57,0.491,12,34,0.353,21,28,0.75,15,45,18,6,8,12,12,16,56,0.28600000000000003,5,21,0.23800000000000002,3,6,0.5,6,24,6,2,1,13,20,liberty,30,18
2018-11-13,,Trevecca Nazarene,W,93,40,35,63,0.556,14,38,0.368,9,15,0.6,3,39,23,14,3,8,9,14,51,0.275,5,26,0.192,7,9,0.778,1,27,8,3,0,20,13,liberty,36,26
2018-11-16,@,Kent State,W,77,70,29,56,0.518,9,19,0.474,10,13,0.769,6,28,19,7,3,13,24,20,49,0.408,4,15,0.267,26,37,0.703,9,27,8,7,4,10,19,liberty,22,18
2018-11-19,@,Vanderbilt,L,70,79,27,62,0.435,7,26,0.26899999999999996,9,16,0.563,5,27,9,8,3,11,21,26,52,0.5,9,18,0.5,18,28,0.643,7,34,9,6,4,15,16,liberty,22,27
2018-11-23,,Alcorn State,W,76,54,29,53,0.547,8,19,0.42100000000000004,10,11,0.909,7,25,15,6,2,10,12,20,49,0.408,8,15,0.5329999999999999,6,10,0.6,8,20,6,3,3,14,14,liberty,18,12
2018-11-25,,Savannah State,W,82,56,32,70,0.457,8,31,0.258,10,14,0.7140000000000001,9,40,18,11,1,11,10,22,65,0.33799999999999997,8,37,0.21600000000000005,4,8,0.5,9,39,9,6,2,21,16,liberty,31,30
2018-11-28,@,Navy,W,76,58,26,53,0.491,9,24,0.375,15,18,0.833,5,28,15,8,0,6,16,23,55,0.418,4,24,0.16699999999999998,8,13,0.615,9,31,15,2,2,10,17,liberty,23,22
2018-12-01,,Georgia State,W,78,52,27,52,0.519,13,25,0.52,11,14,0.7859999999999999,9,36,17,6,1,15,16,20,50,0.4,2,16,0.125,10,19,0.526,6,19,7,9,3,10,15,liberty,27,13
2018-12-03,@,Georgetown,L,78,88,30,71,0.423,13,36,0.361,5,5,1.0,5,23,16,13,4,10,19,29,55,0.527,11,18,0.611,19,29,0.655,11,41,17,5,3,18,10,liberty,18,30
2018-12-11,,South Carolina State,W,79,55,28,50,0.56,13,24,0.542,10,16,0.625,2,25,25,9,4,11,16,20,51,0.392,4,15,0.267,11,14,0.7859999999999999,5,23,13,4,5,15,17,liberty,23,18
2018-12-15,,Kentucky Christian,W,96,55,40,67,0.597,14,35,0.4,2,3,0.667,8,39,26,6,4,7,8,20,57,0.35100000000000003,8,26,0.308,7,8,0.875,5,24,9,6,1,10,8,liberty,31,19
2018-12-18,N,Alabama,L,75,84,25,57,0.439,11,23,0.478,14,17,0.8240000000000001,6,29,11,2,3,15,27,26,50,0.52,7,17,0.41200000000000003,25,39,0.6409999999999999,5,28,11,8,6,11,17,liberty,23,23
2018-12-21,N,Alabama State,W,73,55,21,35,0.6,9,17,0.529,22,25,0.88,2,28,12,6,4,16,19,18,45,0.4,9,19,0.474,10,21,0.47600000000000003,5,19,10,7,0,17,20,liberty,26,14
2018-12-22,N,Austin Peay,L,66,75,24,53,0.45299999999999996,10,29,0.345,8,8,1.0,7,25,14,0,0,13,17,29,52,0.5579999999999999,4,13,0.308,13,14,0.929,5,22,6,2,3,5,16,liberty,18,17
2018-12-29,@,UCLA,W,73,58,27,58,0.466,8,24,0.33299999999999996,11,15,0.733,6,25,12,12,0,7,20,20,51,0.392,6,22,0.273,12,22,0.545,12,41,14,3,5,24,16,liberty,19,29
2019-01-05,@,Florida Gulf Coast,W,81,63,31,54,0.574,14,28,0.5,5,7,0.7140000000000001,7,27,18,6,4,10,19,23,46,0.5,5,13,0.385,12,17,0.706,6,21,11,3,2,14,10,liberty,20,15
2019-01-09,@,Stetson,W,71,53,29,54,0.537,10,24,0.41700000000000004,3,6,0.5,8,29,16,6,3,14,9,20,51,0.392,7,20,0.35,6,9,0.667,7,23,14,10,1,13,8,liberty,21,16
2019-01-12,,Jacksonville,W,69,53,28,57,0.491,5,15,0.33299999999999996,8,11,0.727,10,33,10,7,5,8,10,20,49,0.408,6,18,0.33299999999999996,7,12,0.583,5,26,11,5,2,14,11,liberty,23,21
2019-01-16,@,Kennesaw State,W,62,41,23,51,0.451,9,23,0.391,7,9,0.778,11,33,17,8,5,15,16,11,45,0.244,0,5,0.0,19,22,0.8640000000000001,8,23,4,7,3,14,13,liberty,22,15
2019-01-19,,North Florida,W,70,64,25,56,0.446,3,14,0.214,17,25,0.68,9,32,14,9,3,9,12,23,56,0.41100000000000003,8,25,0.32,10,15,0.667,9,32,10,1,5,17,21,liberty,23,23
2019-01-21,,North Alabama,W,72,47,23,45,0.511,6,22,0.273,20,24,0.833,3,35,13,6,3,13,15,18,56,0.321,3,21,0.14300000000000002,8,13,0.615,5,24,6,8,1,11,20,liberty,32,19
2019-01-27,@,Jacksonville,W,69,59,25,49,0.51,9,23,0.391,10,12,0.833,3,23,14,9,4,11,10,26,54,0.48100000000000004,4,17,0.235,3,5,0.6,9,29,5,6,5,15,13,liberty,20,20
2019-01-29,,Lipscomb,L,59,79,22,59,0.373,4,22,0.182,11,13,0.846,8,25,7,3,1,12,14,31,56,0.5539999999999999,9,18,0.5,8,14,0.5710000000000001,9,33,16,9,3,10,17,liberty,17,24
2019-02-02,,NJIT,W,77,57,28,54,0.519,11,24,0.45799999999999996,10,11,0.909,7,33,15,4,1,8,8,21,55,0.382,11,25,0.44,4,6,0.667,5,22,10,4,2,8,15,liberty,26,17
2019-02-05,,Stetson,W,57,54,22,58,0.379,6,31,0.19399999999999998,7,9,0.778,4,27,13,7,2,9,14,20,55,0.364,4,15,0.267,10,13,0.769,7,37,12,7,2,15,11,liberty,23,30
2019-02-09,,Florida Gulf Coast,W,74,67,26,60,0.433,11,31,0.355,11,13,0.846,11,31,13,8,3,9,16,21,45,0.467,10,24,0.41700000000000004,15,21,0.7140000000000001,4,23,10,7,4,14,15,liberty,20,19
