date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Southeastern Louisiana,W,94,63,32,66,0.485,6,24,0.25,24,31,0.774,19,42,14,13,4,9,17,22,54,0.40700000000000003,7,23,0.304,12,19,0.632,10,30,8,4,1,19,20,louisiana-state,23,20
2018-11-09,,UNC Greensboro,W,97,91,30,54,0.556,9,18,0.5,28,31,0.903,8,32,16,9,3,16,14,34,60,0.5670000000000001,19,33,0.5760000000000001,4,9,0.444,2,18,20,7,5,14,26,louisiana-state,24,16
2018-11-13,,Memphis,W,85,76,34,63,0.54,5,18,0.278,12,16,0.75,13,35,15,10,6,14,19,26,64,0.406,10,30,0.33299999999999996,14,20,0.7,10,27,12,5,3,14,17,louisiana-state,22,17
2018-11-16,,Louisiana Tech,W,74,67,29,64,0.45299999999999996,5,24,0.20800000000000002,11,19,0.579,11,33,11,8,7,7,12,24,61,0.39299999999999996,11,28,0.39299999999999996,8,13,0.615,12,35,8,6,3,17,19,louisiana-state,22,23
2018-11-22,N,College of Charleston,W,67,55,27,52,0.519,6,20,0.3,7,10,0.7,4,32,18,7,1,12,18,18,53,0.34,5,24,0.20800000000000002,14,22,0.636,11,30,8,6,1,11,14,louisiana-state,28,19
2018-11-23,N,Florida State,L (1 OT),76,79,27,52,0.519,11,26,0.423,11,13,0.846,4,28,16,6,7,17,20,29,76,0.382,9,26,0.34600000000000003,12,17,0.706,19,38,15,11,1,12,15,louisiana-state,24,19
2018-11-25,N,Oklahoma State,L,77,90,28,68,0.41200000000000003,9,27,0.33299999999999996,12,20,0.6,16,33,15,11,3,16,17,31,53,0.585,8,16,0.5,20,25,0.8,6,31,16,8,6,16,15,louisiana-state,17,25
2018-12-01,,Grambling,W,78,57,27,59,0.45799999999999996,9,21,0.429,15,24,0.625,14,42,16,11,10,19,16,20,51,0.392,5,7,0.7140000000000001,12,17,0.706,4,22,7,5,5,18,21,louisiana-state,28,18
2018-12-09,,Incarnate Word,W,91,50,34,61,0.557,10,26,0.385,13,17,0.765,13,43,17,12,6,15,19,15,47,0.319,3,14,0.214,17,23,0.7390000000000001,2,17,7,9,0,16,19,louisiana-state,30,15
2018-12-12,@,Houston,L,76,82,21,57,0.368,5,26,0.192,29,38,0.763,9,31,10,9,4,16,27,26,62,0.419,4,20,0.2,26,38,0.684,17,44,10,8,5,15,24,louisiana-state,22,27
2018-12-15,N,Saint Mary's,W,78,74,25,56,0.446,6,17,0.353,22,25,0.88,5,21,11,11,4,11,22,25,52,0.48100000000000004,6,17,0.353,18,25,0.72,7,32,9,7,1,19,22,louisiana-state,16,25
2018-12-21,,Furman,W,75,57,31,56,0.5539999999999999,4,13,0.308,9,15,0.6,12,40,12,11,4,17,15,21,56,0.375,9,31,0.29,6,9,0.667,7,20,8,10,2,17,16,louisiana-state,28,13
2018-12-28,,Louisiana-Monroe,W,81,69,32,61,0.525,8,21,0.381,9,16,0.563,12,35,18,12,6,14,16,23,59,0.39,9,24,0.375,14,16,0.875,10,30,9,6,3,17,14,louisiana-state,23,20
2019-01-08,,Alabama,W,88,79,28,57,0.491,10,15,0.667,22,27,0.815,12,34,15,8,8,16,19,25,62,0.40299999999999997,7,24,0.292,22,26,0.846,13,33,14,6,2,15,20,louisiana-state,22,20
2019-01-12,@,Arkansas,W (1 OT),94,88,33,64,0.516,10,25,0.4,18,22,0.818,11,34,15,7,3,19,28,34,66,0.515,3,16,0.188,17,28,0.607,9,28,21,9,5,16,24,louisiana-state,23,19
2019-01-15,@,Ole Miss,W,83,69,27,57,0.474,9,19,0.474,20,30,0.667,10,37,17,10,7,13,20,26,64,0.406,8,28,0.28600000000000003,9,17,0.529,8,32,14,8,3,16,23,louisiana-state,27,24
2019-01-19,,South Carolina,W,89,67,27,64,0.42200000000000004,3,19,0.158,32,35,0.914,15,49,12,11,2,13,17,28,64,0.43799999999999994,5,19,0.263,6,14,0.429,5,27,7,6,1,16,24,louisiana-state,34,22
2019-01-23,,Georgia,W,92,82,33,66,0.5,5,20,0.25,21,29,0.7240000000000001,10,30,8,11,5,8,17,30,56,0.536,8,17,0.47100000000000003,14,18,0.778,6,29,13,5,1,17,22,louisiana-state,20,23
2019-01-26,@,Missouri,W (1 OT),86,80,24,68,0.353,9,32,0.281,29,37,0.784,12,38,15,11,3,13,27,24,57,0.42100000000000004,6,24,0.25,26,33,0.7879999999999999,8,40,7,6,2,16,29,louisiana-state,26,32
2019-01-30,@,Texas A&M,W,72,57,26,70,0.371,7,25,0.28,13,16,0.813,21,44,10,9,8,11,16,18,54,0.33299999999999996,3,21,0.14300000000000002,18,23,0.7829999999999999,13,37,6,4,4,16,16,louisiana-state,23,24
2019-02-02,,Arkansas,L,89,90,26,59,0.441,5,24,0.20800000000000002,32,38,0.8420000000000001,17,41,11,8,3,21,18,35,60,0.583,13,24,0.542,7,11,0.636,4,20,18,7,3,16,29,louisiana-state,24,16
2019-02-06,@,Mississippi State,W (1 OT),92,88,35,64,0.547,3,11,0.273,19,25,0.76,13,34,12,8,1,17,21,32,59,0.542,8,23,0.348,16,24,0.667,10,27,16,11,6,18,23,louisiana-state,21,17
2019-02-09,,Auburn,W,83,78,28,72,0.389,9,27,0.33299999999999996,18,26,0.6920000000000001,19,44,15,12,1,10,13,27,56,0.48200000000000004,16,38,0.42100000000000004,8,13,0.615,7,33,10,7,3,19,23,louisiana-state,25,26
2019-02-12,@,Kentucky,W,73,71,24,56,0.429,6,21,0.28600000000000003,19,22,0.8640000000000001,9,29,11,8,4,7,17,25,60,0.41700000000000004,5,19,0.263,16,23,0.696,12,34,14,3,1,9,17,louisiana-state,20,22
2019-02-16,@,Georgia,W,83,79,30,54,0.556,5,13,0.385,18,23,0.7829999999999999,9,26,11,6,5,8,19,27,57,0.474,7,16,0.43799999999999994,18,25,0.72,11,26,10,5,3,11,19,louisiana-state,17,15
2019-02-20,,Florida,L (1 OT),77,82,27,63,0.429,7,22,0.318,16,25,0.64,18,38,9,6,3,14,16,30,65,0.462,11,30,0.3670000000000001,11,13,0.846,14,34,12,9,2,13,22,louisiana-state,20,20
2019-02-23,,Tennessee,W (1 OT),82,80,25,65,0.385,8,25,0.32,24,31,0.774,12,35,8,7,1,7,17,30,67,0.44799999999999995,8,22,0.364,12,16,0.75,11,41,10,4,3,14,22,louisiana-state,23,30
2019-02-26,,Texas A&M,W,66,55,23,66,0.348,2,19,0.105,18,21,0.857,15,44,11,10,6,9,18,19,60,0.317,4,22,0.182,13,18,0.722,10,37,6,5,7,12,16,louisiana-state,29,27
2019-03-02,@,Alabama,W,74,69,28,66,0.424,4,17,0.235,14,22,0.636,13,44,11,9,3,10,23,24,64,0.375,8,26,0.308,13,23,0.565,11,39,11,1,3,13,20,louisiana-state,31,28
2019-03-06,@,Florida,W (1 OT),79,78,31,72,0.431,6,19,0.316,11,16,0.688,17,41,10,9,5,14,22,26,58,0.44799999999999995,9,25,0.36,17,25,0.68,10,33,10,9,5,10,16,louisiana-state,24,23
2019-03-09,,Vanderbilt,W,80,59,30,59,0.508,12,24,0.5,8,13,0.615,12,36,17,5,3,7,14,21,51,0.41200000000000003,9,21,0.429,8,16,0.5,7,23,7,5,3,9,13,louisiana-state,24,16
2019-03-15,N,Florida,L,73,76,30,63,0.47600000000000003,6,19,0.316,7,11,0.636,13,40,13,6,2,13,23,26,56,0.46399999999999997,8,28,0.28600000000000003,16,26,0.615,8,31,14,7,1,9,10,louisiana-state,27,23
