date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-08,,Nicholls State,W,85,72,19,40,0.475,5,15,0.33299999999999996,42,55,0.764,5,37,8,7,3,13,12,24,63,0.381,12,31,0.387,12,16,0.75,7,29,13,5,3,12,38,louisville,32,22
2018-11-13,,Southern,W,104,54,32,55,0.5820000000000001,9,25,0.36,31,39,0.795,14,37,17,5,3,13,26,18,46,0.391,3,10,0.3,15,24,0.625,8,22,6,2,0,22,39,louisville,23,14
2018-11-16,,Vermont,W,86,78,26,49,0.531,8,19,0.42100000000000004,26,33,0.7879999999999999,5,27,14,2,2,10,21,26,53,0.491,9,23,0.391,17,19,0.895,4,23,9,5,1,8,26,louisville,22,19
2018-11-21,N,Tennessee,L,81,92,26,59,0.441,11,28,0.39299999999999996,18,24,0.75,8,31,15,7,3,14,20,34,63,0.54,8,22,0.364,16,25,0.64,7,35,22,5,8,10,19,louisville,23,28
2018-11-23,N,Marquette,L (1 OT),74,77,26,69,0.377,6,20,0.3,16,21,0.762,12,35,10,6,5,10,21,25,63,0.397,7,18,0.389,20,23,0.87,9,37,11,6,4,9,20,louisville,23,28
2018-11-27,,Michigan State,W (1 OT),82,78,21,53,0.396,10,29,0.345,30,41,0.732,2,28,9,6,4,10,21,28,59,0.475,8,20,0.4,14,23,0.609,9,45,15,5,3,15,29,louisville,26,36
2018-12-01,@,Seton Hall,W,70,65,25,57,0.439,9,27,0.33299999999999996,11,12,0.917,6,37,13,4,7,14,14,25,62,0.40299999999999997,3,18,0.16699999999999998,12,15,0.8,4,26,11,6,4,7,15,louisville,31,22
2018-12-05,,Central Arkansas,W,86,41,31,60,0.517,9,28,0.321,15,22,0.682,7,47,20,5,2,9,15,16,64,0.25,5,24,0.20800000000000002,4,7,0.5710000000000001,11,36,6,2,1,15,21,louisville,40,25
2018-12-08,@,Indiana,L,67,68,23,60,0.38299999999999995,11,32,0.344,10,13,0.769,8,34,14,6,4,9,22,24,49,0.49,4,14,0.28600000000000003,16,25,0.64,1,29,10,6,2,10,13,louisville,26,28
2018-12-12,,Lipscomb,W,72,68,23,61,0.377,8,23,0.348,18,22,0.818,13,46,13,6,4,17,15,23,65,0.354,9,25,0.36,13,18,0.722,9,33,17,8,4,11,19,louisville,33,24
