date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,UMBC,W,67,42,24,60,0.4,8,32,0.25,11,16,0.688,10,47,12,2,9,10,16,14,62,0.226,6,28,0.214,8,12,0.667,8,31,9,2,1,11,19,marquette,37,23
2018-11-10,,Bethune-Cookman,W,92,59,29,57,0.509,14,27,0.519,20,22,0.909,6,39,20,5,7,21,16,20,69,0.29,3,19,0.158,16,22,0.727,10,29,7,11,2,14,19,marquette,33,19
2018-11-14,@,Indiana,L,73,96,25,59,0.424,5,23,0.217,18,26,0.6920000000000001,9,28,8,2,0,14,20,35,55,0.636,9,20,0.45,17,23,0.7390000000000001,5,35,18,7,5,12,26,marquette,19,30
2018-11-17,,Presbyterian,W,74,55,25,55,0.455,9,25,0.36,15,18,0.833,9,43,21,5,4,15,12,19,61,0.311,12,29,0.414,5,9,0.556,6,20,14,9,3,8,16,marquette,34,14
2018-11-21,N,Kansas,L,68,77,25,60,0.41700000000000004,14,31,0.452,4,5,0.8,5,27,17,2,7,13,22,28,58,0.483,5,10,0.5,16,24,0.667,8,33,10,6,5,8,15,marquette,22,25
2018-11-23,N,Louisville,W (1 OT),77,74,25,63,0.397,7,18,0.389,20,23,0.87,9,37,11,6,4,9,20,26,69,0.377,6,20,0.3,16,21,0.762,12,35,10,6,5,10,21,marquette,28,23
2018-11-27,,Charleston Southern,W,76,55,30,63,0.47600000000000003,13,32,0.406,3,7,0.429,9,33,23,11,5,19,17,22,56,0.39299999999999996,5,13,0.385,6,11,0.545,8,25,11,11,1,17,17,marquette,24,17
2018-12-01,,Kansas State,W,83,71,25,44,0.568,6,22,0.273,27,36,0.75,3,32,9,8,0,18,24,23,55,0.418,6,22,0.273,19,31,0.613,5,20,11,8,0,13,29,marquette,29,15
2018-12-04,,UTEP,W,76,69,29,59,0.4920000000000001,4,22,0.182,14,21,0.667,8,38,16,7,3,13,20,25,59,0.424,6,20,0.3,13,19,0.684,7,33,11,8,0,15,22,marquette,30,26
2018-12-08,,Wisconsin,W (1 OT),74,69,23,65,0.354,6,18,0.33299999999999996,22,34,0.647,12,38,11,5,4,8,18,27,54,0.5,5,24,0.20800000000000002,10,21,0.47600000000000003,2,34,15,4,2,12,21,marquette,26,32
2018-12-18,,North Dakota,W,92,66,34,58,0.586,11,20,0.55,13,13,1.0,6,43,18,8,7,22,17,26,73,0.35600000000000004,3,20,0.15,11,15,0.733,9,23,12,13,2,13,14,marquette,37,14
2018-12-21,,Buffalo,W,103,85,33,67,0.493,18,29,0.621,19,22,0.8640000000000001,11,43,16,1,10,12,19,29,71,0.408,12,31,0.387,15,25,0.6,11,32,13,9,5,8,19,marquette,32,21
2018-12-28,,Southern,W,84,41,27,60,0.45,9,21,0.429,21,30,0.7,14,49,10,11,4,14,18,14,54,0.259,2,16,0.125,11,18,0.611,6,22,9,8,1,16,22,marquette,35,16
2019-01-01,@,St. John's (NY),L,69,89,26,62,0.419,6,21,0.28600000000000003,11,18,0.611,10,35,13,4,0,12,22,30,56,0.536,11,24,0.45799999999999996,18,24,0.75,6,30,13,6,5,11,16,marquette,25,24
2019-01-06,,Xavier,W,70,52,27,63,0.429,10,29,0.345,6,10,0.6,6,38,15,5,1,10,21,17,54,0.315,1,14,0.071,17,26,0.654,7,35,4,3,3,13,18,marquette,32,28
2019-01-09,@,Creighton,W (1 OT),106,104,33,59,0.5589999999999999,16,28,0.5710000000000001,24,30,0.8,8,37,12,2,6,14,18,33,65,0.508,17,33,0.515,21,26,0.8079999999999999,4,23,15,5,1,9,24,marquette,29,19
2019-01-12,,Seton Hall,W,70,66,22,54,0.40700000000000003,6,23,0.261,20,24,0.833,9,30,14,8,6,20,12,27,64,0.42200000000000004,6,19,0.316,6,9,0.667,10,32,13,9,4,17,19,marquette,21,22
2019-01-15,@,Georgetown,W,74,71,27,57,0.474,7,20,0.35,13,18,0.722,6,29,12,3,6,12,18,22,52,0.423,10,18,0.556,17,22,0.773,6,31,13,7,3,13,19,marquette,23,25
2019-01-20,,Providence,W,79,68,23,54,0.426,10,22,0.455,23,25,0.92,3,29,16,5,6,6,18,26,63,0.413,4,19,0.21100000000000002,12,23,0.522,12,38,19,6,2,10,24,marquette,26,26
2019-01-23,,DePaul,W,79,69,22,52,0.423,7,17,0.41200000000000003,28,32,0.875,9,34,16,8,8,18,16,24,63,0.381,6,21,0.28600000000000003,15,19,0.789,12,36,17,11,1,15,21,marquette,25,24
2019-01-26,@,Xavier,W,87,82,28,58,0.483,14,25,0.56,17,20,0.85,6,30,10,7,4,9,16,29,58,0.5,8,18,0.444,16,22,0.727,7,32,15,6,5,10,14,marquette,24,25
2019-01-30,@,Butler,W,76,58,29,51,0.569,8,16,0.5,10,13,0.769,5,34,8,4,5,13,17,20,61,0.32799999999999996,6,26,0.231,12,17,0.706,11,28,6,6,1,12,15,marquette,29,17
2019-02-05,,St. John's (NY),L,69,70,22,54,0.40700000000000003,8,26,0.308,17,25,0.68,9,35,15,6,2,8,16,26,57,0.456,5,18,0.278,13,16,0.813,6,30,11,4,3,9,20,marquette,26,24
2019-02-09,,Villanova,W,66,65,26,51,0.51,7,18,0.389,7,10,0.7,6,30,13,4,2,12,14,23,57,0.40399999999999997,9,29,0.31,10,15,0.667,8,28,10,9,3,7,10,marquette,24,20
2019-02-12,@,DePaul,W,92,73,33,63,0.524,12,29,0.414,14,18,0.778,7,27,13,4,7,6,23,23,60,0.38299999999999995,7,13,0.5379999999999999,20,28,0.7140000000000001,15,34,10,1,5,16,17,marquette,20,19
2019-02-20,,Butler,W,79,69,28,57,0.491,9,21,0.429,14,18,0.778,11,35,14,5,6,15,15,25,60,0.41700000000000004,8,24,0.33299999999999996,11,12,0.917,10,29,10,7,1,15,17,marquette,24,19
2019-02-23,@,Providence,W,76,58,28,51,0.5489999999999999,10,21,0.47600000000000003,10,13,0.769,5,36,12,1,4,12,18,22,57,0.386,6,20,0.3,8,16,0.5,9,25,10,5,4,8,14,marquette,31,16
2019-02-27,@,Villanova,L,61,67,23,48,0.479,9,22,0.409,6,10,0.6,4,29,12,1,2,17,20,20,58,0.345,9,32,0.281,18,26,0.6920000000000001,12,30,14,4,3,7,15,marquette,25,18
