date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Delaware,W,73,67,25,62,0.40299999999999997,2,19,0.105,21,30,0.7,15,41,13,9,7,12,14,26,65,0.4,6,23,0.261,9,11,0.818,8,27,10,9,5,11,22,maryland,26,19
2018-11-09,@,Navy,W,78,57,25,59,0.424,5,23,0.217,23,27,0.852,9,36,12,8,4,10,18,19,52,0.365,7,20,0.35,12,20,0.6,8,32,15,6,3,17,20,maryland,27,24
2018-11-12,,North Carolina A&T,W,82,59,31,66,0.47,10,30,0.33299999999999996,10,16,0.625,13,42,24,8,3,12,13,24,61,0.39299999999999996,4,22,0.182,7,9,0.778,7,29,13,7,4,12,20,maryland,29,22
2018-11-16,,Hofstra,W,80,69,33,64,0.516,7,22,0.318,7,13,0.5379999999999999,14,37,16,5,4,11,16,22,53,0.415,9,27,0.33299999999999996,16,20,0.8,5,23,8,4,2,7,15,maryland,23,18
2018-11-18,,Mount St. Mary's,W,92,77,38,61,0.623,7,19,0.368,9,15,0.6,12,38,23,7,5,18,19,24,60,0.4,10,29,0.345,19,22,0.8640000000000001,6,18,11,10,1,12,18,maryland,26,12
2018-11-23,,Marshall,W,104,67,35,61,0.574,9,16,0.563,25,36,0.6940000000000001,12,50,15,10,7,19,16,25,73,0.342,8,31,0.258,9,14,0.643,9,24,13,11,6,17,24,maryland,38,15
2018-11-28,,Virginia,L,71,76,27,50,0.54,7,17,0.41200000000000003,10,16,0.625,8,30,12,0,2,13,16,28,59,0.475,10,22,0.455,10,15,0.667,9,23,15,7,2,2,19,maryland,22,14
2018-12-01,,Penn State,W,66,59,22,45,0.489,4,14,0.28600000000000003,18,25,0.72,8,35,9,2,1,17,14,25,63,0.397,5,21,0.23800000000000002,4,6,0.667,8,25,9,12,2,8,24,maryland,27,17
2018-12-06,@,Purdue,L,60,62,20,57,0.35100000000000003,9,27,0.33299999999999996,11,14,0.7859999999999999,13,34,10,7,5,16,15,20,50,0.4,9,26,0.34600000000000003,13,16,0.813,7,25,11,8,7,16,15,maryland,21,18
2018-12-08,N,Loyola (IL),W,55,41,21,47,0.447,8,25,0.32,5,7,0.7140000000000001,4,27,10,6,12,15,13,16,50,0.32,2,15,0.133,7,9,0.778,8,26,5,5,1,19,11,maryland,23,18
2018-12-11,,Loyola (MD),W,94,71,33,68,0.485,11,21,0.524,17,19,0.895,10,37,19,4,8,8,10,28,59,0.475,11,21,0.524,4,8,0.5,3,23,14,7,6,13,17,maryland,27,20
2018-12-22,,Seton Hall,L,74,78,27,58,0.466,8,25,0.32,12,20,0.6,7,30,13,3,8,10,20,26,57,0.456,8,21,0.381,18,21,0.857,7,31,10,6,4,8,20,maryland,23,24
2018-12-29,,Radford,W,78,64,25,53,0.47200000000000003,7,20,0.35,21,25,0.84,10,39,15,3,6,12,13,26,66,0.39399999999999996,8,19,0.42100000000000004,4,8,0.5,11,27,14,8,4,7,22,maryland,29,16
2019-01-02,,Nebraska,W,74,72,28,60,0.467,8,17,0.47100000000000003,10,14,0.7140000000000001,12,35,11,4,4,13,17,24,51,0.47100000000000003,9,22,0.409,15,23,0.652,6,27,11,7,4,10,17,maryland,23,21
2019-01-05,@,Rutgers,W,77,63,28,58,0.483,7,20,0.35,14,20,0.7,4,37,15,6,3,11,18,23,62,0.371,6,21,0.28600000000000003,11,17,0.647,8,34,13,6,5,11,20,maryland,33,26
2019-01-08,@,Minnesota,W,82,67,26,48,0.542,6,10,0.6,24,27,0.889,7,39,13,3,4,11,18,26,62,0.419,6,16,0.375,9,23,0.391,9,24,18,6,3,6,19,maryland,32,15
2019-01-11,,Indiana,W,78,75,26,63,0.413,8,25,0.32,18,22,0.818,15,38,13,2,3,9,15,26,53,0.491,7,17,0.41200000000000003,16,16,1.0,3,24,11,2,1,7,21,maryland,23,21
2019-01-14,,Wisconsin,W,64,60,16,47,0.34,8,16,0.5,24,29,0.828,8,33,7,3,5,10,12,23,60,0.38299999999999995,11,30,0.3670000000000001,3,6,0.5,8,29,13,5,3,7,23,maryland,25,21
2019-01-18,@,Ohio State,W,75,61,25,43,0.581,11,17,0.647,14,16,0.875,4,32,14,8,2,18,15,23,59,0.39,6,26,0.231,9,12,0.75,10,26,8,6,0,10,15,maryland,28,16
2019-01-21,@,Michigan State,L,55,69,21,61,0.344,9,26,0.34600000000000003,4,7,0.5710000000000001,13,37,17,2,4,12,14,28,61,0.45899999999999996,6,26,0.231,7,11,0.636,11,36,21,9,9,8,12,maryland,24,25
2019-01-26,N,Illinois,L,67,78,20,45,0.444,6,19,0.316,21,24,0.875,6,30,11,4,2,21,17,25,59,0.424,8,23,0.348,20,22,0.909,6,24,17,13,1,9,21,maryland,24,18
2019-01-29,,Northwestern,W,70,52,25,54,0.46299999999999997,7,16,0.43799999999999994,13,16,0.813,7,39,15,3,3,11,14,18,58,0.31,5,23,0.217,11,15,0.733,5,27,8,7,2,7,19,maryland,32,22
2019-02-01,@,Wisconsin,L,61,69,25,56,0.446,8,20,0.4,3,8,0.375,9,35,8,2,5,12,18,23,49,0.469,9,18,0.5,14,23,0.609,4,24,13,7,4,4,14,maryland,26,20
2019-02-06,@,Nebraska,W,60,45,22,58,0.379,7,20,0.35,9,18,0.5,12,53,10,2,5,10,19,12,57,0.21100000000000002,4,17,0.235,17,26,0.654,10,38,5,5,5,4,16,maryland,41,28
2019-02-12,,Purdue,W,70,56,26,52,0.5,8,27,0.29600000000000004,10,15,0.667,5,34,17,3,8,11,13,20,71,0.282,7,33,0.212,9,14,0.643,13,36,5,6,3,3,17,maryland,29,23
2019-02-16,@,Michigan,L,52,65,20,55,0.364,6,22,0.273,6,8,0.75,10,37,11,1,2,16,12,25,59,0.424,7,26,0.26899999999999996,8,10,0.8,6,30,15,7,4,5,13,maryland,27,24
2019-02-19,@,Iowa,W,66,65,22,53,0.415,12,28,0.429,10,12,0.833,8,31,16,7,5,13,22,19,58,0.32799999999999996,8,26,0.308,19,24,0.792,15,35,12,6,3,14,12,maryland,23,20
2019-02-23,,Ohio State,W,72,62,23,47,0.489,6,17,0.353,20,25,0.8,9,36,12,3,5,15,11,23,63,0.365,11,33,0.33299999999999996,5,7,0.7140000000000001,9,27,14,9,3,7,18,maryland,27,18
2019-02-27,@,Penn State,L,61,78,23,56,0.41100000000000003,2,19,0.105,13,15,0.867,10,32,7,4,2,16,16,27,59,0.45799999999999996,7,20,0.35,17,21,0.81,10,29,16,11,2,10,15,maryland,22,19
2019-03-03,,Michigan,L,62,69,25,58,0.431,6,20,0.3,6,10,0.6,11,30,8,1,6,9,17,25,57,0.439,6,20,0.3,13,15,0.867,9,28,14,4,3,3,12,maryland,19,19
2019-03-08,,Minnesota,W,69,60,26,62,0.419,7,20,0.35,10,12,0.833,11,36,14,5,6,9,14,21,55,0.382,8,23,0.348,10,15,0.667,6,29,13,4,4,13,10,maryland,25,23
2019-03-14,N,Nebraska,L,61,69,18,50,0.36,6,20,0.3,19,23,0.826,5,29,13,4,5,11,16,24,55,0.436,8,22,0.364,13,19,0.684,8,33,12,8,4,7,21,maryland,24,25
