date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Omaha,W,104,76,39,62,0.629,10,21,0.47600000000000003,16,23,0.696,11,38,28,5,4,18,16,28,63,0.444,7,19,0.368,13,17,0.765,5,19,7,9,3,13,19,minnesota,27,14
2018-11-12,,Utah,W,78,69,29,56,0.518,7,19,0.368,13,18,0.722,6,31,20,4,7,10,19,24,60,0.4,7,21,0.33299999999999996,14,19,0.737,7,27,10,3,2,12,19,minnesota,25,20
2018-11-18,N,Texas A&M,W,69,64,22,52,0.423,7,18,0.389,18,32,0.563,13,33,11,6,3,20,20,25,61,0.41,3,15,0.2,11,15,0.733,13,34,9,11,4,13,25,minnesota,20,21
2018-11-20,N,Santa Clara,W,80,66,24,67,0.358,9,23,0.391,23,38,0.605,11,36,12,2,4,9,14,25,57,0.439,11,23,0.478,5,9,0.556,3,28,12,4,4,10,28,minnesota,25,25
2018-11-21,N,Washington,W,68,66,21,55,0.382,4,12,0.33299999999999996,22,33,0.667,13,30,8,6,1,14,21,23,46,0.5,3,14,0.214,17,24,0.708,7,29,7,4,8,16,24,minnesota,17,22
2018-11-26,@,Boston College,L,56,68,19,65,0.292,5,30,0.16699999999999998,13,17,0.765,12,35,13,4,1,9,23,25,53,0.47200000000000003,5,22,0.22699999999999998,13,24,0.542,8,41,14,5,5,12,18,minnesota,23,33
2018-11-30,,Oklahoma State,W,83,76,26,50,0.52,8,14,0.5710000000000001,23,30,0.767,6,33,18,4,8,18,20,27,63,0.429,10,19,0.526,12,24,0.5,10,30,12,8,7,11,24,minnesota,27,20
2018-12-02,@,Ohio State,L,59,79,20,51,0.392,0,13,0.0,19,32,0.594,8,30,7,2,4,12,20,28,60,0.467,7,17,0.41200000000000003,16,20,0.8,11,39,16,5,1,10,26,minnesota,22,28
2018-12-05,,Nebraska,W,85,78,29,56,0.518,3,8,0.375,24,32,0.75,13,35,15,4,5,13,15,28,61,0.45899999999999996,7,21,0.33299999999999996,15,19,0.789,12,28,13,8,5,10,22,minnesota,22,16
2018-12-08,,Arkansas State,W,72,56,24,54,0.444,8,17,0.47100000000000003,16,24,0.667,13,38,19,5,6,13,14,20,64,0.313,8,20,0.4,8,10,0.8,8,28,9,7,8,11,21,minnesota,25,20
2018-12-11,,North Florida,W,80,71,26,67,0.38799999999999996,1,15,0.067,27,39,0.6920000000000001,22,49,16,7,4,10,12,26,63,0.413,8,22,0.364,11,12,0.917,7,31,16,3,9,13,24,minnesota,27,24
2018-12-21,,North Carolina A&T,W,86,67,34,74,0.45899999999999996,4,20,0.2,14,23,0.609,19,45,22,11,7,13,17,25,57,0.439,5,15,0.33299999999999996,12,17,0.706,6,29,12,4,6,15,16,minnesota,26,23
2018-12-30,,Mount St. Mary's,W,71,53,22,52,0.423,4,19,0.21100000000000002,23,30,0.767,10,39,13,6,9,12,15,20,59,0.33899999999999997,8,24,0.33299999999999996,5,10,0.5,8,31,12,4,5,14,23,minnesota,29,23
2019-01-03,@,Wisconsin,W,59,52,21,48,0.43799999999999994,6,14,0.429,11,17,0.647,5,34,8,7,0,13,19,20,48,0.41700000000000004,5,22,0.22699999999999998,7,17,0.41200000000000003,2,24,5,8,5,10,17,minnesota,29,22
2019-01-08,,Maryland,L,67,82,26,62,0.419,6,16,0.375,9,23,0.391,9,24,18,6,3,6,19,26,48,0.542,6,10,0.6,24,27,0.889,7,39,13,3,4,11,18,minnesota,15,32
2019-01-12,,Rutgers,W,88,70,29,58,0.5,10,24,0.41700000000000004,20,25,0.8,7,32,24,7,5,8,14,28,67,0.418,4,18,0.222,10,16,0.625,13,35,12,3,1,11,17,minnesota,25,22
2019-01-16,@,Illinois,L,68,95,26,59,0.441,3,14,0.214,13,19,0.684,9,25,8,7,4,13,15,37,66,0.561,8,16,0.5,13,15,0.867,9,35,11,8,0,16,20,minnesota,16,26
2019-01-19,,Penn State,W,65,64,20,50,0.4,3,14,0.214,22,30,0.733,8,30,16,7,4,11,20,22,52,0.423,8,17,0.47100000000000003,12,20,0.6,7,29,13,8,4,12,22,minnesota,22,22
2019-01-22,@,Michigan,L,57,59,21,52,0.40399999999999997,5,15,0.33299999999999996,10,14,0.7140000000000001,11,37,8,2,4,16,17,21,62,0.33899999999999997,3,22,0.136,14,22,0.636,10,30,7,9,4,6,13,minnesota,26,20
2019-01-27,,Iowa,W,92,87,32,56,0.5710000000000001,7,18,0.389,21,31,0.677,6,23,25,7,3,9,17,32,59,0.542,10,18,0.556,13,21,0.619,9,31,23,7,1,13,23,minnesota,17,22
2019-01-30,,Illinois,W,86,75,30,60,0.5,6,19,0.316,20,26,0.769,9,32,16,2,2,8,18,26,58,0.44799999999999995,7,24,0.292,16,22,0.727,9,29,12,4,2,9,23,minnesota,23,20
2019-02-03,@,Purdue,L,63,73,24,57,0.42100000000000004,2,16,0.125,13,16,0.813,8,31,15,3,3,10,15,29,61,0.475,5,24,0.20800000000000002,10,17,0.588,10,33,15,5,6,7,14,minnesota,23,23
2019-02-06,,Wisconsin,L,51,56,20,57,0.35100000000000003,1,13,0.077,10,13,0.769,12,41,10,4,8,9,16,19,55,0.345,6,22,0.273,12,18,0.667,8,28,10,5,8,5,13,minnesota,29,20
2019-02-09,@,Michigan State,L,55,79,18,49,0.3670000000000001,5,14,0.35700000000000004,14,23,0.609,6,29,14,1,1,12,14,31,60,0.517,6,15,0.4,11,16,0.688,10,37,27,6,2,8,18,minnesota,23,27
2019-02-13,@,Nebraska,L,61,62,25,54,0.46299999999999997,6,14,0.429,5,8,0.625,7,25,12,4,4,9,14,24,48,0.5,5,14,0.35700000000000004,9,13,0.6920000000000001,2,22,11,3,4,11,14,minnesota,18,20
2019-02-16,,Indiana,W,84,63,28,58,0.483,12,22,0.545,16,23,0.696,9,34,19,3,1,10,19,20,53,0.377,2,17,0.11800000000000001,21,28,0.75,7,30,8,7,10,12,19,minnesota,25,23
2019-02-21,,Michigan,L,60,69,25,67,0.373,1,10,0.1,9,18,0.5,13,42,13,4,2,8,13,25,57,0.439,13,28,0.46399999999999997,6,11,0.545,4,34,20,6,7,9,13,minnesota,29,30
2019-02-24,@,Rutgers,L,64,68,23,54,0.426,8,15,0.5329999999999999,10,20,0.5,7,27,9,3,4,11,18,25,56,0.446,5,14,0.35700000000000004,13,19,0.684,6,30,6,7,4,8,16,minnesota,20,24
2019-02-28,@,Northwestern,W,62,50,21,51,0.41200000000000003,5,14,0.35700000000000004,15,19,0.789,5,37,9,8,5,12,13,18,53,0.34,7,24,0.292,7,10,0.7,3,29,13,9,4,14,18,minnesota,32,26
2019-03-05,,Purdue,W,73,69,21,49,0.429,4,14,0.28600000000000003,27,36,0.75,7,38,13,7,9,14,15,24,68,0.353,12,31,0.387,9,18,0.5,16,39,13,9,3,12,24,minnesota,31,23
