date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-10,,Western Michigan,W,90,64,33,61,0.541,10,22,0.455,14,18,0.778,10,26,14,15,5,11,20,20,49,0.408,7,19,0.368,17,21,0.81,6,21,15,4,0,24,18,mississippi,16,15
2018-11-16,@,Butler,L,76,83,26,56,0.46399999999999997,11,26,0.423,13,21,0.619,9,27,14,4,3,15,25,25,54,0.46299999999999997,10,23,0.435,23,27,0.852,8,26,12,4,3,9,18,mississippi,18,18
2018-11-20,,Nicholls State,W,75,55,26,54,0.48100000000000004,6,17,0.353,17,23,0.7390000000000001,7,40,21,4,6,15,8,22,65,0.33799999999999997,7,24,0.292,4,6,0.667,5,22,11,9,3,14,20,mississippi,33,17
2018-11-23,N,Baylor,W,78,70,22,56,0.39299999999999996,5,20,0.25,29,36,0.8059999999999999,9,33,14,8,4,13,21,25,54,0.46299999999999997,2,18,0.111,18,22,0.818,6,25,11,7,3,18,27,mississippi,24,19
2018-11-24,N,Cincinnati,L,57,71,19,51,0.373,3,21,0.14300000000000002,16,17,0.941,6,24,3,3,6,11,26,20,50,0.4,6,14,0.429,25,35,0.7140000000000001,8,30,9,4,6,7,17,mississippi,18,22
2018-11-28,,San Diego,W,93,86,33,54,0.611,7,16,0.43799999999999994,20,23,0.87,7,32,20,7,4,14,19,31,64,0.484,9,23,0.391,15,18,0.833,7,23,21,6,0,13,21,mississippi,25,16
2018-12-01,,Louisiana-Monroe,W,83,60,33,63,0.524,11,29,0.379,6,8,0.75,11,38,25,7,3,11,19,20,52,0.385,7,21,0.33299999999999996,13,19,0.684,5,22,14,4,0,11,11,mississippi,27,17
2018-12-08,@,Illinois State,W,81,74,30,57,0.526,7,19,0.368,14,15,0.9329999999999999,9,39,16,7,2,16,18,26,63,0.413,10,25,0.4,12,19,0.632,10,27,15,7,3,10,15,mississippi,30,17
2018-12-12,N,Southeastern Louisiana,W,69,47,28,53,0.528,6,13,0.462,7,12,0.583,9,30,16,5,3,9,15,19,51,0.373,2,17,0.11800000000000001,7,10,0.7,5,21,15,2,1,11,11,mississippi,21,16
2018-12-16,,Chattanooga,W,90,70,32,52,0.615,9,16,0.563,17,25,0.68,4,26,20,11,6,14,16,27,58,0.466,11,21,0.524,5,10,0.5,6,21,19,1,3,22,22,mississippi,22,15
2018-12-21,N,Middle Tennessee,W,74,56,29,58,0.5,8,22,0.364,8,14,0.5710000000000001,11,37,13,9,4,16,16,19,56,0.33899999999999997,5,14,0.35700000000000004,13,19,0.684,9,27,7,8,2,17,15,mississippi,26,18
2018-12-29,,Florida Gulf Coast,W,87,57,31,60,0.517,12,25,0.48,13,18,0.722,11,34,22,11,5,10,13,21,52,0.40399999999999997,6,16,0.375,9,12,0.75,9,24,13,2,5,19,17,mississippi,23,15
2019-01-05,@,Vanderbilt,W,81,71,28,57,0.491,6,18,0.33299999999999996,19,22,0.8640000000000001,7,35,15,6,6,12,21,24,60,0.4,6,20,0.3,17,29,0.586,10,31,13,7,5,8,16,mississippi,28,21
2019-01-09,,Auburn,W,82,67,24,53,0.45299999999999996,7,19,0.368,27,37,0.73,8,37,13,11,2,17,15,22,67,0.32799999999999996,14,39,0.359,9,17,0.529,11,32,11,6,6,15,23,mississippi,29,21
2019-01-12,@,Mississippi State,W,81,77,27,58,0.466,12,31,0.387,15,20,0.75,6,27,15,3,3,10,17,30,64,0.469,6,21,0.28600000000000003,11,16,0.688,11,35,11,8,4,15,17,mississippi,21,24
2019-01-15,,LSU,L,69,83,26,64,0.406,8,28,0.28600000000000003,9,17,0.529,8,32,14,8,3,16,23,27,57,0.474,9,19,0.474,20,30,0.667,10,37,17,10,7,13,20,mississippi,24,27
2019-01-19,,Arkansas,W,84,67,31,64,0.484,7,22,0.318,15,17,0.882,11,38,19,13,3,13,18,22,55,0.4,6,23,0.261,17,21,0.81,9,30,14,6,3,17,15,mississippi,27,21
2019-01-22,@,Alabama,L,53,74,20,50,0.4,6,20,0.3,7,14,0.5,7,28,6,1,4,16,20,25,65,0.385,7,22,0.318,17,22,0.773,17,38,8,9,9,9,16,mississippi,21,21
2019-01-26,,Iowa State,L,73,87,25,69,0.36200000000000004,8,24,0.33299999999999996,15,17,0.882,13,26,10,8,0,8,11,38,55,0.691,8,15,0.5329999999999999,3,4,0.75,3,31,26,1,3,19,14,mississippi,13,28
2019-01-30,@,Florida,L (1 OT),86,90,29,63,0.46,6,23,0.261,22,26,0.846,13,37,10,7,1,16,23,31,63,0.4920000000000001,11,26,0.423,17,22,0.773,8,27,18,6,1,13,20,mississippi,24,19
2019-02-02,,Mississippi State,L,75,81,26,57,0.456,11,21,0.524,12,14,0.857,4,21,14,6,4,13,19,27,58,0.466,8,17,0.47100000000000003,19,28,0.679,13,36,13,9,3,15,16,mississippi,17,23
2019-02-06,,Texas A&M,W,75,71,24,58,0.414,9,26,0.34600000000000003,18,19,0.9470000000000001,9,31,16,14,4,12,12,28,62,0.452,11,23,0.478,4,8,0.5,10,31,16,12,3,17,21,mississippi,22,21
2019-02-09,@,Georgia,W,80,64,28,63,0.444,9,25,0.36,15,19,0.789,9,32,12,10,2,10,17,21,52,0.40399999999999997,11,25,0.44,11,16,0.688,8,29,11,5,5,19,20,mississippi,23,21
2019-02-13,@,Auburn,W,60,55,19,51,0.373,13,33,0.39399999999999996,9,13,0.6920000000000001,8,31,12,8,2,13,20,16,49,0.327,5,20,0.25,18,23,0.7829999999999999,10,32,7,6,4,14,16,mississippi,23,22
2019-02-16,,Missouri,W,75,65,23,50,0.46,9,24,0.375,20,23,0.87,4,20,17,13,3,10,19,24,51,0.47100000000000003,8,17,0.47100000000000003,9,12,0.75,9,33,9,4,1,25,22,mississippi,16,24
2019-02-19,@,South Carolina,L,64,79,23,62,0.371,5,23,0.217,13,19,0.684,7,33,10,3,9,11,22,27,64,0.42200000000000004,9,19,0.474,16,27,0.593,12,40,15,9,5,10,15,mississippi,26,28
2019-02-23,,Georgia,W,72,71,28,65,0.431,12,28,0.429,4,5,0.8,12,26,15,8,2,14,18,25,48,0.521,5,16,0.313,16,22,0.727,4,27,19,7,2,19,13,mississippi,14,23
2019-02-27,,Tennessee,L,71,73,24,58,0.414,9,23,0.391,14,15,0.9329999999999999,7,27,14,5,2,10,17,29,56,0.518,3,13,0.231,12,16,0.75,4,30,16,7,3,9,14,mississippi,20,26
2019-03-02,@,Arkansas,L,73,74,29,54,0.537,6,22,0.273,9,11,0.818,4,25,15,6,1,14,18,27,49,0.551,9,18,0.5,11,20,0.55,4,19,20,10,4,13,15,mississippi,21,15
2019-03-05,,Kentucky,L,76,80,24,59,0.40700000000000003,8,25,0.32,20,22,0.909,8,33,14,4,3,9,20,31,56,0.5539999999999999,4,9,0.444,14,20,0.7,4,27,14,4,7,6,18,mississippi,25,23
2019-03-09,@,Missouri,W,73,68,23,51,0.451,8,22,0.364,19,21,0.905,4,22,9,4,5,7,16,25,52,0.48100000000000004,8,17,0.47100000000000003,10,12,0.833,5,27,12,2,3,9,18,mississippi,18,22
2019-03-14,N,Alabama,L,57,62,24,63,0.381,7,26,0.26899999999999996,2,4,0.5,6,29,11,5,6,9,17,24,59,0.40700000000000003,5,17,0.294,9,18,0.5,13,43,12,7,3,16,9,mississippi,23,30
