date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-10,,Wright State,W,73,54,27,50,0.54,10,22,0.455,9,14,0.643,12,41,17,2,5,20,20,21,55,0.382,3,18,0.16699999999999998,9,17,0.529,6,22,7,7,0,11,15,murray-state,29,16
2018-11-16,,Spalding,W,106,36,43,65,0.662,8,19,0.421,12,17,0.706,11,43,32,13,9,8,14,13,51,0.255,3,16,0.188,7,9,0.778,5,19,5,1,0,18,11,murray-state,32,14
2018-11-24,,Missouri State,W,77,66,25,55,0.455,9,27,0.333,18,22,0.818,8,33,18,8,5,14,21,24,56,0.429,1,16,0.063,17,28,0.607,11,32,11,5,5,16,19,murray-state,25,21
2018-11-26,@,Alabama,L,72,78,29,64,0.453,5,18,0.278,9,12,0.75,12,32,10,7,5,18,21,25,56,0.446,5,18,0.278,23,30,0.767,10,34,12,7,10,21,16,murray-state,20,24
2018-12-01,,Prairie View,W,83,67,25,57,0.439,6,29,0.207,27,37,0.73,13,41,17,5,7,10,22,21,59,0.35600000000000004,6,17,0.353,19,22,0.8640000000000001,10,33,7,3,3,9,25,murray-state,28,23
2018-12-08,@,Middle Tennessee,W,64,42,24,53,0.453,8,25,0.32,8,11,0.727,6,31,14,11,5,12,15,14,48,0.292,2,13,0.154,12,15,0.8,12,35,3,4,1,24,15,murray-state,25,23
2018-12-12,@,Southern Illinois,W,80,52,31,64,0.484,11,26,0.423,7,7,1.0,10,36,20,10,3,11,20,16,51,0.314,3,14,0.214,17,26,0.654,10,28,6,6,7,15,5,murray-state,26,18
2018-12-15,,Jackson State,W,74,57,23,55,0.418,7,20,0.35,21,27,0.778,8,37,17,8,8,13,17,20,63,0.317,4,20,0.2,13,21,0.619,13,37,6,5,4,15,22,murray-state,29,24
2018-12-18,,Evansville,W,66,64,23,59,0.39,6,21,0.28600000000000003,14,21,0.667,10,32,12,4,8,8,16,23,53,0.434,6,21,0.28600000000000003,12,16,0.75,6,34,14,5,4,13,18,murray-state,22,28
2018-12-22,@,Auburn,L,88,93,29,58,0.5,11,25,0.44,19,24,0.792,14,34,18,9,2,17,18,34,64,0.531,13,33,0.394,12,20,0.6,12,29,19,10,5,14,19,murray-state,20,17
2018-12-29,,Bethel (TN),W,110,82,39,71,0.5489999999999999,11,28,0.393,21,30,0.7,7,35,28,12,5,9,20,30,67,0.448,5,19,0.263,17,24,0.708,10,37,13,6,4,18,22,murray-state,28,27
2019-01-03,,Morehead State,W,90,69,38,67,0.5670000000000001,6,15,0.4,8,11,0.727,13,42,25,9,5,14,17,24,58,0.414,12,29,0.414,9,20,0.45,12,30,11,11,0,13,12,murray-state,29,18
2019-01-05,,Eastern Kentucky,W,97,85,37,69,0.536,7,21,0.333,16,24,0.667,13,39,20,14,7,18,18,30,67,0.448,6,25,0.24,19,23,0.826,9,30,10,12,2,18,22,murray-state,26,21
2019-01-10,@,UT-Martin,W,98,77,36,69,0.522,15,31,0.484,11,14,0.7859999999999999,9,30,24,9,6,8,17,29,65,0.446,6,22,0.273,13,18,0.722,13,37,19,6,6,15,15,murray-state,21,24
2019-01-12,@,Southeast Missouri State,W,85,67,33,63,0.524,9,27,0.333,10,16,0.625,10,34,21,4,1,7,14,24,55,0.436,7,22,0.318,12,15,0.8,5,20,9,6,2,9,17,murray-state,24,15
2019-01-17,@,Eastern Illinois,W,83,61,34,65,0.523,9,21,0.429,6,10,0.6,10,43,17,8,6,13,13,24,66,0.364,8,24,0.333,5,13,0.385,10,30,14,7,5,11,13,murray-state,33,20
2019-01-19,@,SIU-Edwardsville,W,82,72,25,46,0.5429999999999999,5,17,0.294,27,31,0.871,3,25,18,10,0,15,18,26,63,0.413,4,19,0.211,16,16,1.0,9,28,9,4,1,14,24,murray-state,22,19
