date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,BYU,W,86,70,25,66,0.379,8,28,0.28600000000000003,28,39,0.718,10,45,19,4,4,8,20,26,69,0.377,6,31,0.19399999999999998,12,19,0.632,7,39,17,4,4,7,27,nevada,35,32
2018-11-09,,Pacific,W,83,61,25,56,0.446,15,31,0.484,18,27,0.667,9,37,21,5,6,7,18,25,60,0.41700000000000004,5,20,0.25,6,14,0.429,6,30,15,4,1,9,28,nevada,28,24
2018-11-16,,Little Rock,W,87,59,30,56,0.536,10,27,0.37,17,25,0.68,3,42,22,4,5,11,20,22,63,0.349,8,29,0.276,7,17,0.41200000000000003,5,32,13,6,2,11,24,nevada,39,27
2018-11-19,,California Baptist,W,90,55,29,57,0.509,5,18,0.278,27,38,0.711,11,43,19,9,4,12,20,19,61,0.311,6,25,0.24,11,17,0.647,7,26,7,4,2,16,28,nevada,32,19
2018-11-22,N,Tulsa,W,96,86,25,57,0.439,11,32,0.344,35,42,0.833,11,31,6,4,4,7,22,29,54,0.537,7,23,0.304,21,27,0.778,7,23,13,4,1,12,28,nevada,20,16
2018-11-23,N,UMass,W,110,87,40,65,0.615,11,21,0.524,19,26,0.731,12,35,17,4,2,7,19,26,64,0.406,15,36,0.41700000000000004,20,25,0.8,13,28,13,2,3,8,23,nevada,23,15
2018-11-27,@,Loyola (IL),W,79,65,32,55,0.5820000000000001,6,14,0.429,9,15,0.6,6,33,15,7,6,7,11,26,60,0.433,7,20,0.35,6,8,0.75,9,28,15,4,6,12,18,nevada,27,19
2018-12-01,@,USC,W,73,61,28,60,0.467,8,20,0.4,9,13,0.6920000000000001,6,34,16,1,1,11,13,26,60,0.433,5,21,0.23800000000000002,4,8,0.5,2,30,11,8,4,8,14,nevada,28,28
2018-12-07,N,Arizona State,W,72,66,25,55,0.455,3,18,0.16699999999999998,19,24,0.792,3,26,11,3,7,11,15,25,62,0.40299999999999997,5,20,0.25,11,17,0.647,11,34,13,4,2,16,25,nevada,23,23
2018-12-09,N,Grand Canyon,W,74,66,22,51,0.431,6,22,0.273,24,29,0.828,6,34,11,7,2,13,13,25,61,0.41,10,21,0.47600000000000003,6,8,0.75,9,33,15,5,1,14,21,nevada,28,24
2018-12-15,,South Dakota State,W,72,68,22,65,0.33799999999999997,10,39,0.256,18,23,0.7829999999999999,11,36,15,4,6,6,12,23,55,0.418,11,28,0.39299999999999996,11,14,0.7859999999999999,3,35,14,2,0,14,24,nevada,25,32
2018-12-22,,Akron,W,68,62,21,50,0.42,8,24,0.33299999999999996,18,24,0.75,7,31,15,6,6,12,13,23,64,0.359,10,28,0.35700000000000004,6,8,0.75,15,35,13,6,2,13,23,nevada,24,20
2018-12-29,@,Utah,W,86,71,29,61,0.475,12,26,0.462,16,23,0.696,12,27,14,7,4,6,17,22,53,0.415,9,25,0.36,18,22,0.818,10,29,9,1,3,16,20,nevada,15,19
2019-01-02,,Utah State,W,72,49,24,61,0.39299999999999996,7,29,0.24100000000000002,17,20,0.85,9,39,17,15,5,15,16,16,61,0.262,4,23,0.174,11,17,0.647,13,41,8,7,5,20,17,nevada,30,28
2019-01-05,@,New Mexico,L,58,85,19,57,0.33299999999999996,4,22,0.182,16,27,0.593,6,32,11,3,5,14,18,31,68,0.456,11,29,0.379,12,16,0.75,12,43,18,7,6,9,19,nevada,26,31
2019-01-09,,San Jose State,W,92,53,38,73,0.521,13,34,0.382,3,7,0.429,8,37,23,15,2,8,12,22,55,0.4,7,24,0.292,2,6,0.33299999999999996,6,33,9,2,0,22,13,nevada,29,27
2019-01-12,@,Fresno State,W,74,64,25,65,0.385,10,37,0.27,14,19,0.737,17,40,9,5,5,7,14,22,51,0.431,10,25,0.4,10,17,0.588,7,32,11,2,6,12,20,nevada,23,25
2019-01-15,@,Boise State,W,72,71,26,51,0.51,9,25,0.36,11,17,0.647,2,27,10,4,3,14,21,24,57,0.42100000000000004,5,21,0.23800000000000002,18,23,0.7829999999999999,4,26,7,7,1,9,16,nevada,25,22
2019-01-19,,Air Force,W,67,52,24,57,0.42100000000000004,5,27,0.185,14,23,0.609,9,37,13,8,1,14,18,19,51,0.373,6,22,0.273,8,9,0.889,3,28,11,5,0,21,24,nevada,28,25
2019-01-23,,Colorado State,W,100,60,37,66,0.561,13,27,0.48100000000000004,13,20,0.65,4,29,21,11,3,7,14,21,53,0.396,9,20,0.45,9,14,0.643,6,33,13,4,0,20,19,nevada,25,27
2019-01-29,@,UNLV,W,87,70,25,52,0.48100000000000004,9,22,0.409,28,32,0.875,4,35,14,6,5,11,21,25,68,0.368,7,26,0.26899999999999996,13,20,0.65,14,37,14,7,2,14,26,nevada,31,23
2019-02-02,,Boise State,W,93,73,35,63,0.556,13,28,0.46399999999999997,10,13,0.769,4,33,22,5,2,4,20,26,56,0.46399999999999997,9,21,0.429,12,19,0.632,4,26,13,2,1,11,15,nevada,29,22
2019-02-06,@,Colorado State,W,98,82,31,66,0.47,8,22,0.364,28,35,0.8,12,32,18,5,4,5,18,33,58,0.569,5,16,0.313,11,16,0.688,5,29,20,2,7,8,23,nevada,20,24
2019-02-09,,New Mexico,W,91,62,34,68,0.5,6,20,0.3,17,24,0.708,11,46,18,9,4,17,17,22,66,0.33299999999999996,8,30,0.267,10,15,0.667,7,33,11,6,1,20,20,nevada,35,26
2019-02-16,@,Wyoming,W,82,49,31,57,0.544,9,23,0.391,11,17,0.647,8,39,14,7,2,13,17,15,50,0.3,6,24,0.25,13,18,0.722,5,27,7,6,1,15,19,nevada,31,22
2019-02-20,@,San Diego State,L,57,65,19,56,0.33899999999999997,7,25,0.28,12,20,0.6,6,35,11,5,7,14,21,25,63,0.397,6,19,0.316,9,17,0.529,8,39,12,7,4,14,21,nevada,29,31
2019-02-23,,Fresno State,W,74,68,21,48,0.43799999999999994,10,24,0.41700000000000004,22,31,0.71,8,31,15,9,1,14,16,26,58,0.44799999999999995,11,26,0.423,5,10,0.5,9,28,13,2,2,17,26,nevada,23,19
2019-02-27,,UNLV,W,89,73,32,60,0.5329999999999999,13,27,0.48100000000000004,12,17,0.706,8,25,20,9,3,8,13,28,63,0.444,9,26,0.34600000000000003,8,13,0.615,13,32,11,8,1,17,18,nevada,17,19
2019-03-02,@,Utah State,L,76,81,24,66,0.364,6,23,0.261,22,34,0.647,12,38,8,7,4,11,28,24,51,0.47100000000000003,5,17,0.294,28,37,0.757,5,40,16,6,5,11,26,nevada,26,35
2019-03-05,@,Air Force,W,90,79,33,63,0.524,13,26,0.5,11,18,0.611,7,33,14,5,6,5,16,29,57,0.509,12,25,0.48,9,15,0.6,4,28,15,3,4,10,15,nevada,26,24
2019-03-09,,San Diego State,W,81,53,26,49,0.531,9,23,0.391,20,35,0.5710000000000001,4,38,14,4,2,13,17,18,52,0.34600000000000003,10,21,0.47600000000000003,7,17,0.41200000000000003,1,25,10,4,0,12,25,nevada,34,24
2019-03-14,N,Boise State,W,77,69,26,54,0.48100000000000004,9,23,0.391,16,21,0.762,7,30,16,2,3,9,15,25,55,0.455,8,17,0.47100000000000003,11,13,0.846,4,23,14,6,2,8,15,nevada,23,19
2019-03-15,N,San Diego State,L,56,65,22,58,0.379,6,24,0.25,6,13,0.462,10,36,5,5,5,12,18,23,54,0.426,6,13,0.462,13,17,0.765,5,29,11,3,1,10,18,nevada,26,24
