date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-09,@,Clemson,L,51,71,18,55,0.327,4,18,0.222,11,15,0.733,9,32,8,5,1,20,22,23,49,0.469,10,27,0.37,15,21,0.7140000000000001,5,28,18,8,7,11,17,north-carolina-central,23,23
2018-11-13,@,Cincinnati,L,51,73,17,47,0.36200000000000004,8,17,0.47100000000000003,9,12,0.75,8,23,12,4,1,14,18,31,53,0.585,5,14,0.35700000000000004,6,12,0.5,6,26,19,8,8,11,13,north-carolina-central,15,20
2018-11-15,@,Bowling Green State,L,60,75,24,57,0.42100000000000004,10,26,0.385,2,7,0.28600000000000003,10,35,14,2,2,14,19,29,57,0.509,6,17,0.353,11,17,0.647,7,32,16,7,0,6,11,north-carolina-central,25,25
2018-11-18,,Warren Wilson,W,123,57,44,70,0.629,17,28,0.607,18,23,0.7829999999999999,15,51,34,15,6,18,15,22,63,0.349,10,35,0.28600000000000003,3,12,0.25,8,21,14,5,2,22,19,north-carolina-central,36,13
2018-11-20,@,George Mason,L,63,78,23,45,0.511,3,12,0.25,14,22,0.636,3,22,10,4,2,16,20,26,51,0.51,7,23,0.304,19,26,0.731,5,24,18,5,2,8,20,north-carolina-central,19,19
2018-11-23,N,Nicholls State,L,63,77,24,60,0.4,2,17,0.11800000000000001,13,23,0.565,17,41,8,2,3,15,12,31,61,0.508,10,25,0.4,5,8,0.625,6,27,15,7,4,9,15,north-carolina-central,24,21
2018-11-24,N,Southern,W,83,71,26,49,0.531,6,14,0.429,25,30,0.833,11,27,10,6,2,13,17,27,55,0.491,5,14,0.35700000000000004,12,16,0.75,10,20,6,4,5,13,21,north-carolina-central,16,10
2018-11-28,,Christendom,W,110,51,42,72,0.583,5,19,0.263,21,24,0.875,8,34,21,23,4,12,18,19,44,0.4320000000000001,8,19,0.42100000000000004,5,10,0.5,2,23,14,3,1,37,18,north-carolina-central,26,21
2018-12-01,,McNeese State,W,67,66,25,61,0.41,5,22,0.22699999999999998,12,15,0.8,9,29,11,5,3,10,18,25,54,0.46299999999999997,7,14,0.5,9,15,0.6,11,35,13,1,3,12,16,north-carolina-central,20,24
2018-12-08,@,Appalachian State,L,73,82,28,58,0.483,5,20,0.25,12,17,0.706,10,34,13,8,1,17,21,27,59,0.45799999999999996,7,25,0.28,21,25,0.84,8,30,14,2,5,13,12,north-carolina-central,24,22
2018-12-13,@,McNeese State,L,61,77,24,56,0.429,9,24,0.375,4,9,0.444,10,26,16,5,1,18,18,25,51,0.49,2,15,0.133,25,29,0.862,11,35,16,7,1,16,12,north-carolina-central,16,24
2018-12-16,@,Coastal Carolina,L,65,69,23,51,0.451,8,24,0.33299999999999996,11,14,0.7859999999999999,7,27,14,12,2,18,18,20,46,0.435,8,19,0.42100000000000004,21,25,0.84,5,22,12,6,4,17,16,north-carolina-central,20,17
2018-12-19,@,Saint Louis,L,65,74,26,45,0.578,6,13,0.462,7,8,0.875,2,21,20,7,4,24,23,30,61,0.4920000000000001,6,15,0.4,8,19,0.42100000000000004,15,30,20,12,4,18,16,north-carolina-central,19,15
2018-12-30,,Wilberforce,W,91,44,36,75,0.48,2,22,0.091,17,23,0.7390000000000001,17,48,21,11,4,12,16,17,64,0.266,5,24,0.20800000000000002,5,14,0.35700000000000004,13,33,9,6,3,24,20,north-carolina-central,31,20
2019-01-05,,Bethune-Cookman,W,68,59,24,54,0.444,3,17,0.17600000000000002,17,24,0.708,4,30,15,10,5,14,20,21,56,0.375,5,18,0.278,12,21,0.5710000000000001,10,37,5,7,1,21,21,north-carolina-central,26,27
2019-01-12,@,Maryland-Eastern Shore,W,61,48,21,56,0.375,10,30,0.33299999999999996,9,11,0.818,11,40,13,2,1,11,18,17,50,0.34,5,18,0.278,9,14,0.643,5,24,14,3,3,7,13,north-carolina-central,29,19
2019-01-14,@,Delaware State,W,71,70,27,50,0.54,3,10,0.3,14,19,0.737,9,32,15,1,7,15,16,26,60,0.433,9,25,0.36,9,11,0.818,4,18,8,5,3,8,19,north-carolina-central,23,14
2019-01-19,,Coppin State,L,60,64,21,56,0.375,5,17,0.294,13,19,0.684,10,38,13,7,1,20,19,23,62,0.371,6,24,0.25,12,17,0.706,11,35,7,6,1,13,19,north-carolina-central,28,24
2019-01-21,,Morgan State,W,92,64,35,66,0.53,12,23,0.522,10,15,0.667,7,42,24,5,3,13,17,26,64,0.406,2,12,0.16699999999999998,10,16,0.625,6,28,12,3,4,11,15,north-carolina-central,35,22
2019-01-26,,North Carolina A&T,L,48,51,20,57,0.35100000000000003,3,22,0.136,5,7,0.7140000000000001,13,38,11,6,3,18,13,18,48,0.375,7,22,0.318,8,10,0.8,3,23,14,6,2,12,9,north-carolina-central,25,20
2019-01-28,@,Savannah State,W,82,78,30,57,0.526,6,16,0.375,16,26,0.615,9,41,19,5,5,17,13,28,62,0.452,10,35,0.28600000000000003,12,16,0.75,4,21,15,12,5,9,21,north-carolina-central,32,17
2019-02-02,@,Bethune-Cookman,L,64,74,22,65,0.33799999999999997,1,24,0.042,19,27,0.7040000000000001,19,45,17,4,3,18,23,26,59,0.441,3,11,0.273,19,29,0.655,13,38,18,12,7,12,22,north-carolina-central,26,25
2019-02-04,@,Florida A&M,L,57,73,18,58,0.31,1,19,0.053,20,31,0.645,15,33,4,8,2,12,19,27,52,0.519,6,16,0.375,13,17,0.765,8,30,11,5,8,15,16,north-carolina-central,18,22
2019-02-09,,Maryland-Eastern Shore,W,78,53,28,49,0.5710000000000001,10,19,0.526,12,17,0.706,9,29,19,8,2,10,16,20,44,0.455,5,12,0.41700000000000004,8,15,0.5329999999999999,4,14,14,4,1,9,14,north-carolina-central,20,10
2019-02-11,,Delaware State,W,87,52,32,64,0.5,10,26,0.385,13,20,0.65,12,43,25,9,3,8,14,21,67,0.313,4,27,0.14800000000000002,6,10,0.6,14,35,13,3,8,14,15,north-carolina-central,31,21
2019-02-16,@,Norfolk State,L (1 OT),71,75,21,59,0.35600000000000004,8,24,0.33299999999999996,21,26,0.8079999999999999,9,41,13,3,3,20,26,24,59,0.40700000000000003,10,20,0.5,17,27,0.63,2,31,14,3,6,12,20,north-carolina-central,32,29
2019-02-18,@,Howard,W,98,90,32,54,0.593,10,21,0.47600000000000003,24,31,0.774,9,30,19,3,0,18,22,35,67,0.522,3,11,0.273,17,21,0.81,9,21,12,8,1,6,20,north-carolina-central,21,12
2019-02-23,,Savannah State,W,78,69,25,62,0.40299999999999997,6,26,0.231,22,27,0.815,11,33,16,6,2,10,13,28,64,0.43799999999999994,9,33,0.273,4,7,0.5710000000000001,10,35,14,6,3,12,20,north-carolina-central,22,25
2019-02-25,,South Carolina State,W,72,62,27,49,0.551,11,20,0.55,7,10,0.7,6,27,20,1,4,14,18,23,55,0.418,5,15,0.33299999999999996,11,17,0.647,12,26,12,6,1,10,11,north-carolina-central,21,14
2019-03-07,@,North Carolina A&T,L,52,74,19,57,0.33299999999999996,6,25,0.24,8,14,0.5710000000000001,12,34,14,4,4,14,19,30,60,0.5,7,17,0.41200000000000003,7,15,0.467,7,34,12,8,4,6,14,north-carolina-central,22,27
2019-03-14,N,Delaware State,W,75,57,29,54,0.537,8,23,0.348,9,13,0.6920000000000001,10,36,18,5,3,15,14,23,65,0.354,4,22,0.182,7,11,0.636,11,27,10,7,3,8,9,north-carolina-central,26,16
2019-03-15,N,North Carolina A&T,W,65,63,21,48,0.43799999999999994,6,14,0.429,17,25,0.68,9,29,11,6,3,10,19,22,48,0.45799999999999996,4,15,0.267,15,20,0.75,6,30,13,6,5,12,18,north-carolina-central,20,24
2019-03-16,N,Norfolk State,W,50,47,18,50,0.36,3,21,0.14300000000000002,11,16,0.688,10,37,11,5,2,15,16,16,47,0.34,4,12,0.33299999999999996,11,15,0.733,4,24,8,7,4,14,14,north-carolina-central,27,20
