date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,@,Wofford,W,78,67,29,59,0.4920000000000001,9,22,0.409,11,15,0.733,10,35,21,5,2,15,13,24,63,0.381,9,35,0.257,10,11,0.909,9,27,8,5,2,9,15,north-carolina,25,18
2018-11-09,@,Elon,W,116,67,45,87,0.517,7,24,0.292,19,27,0.7040000000000001,21,55,18,12,5,11,22,21,59,0.35600000000000004,7,29,0.241,18,28,0.643,7,27,12,2,3,19,25,north-carolina,34,20
2018-11-12,,Stanford,W,90,72,35,71,0.493,6,13,0.462,14,21,0.667,10,41,19,7,5,12,18,27,67,0.403,7,22,0.318,11,15,0.733,9,32,17,8,5,14,18,north-carolina,31,23
2018-11-16,,Tennessee Tech,W,108,58,41,74,0.5539999999999999,5,23,0.217,21,26,0.8079999999999999,16,52,29,16,8,13,15,23,64,0.359,4,25,0.16,8,13,0.615,9,23,9,9,3,22,18,north-carolina,36,14
2018-11-19,,Saint Francis (PA),W,101,76,34,65,0.523,10,25,0.4,23,27,0.852,11,46,24,8,5,18,20,23,67,0.343,10,29,0.345,20,27,0.741,9,32,8,13,4,17,23,north-carolina,35,23
2018-11-22,N,Texas,L,89,92,31,70,0.443,11,29,0.379,16,21,0.762,14,39,13,4,2,17,23,31,59,0.525,11,24,0.458,19,29,0.655,9,30,15,6,5,13,18,north-carolina,25,21
2018-11-23,N,UCLA,W,94,78,31,64,0.484,11,23,0.478,21,28,0.75,6,31,21,6,3,6,21,26,59,0.441,10,22,0.455,16,26,0.615,10,33,15,4,5,12,23,north-carolina,25,23
2018-11-28,@,Michigan,L,67,84,26,66,0.394,7,21,0.333,8,13,0.615,10,38,13,2,1,10,21,31,54,0.574,11,22,0.5,11,23,0.478,2,26,15,4,6,7,14,north-carolina,28,24
2018-12-05,,UNC Wilmington,W,97,69,37,75,0.493,6,24,0.25,17,28,0.607,17,48,23,13,4,15,19,23,63,0.365,8,27,0.29600000000000004,15,21,0.7140000000000001,12,35,13,9,1,25,19,north-carolina,31,23
2018-12-15,,Gonzaga,W,103,90,35,64,0.547,13,25,0.52,20,25,0.8,12,39,18,6,2,22,18,32,63,0.508,8,22,0.364,18,23,0.7829999999999999,4,20,17,13,4,14,20,north-carolina,27,16
2018-12-22,N,Kentucky,L,72,80,27,63,0.429,7,18,0.389,11,16,0.688,5,33,18,8,3,18,19,28,65,0.431,9,26,0.34600000000000003,15,22,0.682,10,39,24,12,8,17,18,north-carolina,28,29
2018-12-29,,Davidson,W,82,60,26,59,0.441,8,23,0.348,22,27,0.815,8,48,20,4,5,14,12,20,67,0.299,10,38,0.263,10,11,0.909,7,32,14,4,3,12,18,north-carolina,40,25
2019-01-02,,Harvard,W,77,57,26,62,0.419,6,21,0.28600000000000003,19,22,0.8640000000000001,6,34,15,12,3,11,13,21,54,0.389,8,24,0.333,7,13,0.5379999999999999,5,33,15,4,8,21,16,north-carolina,28,28
2019-01-05,@,Pitt,W,85,60,32,74,0.4320000000000001,10,24,0.417,11,17,0.647,16,49,24,8,7,11,24,19,62,0.306,2,19,0.105,20,32,0.625,11,37,7,7,7,15,19,north-carolina,33,26
2019-01-08,@,NC State,W,90,82,29,64,0.453,10,25,0.4,22,26,0.846,12,47,20,4,5,23,20,31,73,0.425,8,28,0.28600000000000003,12,17,0.706,8,28,17,12,8,13,21,north-carolina,35,20
2019-01-12,,Louisville,L,62,83,20,58,0.345,3,22,0.136,19,27,0.7040000000000001,11,26,13,9,3,14,21,28,54,0.519,11,26,0.423,16,26,0.615,7,36,17,8,0,14,20,north-carolina,15,29
2019-01-15,,Notre Dame,W,75,69,27,68,0.397,9,21,0.429,12,20,0.6,14,43,15,6,2,11,15,25,61,0.41,10,28,0.35700000000000004,9,14,0.643,6,33,13,2,8,11,16,north-carolina,29,27
2019-01-19,@,Miami (FL),W,85,76,33,60,0.55,9,20,0.45,10,14,0.7140000000000001,11,36,26,7,1,15,19,27,55,0.491,9,21,0.429,13,18,0.722,6,23,13,7,2,11,15,north-carolina,25,17
2019-01-21,,Virginia Tech,W,103,82,36,67,0.537,16,34,0.471,15,17,0.882,10,32,25,9,2,12,13,27,61,0.443,13,28,0.464,15,16,0.938,10,30,21,8,1,15,18,north-carolina,22,20
2019-01-29,@,Georgia Tech,W,77,54,29,61,0.475,13,27,0.481,6,11,0.545,5,37,21,10,2,15,13,21,60,0.35,2,16,0.125,10,13,0.769,6,32,15,8,7,15,12,north-carolina,32,26
2019-02-02,@,Louisville,W,79,69,29,69,0.42,6,24,0.25,15,19,0.789,16,47,16,7,3,10,15,26,62,0.419,10,29,0.345,7,9,0.778,7,31,14,4,3,11,16,north-carolina,31,24
2019-02-05,,NC State,W,113,96,37,66,0.561,8,21,0.381,31,37,0.838,11,38,26,7,7,17,23,37,74,0.5,7,17,0.412,15,24,0.625,10,22,17,9,6,11,28,north-carolina,27,12
2019-02-09,,Miami (FL),W (1 OT),88,85,31,66,0.47,13,26,0.5,13,17,0.765,3,29,15,9,4,10,13,32,68,0.471,14,31,0.452,7,7,1.0,9,35,14,6,3,15,16,north-carolina,26,26
2019-02-11,,Virginia,L,61,69,23,65,0.354,9,30,0.3,6,7,0.857,15,37,17,2,3,7,14,24,45,0.5329999999999999,11,20,0.55,10,18,0.556,3,26,16,5,6,8,11,north-carolina,22,23
2019-02-16,@,Wake Forest,W,95,57,38,61,0.623,16,25,0.64,3,11,0.273,7,34,21,13,6,15,19,22,67,0.328,4,23,0.174,9,13,0.6920000000000001,14,32,8,2,4,20,9,north-carolina,27,18
2019-02-20,@,Duke,W,88,72,38,75,0.507,2,20,0.1,10,14,0.7140000000000001,9,45,20,10,2,14,15,25,72,0.34700000000000003,8,39,0.205,14,19,0.737,11,37,9,11,8,20,17,north-carolina,36,26
2019-02-23,,Florida State,W,77,59,26,61,0.426,7,20,0.35,18,25,0.72,8,42,11,3,3,10,15,18,59,0.305,10,31,0.32299999999999995,13,16,0.813,6,31,13,6,8,10,18,north-carolina,34,25
2019-02-26,,Syracuse,W,93,85,25,62,0.403,9,29,0.31,34,37,0.919,16,38,19,5,2,9,18,29,60,0.483,14,31,0.452,13,23,0.565,7,23,17,5,3,10,26,north-carolina,22,16
2019-03-02,@,Clemson,W,81,79,26,63,0.413,13,33,0.394,16,24,0.667,10,38,19,5,3,14,17,27,57,0.474,8,22,0.364,17,22,0.773,5,35,15,10,4,11,20,north-carolina,28,30
2019-03-05,@,Boston College,W,79,66,32,76,0.421,7,22,0.318,8,13,0.615,17,53,22,5,2,10,12,24,70,0.343,12,36,0.333,6,10,0.6,6,32,11,6,7,7,14,north-carolina,36,26
