date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Boston University,L,74,77,25,56,0.446,6,25,0.24,18,24,0.75,8,30,12,5,1,10,20,29,59,0.4920000000000001,6,16,0.375,13,22,0.591,12,34,10,7,1,10,21,northeastern,22,22
2018-11-09,@,Harvard,W,81,71,24,46,0.522,13,23,0.565,20,22,0.909,3,24,13,9,1,15,14,26,51,0.51,11,23,0.478,8,14,0.5710000000000001,4,22,13,8,2,13,20,northeastern,21,18
2018-11-15,N,Alabama,W,68,52,22,42,0.524,9,17,0.529,15,17,0.882,1,23,14,7,1,11,17,19,51,0.373,3,19,0.158,11,15,0.733,7,24,10,3,2,8,16,northeastern,22,17
2018-11-16,N,Virginia Tech,L,60,88,20,46,0.435,13,26,0.5,7,8,0.875,7,24,15,1,2,16,11,36,62,0.581,14,27,0.519,2,4,0.5,9,27,21,5,4,9,13,northeastern,17,18
2018-11-18,N,Davidson,L,59,71,22,60,0.3670000000000001,9,32,0.281,6,7,0.857,9,31,14,8,0,12,15,24,53,0.45299999999999996,9,24,0.375,14,19,0.737,6,33,18,8,2,13,12,northeastern,22,27
2018-11-24,@,Davidson,L,69,78,22,50,0.44,8,19,0.42100000000000004,17,26,0.654,6,29,11,7,2,14,20,27,59,0.45799999999999996,7,26,0.26899999999999996,17,20,0.85,8,33,11,8,3,12,22,northeastern,23,25
2018-11-28,@,Bucknell,W,96,78,36,62,0.581,12,25,0.48,12,14,0.857,5,34,24,9,3,7,17,26,53,0.491,11,25,0.44,15,22,0.682,4,21,16,6,2,10,15,northeastern,29,17
2018-12-01,,Eastern Michigan,W,81,67,27,48,0.563,8,23,0.348,19,25,0.76,8,28,18,6,1,7,10,28,51,0.5489999999999999,6,20,0.3,5,10,0.5,7,23,14,5,1,10,20,northeastern,20,16
2018-12-04,@,Syracuse,L,49,72,17,50,0.34,6,28,0.214,9,12,0.75,6,27,11,4,0,11,14,26,60,0.433,9,31,0.29,11,17,0.647,13,41,20,8,5,7,15,northeastern,21,28
2018-12-08,,Oakland,W,92,83,32,53,0.604,9,18,0.5,19,29,0.655,8,34,17,3,4,14,20,27,57,0.474,13,27,0.48100000000000004,16,20,0.8,3,21,13,10,1,10,20,northeastern,26,18
