date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Wilmington (OH),W,102,38,38,65,0.585,5,16,0.313,21,39,0.5379999999999999,21,58,20,11,7,18,20,13,58,0.224,5,24,0.208,7,13,0.5379999999999999,9,22,7,6,2,26,25,northern-kentucky,37,13
2018-11-09,@,Northern Illinois,W (2 OT),88,85,30,61,0.4920000000000001,14,33,0.424,14,27,0.519,6,36,15,7,3,12,25,31,76,0.408,6,23,0.261,17,23,0.7390000000000001,12,43,12,3,3,13,26,northern-kentucky,30,31
2018-11-11,,Wabash,W,99,59,35,61,0.574,15,35,0.429,14,18,0.778,6,39,13,12,6,11,16,19,60,0.317,6,25,0.24,15,22,0.682,6,26,7,4,0,14,13,northern-kentucky,33,20
2018-11-16,,UNC Asheville,W,77,50,27,62,0.435,4,25,0.16,19,27,0.7040000000000001,14,38,21,13,3,13,19,17,47,0.362,6,18,0.333,10,15,0.667,4,25,7,3,4,23,23,northern-kentucky,24,21
2018-11-17,,Manhattan,W,59,53,16,37,0.4320000000000001,10,19,0.526,17,32,0.531,6,32,14,5,8,18,21,18,52,0.34600000000000003,6,18,0.333,11,20,0.55,8,30,10,6,2,13,24,northern-kentucky,26,22
2018-11-18,,Coastal Carolina,W,89,83,25,55,0.455,10,31,0.32299999999999995,29,41,0.7070000000000001,10,29,19,9,4,6,21,26,50,0.52,9,19,0.474,22,26,0.846,5,28,18,2,3,15,27,northern-kentucky,19,23
2018-11-24,@,UCF,L,53,66,19,59,0.322,8,31,0.258,7,17,0.412,6,30,14,2,3,5,28,22,50,0.44,5,14,0.35700000000000004,17,36,0.472,9,48,14,1,5,8,17,northern-kentucky,24,39
2018-11-27,@,Morehead State,W,93,71,37,59,0.627,12,21,0.5710000000000001,7,8,0.875,4,36,23,5,6,17,27,21,58,0.362,9,27,0.333,20,32,0.625,5,21,13,11,6,9,11,northern-kentucky,32,16
2018-11-30,,UMBC,W,78,60,28,51,0.5489999999999999,9,25,0.36,13,19,0.684,2,31,21,11,3,16,25,18,53,0.34,3,23,0.13,21,28,0.75,6,30,6,12,2,14,18,northern-kentucky,29,24
2018-12-04,@,Cincinnati,L,65,78,24,60,0.4,11,25,0.44,6,15,0.4,12,26,11,5,3,13,22,24,52,0.462,4,13,0.308,26,33,0.7879999999999999,13,37,15,6,5,10,12,northern-kentucky,14,24
2018-12-08,@,Eastern Kentucky,L,74,76,28,66,0.424,8,30,0.267,10,16,0.625,14,39,15,2,2,13,22,23,60,0.383,5,20,0.25,25,32,0.7809999999999999,13,37,14,8,5,11,18,northern-kentucky,25,24
2018-12-16,,Miami (OH),W,72,66,28,61,0.459,7,24,0.292,9,12,0.75,8,32,11,3,0,7,17,20,51,0.392,6,25,0.24,20,22,0.909,8,27,9,3,6,9,14,northern-kentucky,24,19
2018-12-20,,Northern Illinois,W,65,62,19,62,0.306,6,28,0.214,21,36,0.583,11,34,13,6,4,5,15,26,57,0.456,6,22,0.273,4,9,0.444,5,35,9,2,3,14,22,northern-kentucky,23,30
2018-12-28,,IUPUI,W,92,77,29,54,0.537,9,21,0.429,25,29,0.862,9,34,19,7,3,16,19,30,67,0.448,5,21,0.238,12,18,0.667,9,26,13,7,2,11,22,northern-kentucky,25,17
2018-12-30,,UIC,W,73,58,22,48,0.458,8,21,0.381,21,34,0.618,10,42,13,4,1,15,21,19,52,0.365,5,25,0.2,15,25,0.6,4,27,8,8,3,10,23,northern-kentucky,32,23
2019-01-03,@,Oakland,L,74,76,28,56,0.5,7,24,0.292,11,14,0.7859999999999999,8,32,21,2,5,11,21,25,51,0.49,11,26,0.423,15,18,0.833,2,23,23,4,0,9,14,northern-kentucky,24,21
2019-01-05,@,Detroit,W,95,73,36,63,0.5710000000000001,12,27,0.444,11,12,0.917,5,26,23,5,7,7,19,26,61,0.426,8,23,0.348,13,18,0.722,9,30,9,4,4,9,14,northern-kentucky,21,21
2019-01-11,,Wright State,W,68,64,23,50,0.46,6,22,0.273,16,22,0.727,5,30,11,6,3,11,17,25,59,0.424,3,15,0.2,11,15,0.733,10,32,6,4,3,12,18,northern-kentucky,25,22
2019-01-17,@,Cleveland State,W,91,76,32,65,0.4920000000000001,15,32,0.469,12,15,0.8,10,33,20,6,2,5,16,26,55,0.473,11,27,0.407,13,17,0.765,6,29,15,3,4,10,15,northern-kentucky,23,23
2019-01-19,@,Youngstown State,W,82,74,29,57,0.509,8,23,0.348,16,24,0.667,12,34,10,4,3,15,18,24,53,0.453,9,27,0.333,17,20,0.85,3,19,8,7,5,11,21,northern-kentucky,22,16
2019-01-24,,Green Bay,W,87,65,35,67,0.522,7,17,0.412,10,17,0.588,14,40,19,11,4,16,18,20,52,0.385,4,20,0.2,21,24,0.875,6,26,5,8,5,18,19,northern-kentucky,26,20
