date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-07,@,Cincinnati,W,64,56,20,47,0.426,8,20,0.4,16,22,0.727,6,27,7,2,5,13,22,17,62,0.274,6,26,0.231,16,21,0.762,12,31,12,4,7,10,19,ohio-state,21,19
2018-11-11,,Purdue-Fort Wayne,W,107,61,34,56,0.607,15,28,0.536,24,28,0.857,6,35,21,6,5,11,18,22,65,0.338,6,27,0.222,11,17,0.647,10,28,6,3,0,15,21,ohio-state,29,18
2018-11-15,@,Creighton,W,69,60,26,55,0.473,10,21,0.476,7,12,0.583,11,31,15,4,2,13,18,23,52,0.442,9,25,0.36,5,9,0.556,9,27,10,4,4,13,19,ohio-state,20,18
2018-11-18,,South Carolina State,W,89,61,28,51,0.5489999999999999,7,19,0.368,26,35,0.743,7,37,18,4,3,15,17,23,62,0.371,3,19,0.158,12,14,0.857,10,27,3,4,0,12,29,ohio-state,30,17
2018-11-20,,Samford,W,68,50,23,52,0.442,3,20,0.15,19,28,0.679,7,36,14,4,2,12,13,21,57,0.368,4,15,0.267,4,5,0.8,6,31,7,2,1,15,24,ohio-state,29,25
2018-11-23,,Cleveland State,W,89,62,34,64,0.531,7,19,0.368,14,19,0.737,7,34,17,11,3,12,21,21,60,0.35,6,21,0.28600000000000003,14,18,0.778,10,34,11,5,4,17,16,ohio-state,27,24
2018-11-28,,Syracuse,L,62,72,15,46,0.326,6,22,0.273,26,35,0.743,8,28,12,5,1,10,17,22,45,0.489,11,24,0.458,17,19,0.895,4,25,13,1,3,12,28,ohio-state,20,21
2018-12-02,,Minnesota,W,79,59,28,60,0.467,7,17,0.412,16,20,0.8,11,39,16,5,1,10,26,20,51,0.392,0,13,0.0,19,32,0.594,8,30,7,2,4,12,20,ohio-state,28,22
2018-12-05,N,Illinois,W,77,67,24,51,0.471,6,17,0.353,23,32,0.7190000000000001,9,36,14,8,4,19,22,19,58,0.328,6,19,0.316,23,27,0.852,8,30,10,12,2,13,26,ohio-state,27,22
2018-12-15,,Bucknell,W,73,71,27,56,0.482,6,15,0.4,13,18,0.722,9,39,15,2,3,13,14,23,55,0.418,12,30,0.4,13,18,0.722,5,28,13,6,1,8,20,ohio-state,30,23
