date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Navy,W,67,44,20,56,0.35700000000000004,10,27,0.37,17,26,0.654,13,43,15,8,8,8,19,14,56,0.25,5,21,0.23800000000000002,11,18,0.611,8,32,9,4,1,13,23,old-dominion,30,24
2018-11-09,@,St. Joseph's,L,64,79,23,62,0.371,11,28,0.39299999999999996,7,11,0.636,7,31,9,4,1,9,16,26,54,0.48100000000000004,10,21,0.47600000000000003,17,22,0.773,3,31,12,2,1,8,11,old-dominion,24,28
2018-11-16,N,Oregon State,L,56,61,21,58,0.36200000000000004,7,25,0.28,7,14,0.5,10,32,9,4,3,11,19,21,51,0.41200000000000003,5,19,0.263,14,22,0.636,13,38,11,5,4,14,15,old-dominion,22,25
2018-11-17,N,Kennesaw State,W,65,47,26,58,0.44799999999999995,8,22,0.364,5,9,0.556,9,44,11,6,3,15,17,18,56,0.321,2,12,0.16699999999999998,9,18,0.5,5,27,9,7,0,13,11,old-dominion,35,22
2018-11-19,N,Northern Iowa,L,53,54,20,61,0.32799999999999996,7,24,0.292,6,9,0.667,12,35,9,7,2,10,12,18,49,0.3670000000000001,11,25,0.44,7,9,0.778,3,31,12,4,0,12,10,old-dominion,23,28
2018-11-23,,Northern Iowa,W,72,65,25,57,0.439,9,25,0.36,13,17,0.765,8,33,15,5,5,8,14,23,57,0.40399999999999997,11,26,0.423,8,11,0.727,7,31,10,1,1,11,17,old-dominion,25,24
2018-11-28,,VCU,W,62,52,21,60,0.35,4,18,0.222,16,23,0.696,12,37,8,5,7,8,16,17,49,0.34700000000000003,6,20,0.3,12,17,0.706,5,29,8,1,2,14,20,old-dominion,25,24
2018-12-01,,James Madison,W,67,42,25,55,0.455,8,21,0.381,9,12,0.75,11,39,16,6,8,13,20,15,52,0.28800000000000003,3,14,0.214,9,16,0.563,11,32,6,7,0,15,18,old-dominion,28,21
2018-12-05,,William & Mary,W,71,53,27,54,0.5,10,23,0.435,7,9,0.778,5,36,16,4,4,15,17,21,60,0.35,5,26,0.192,6,13,0.462,8,29,11,4,0,9,11,old-dominion,31,21
2018-12-09,,Fairfield,W,79,69,26,56,0.46399999999999997,6,15,0.4,21,30,0.7,7,36,17,3,3,7,15,22,61,0.361,12,34,0.353,13,15,0.867,10,34,15,4,4,9,24,old-dominion,29,24
2018-12-15,@,Syracuse,W,68,62,23,50,0.46,9,26,0.34600000000000003,13,20,0.65,8,33,14,7,2,16,25,16,48,0.33299999999999996,8,22,0.364,22,34,0.647,5,27,13,8,4,12,17,old-dominion,25,22
2018-12-19,@,Richmond,W,63,54,23,56,0.41100000000000003,8,21,0.381,9,13,0.6920000000000001,8,34,11,5,7,7,8,20,54,0.37,7,22,0.318,7,9,0.778,8,29,13,4,2,11,14,old-dominion,26,21
2018-12-22,,Morgan State,W,76,53,28,62,0.452,10,26,0.385,10,21,0.47600000000000003,14,45,17,8,7,16,20,14,50,0.28,3,14,0.214,22,28,0.7859999999999999,5,28,6,10,0,15,20,old-dominion,31,23
2019-01-03,,Marshall,L,67,70,26,58,0.44799999999999995,6,13,0.462,9,12,0.75,11,30,14,4,3,10,7,29,55,0.527,9,25,0.36,3,4,0.75,4,24,18,5,6,6,14,old-dominion,19,20
2019-01-05,,Western Kentucky,W,69,66,27,66,0.409,8,23,0.348,7,12,0.583,13,36,12,9,5,8,15,24,55,0.436,5,15,0.33299999999999996,13,17,0.765,5,31,8,2,5,12,15,old-dominion,23,26
2019-01-10,@,Florida Atlantic,L,73,80,27,57,0.474,8,27,0.29600000000000004,11,16,0.688,12,29,9,8,5,12,21,26,51,0.51,12,21,0.5710000000000001,16,22,0.727,9,27,14,3,1,12,18,old-dominion,17,18
2019-01-12,@,Florida International,W,75,74,29,67,0.433,9,25,0.36,8,10,0.8,16,45,11,5,3,17,23,25,56,0.446,10,25,0.4,14,26,0.5379999999999999,6,27,16,8,8,12,15,old-dominion,29,21
2019-01-17,,Louisiana Tech,W,64,63,26,58,0.44799999999999995,5,17,0.294,7,10,0.7,3,28,15,2,6,8,20,20,52,0.385,6,22,0.273,17,25,0.68,8,38,11,2,1,11,15,old-dominion,25,30
2019-01-19,,Southern Miss,W,78,60,29,68,0.426,10,26,0.385,10,20,0.5,19,41,17,9,4,10,16,22,50,0.44,6,20,0.3,10,15,0.667,9,30,14,1,6,13,16,old-dominion,22,21
2019-01-21,@,Charlotte,W,76,70,20,47,0.426,7,20,0.35,29,33,0.879,5,27,12,10,5,9,19,19,47,0.40399999999999997,11,27,0.40700000000000003,21,30,0.7,4,25,11,5,2,15,23,old-dominion,22,21
2019-01-24,@,UTEP,W,50,48,20,65,0.308,6,20,0.3,4,8,0.5,14,44,10,8,5,16,17,15,58,0.259,7,23,0.304,11,17,0.647,14,44,10,6,4,17,11,old-dominion,30,30
2019-01-26,@,UTSA,L,73,74,23,59,0.39,8,26,0.308,19,30,0.633,8,42,12,5,6,12,18,24,59,0.40700000000000003,16,31,0.516,10,18,0.556,1,26,17,3,1,9,22,old-dominion,34,25
2019-01-31,,North Texas,W,72,61,25,53,0.47200000000000003,7,17,0.41200000000000003,15,27,0.556,7,35,19,3,4,10,8,26,62,0.419,8,30,0.267,1,2,0.5,4,26,14,3,3,9,21,old-dominion,28,22
2019-02-02,,Rice,W,80,76,28,61,0.45899999999999996,12,21,0.5710000000000001,12,21,0.5710000000000001,14,39,18,4,1,11,15,27,60,0.45,11,29,0.379,11,16,0.688,8,30,12,3,3,10,19,old-dominion,25,22
2019-02-07,@,Alabama-Birmingham,W,70,59,26,58,0.44799999999999995,8,23,0.348,10,15,0.667,11,35,14,1,6,5,12,22,59,0.373,6,25,0.24,9,16,0.563,11,33,9,3,1,6,16,old-dominion,24,22
2019-02-09,@,Middle Tennessee,W,55,50,19,53,0.358,7,20,0.35,10,14,0.7140000000000001,10,38,8,3,5,11,11,19,60,0.317,6,28,0.214,6,8,0.75,13,36,5,8,2,9,13,old-dominion,28,23
2019-02-16,,Charlotte,W,73,60,24,51,0.47100000000000003,7,18,0.389,18,22,0.818,11,35,15,11,4,15,21,18,46,0.391,4,17,0.235,20,25,0.8,4,21,6,6,0,18,21,old-dominion,24,17
2019-02-23,,Western Kentucky,W,67,63,23,58,0.397,9,25,0.36,12,19,0.632,16,33,13,11,8,13,15,26,55,0.473,2,10,0.2,9,12,0.75,8,26,16,10,3,16,14,old-dominion,17,18
2019-02-28,@,UTSA,W,65,64,25,60,0.41700000000000004,5,14,0.35700000000000004,10,18,0.556,14,40,13,8,2,15,17,22,53,0.415,7,22,0.318,13,17,0.765,3,27,11,8,5,13,17,old-dominion,26,24
2019-03-06,,Southern Miss,L,52,59,17,50,0.34,7,25,0.28,11,22,0.5,12,36,11,2,4,14,14,23,55,0.418,5,17,0.294,8,15,0.5329999999999999,8,36,13,10,2,9,17,old-dominion,24,28
2019-03-09,@,Alabama-Birmingham,L,50,64,17,56,0.304,7,22,0.318,9,17,0.529,7,28,9,2,3,11,23,20,49,0.408,4,14,0.28600000000000003,20,27,0.741,7,37,5,4,1,11,14,old-dominion,21,30
2019-03-14,N,Louisiana Tech,W,57,56,21,56,0.375,4,18,0.222,11,18,0.611,12,34,14,8,7,10,16,22,52,0.423,7,23,0.304,5,13,0.385,7,26,15,3,1,14,19,old-dominion,22,19
2019-03-15,N,Alabama-Birmingham,W,61,59,22,56,0.39299999999999996,6,15,0.4,11,12,0.917,12,35,10,2,4,9,13,24,50,0.48,5,17,0.294,6,13,0.462,4,23,8,4,4,7,15,old-dominion,23,19
2019-03-16,N,Western Kentucky,W,62,56,24,58,0.414,5,15,0.33299999999999996,9,9,1.0,8,31,12,3,5,12,21,18,52,0.34600000000000003,4,18,0.222,16,24,0.667,10,29,10,7,6,11,15,old-dominion,23,19
