date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Portland State,W,84,57,27,50,0.54,4,7,0.5710000000000001,26,33,0.7879999999999999,9,35,12,4,8,14,18,21,73,0.28800000000000003,5,35,0.14300000000000002,10,16,0.625,18,34,8,5,3,11,25,oregon,26,16
2018-11-09,,Eastern Washington,W,81,47,30,61,0.4920000000000001,10,25,0.4,11,17,0.647,12,50,18,4,6,7,6,15,65,0.231,13,45,0.289,4,6,0.667,8,29,13,2,2,8,20,oregon,38,21
2018-11-15,N,Iowa,L,69,77,23,64,0.359,6,19,0.316,17,24,0.708,12,33,15,8,6,8,24,19,52,0.365,10,29,0.345,29,33,0.879,9,41,13,6,3,14,20,oregon,21,32
2018-11-16,N,Syracuse,W,80,65,25,50,0.5,7,20,0.35,23,25,0.92,11,32,17,9,7,18,20,18,51,0.353,5,28,0.179,24,31,0.774,10,22,12,12,1,16,24,oregon,21,12
2018-11-20,,Green Bay,W,83,72,22,47,0.468,6,18,0.333,33,42,0.7859999999999999,4,40,11,3,7,13,14,27,69,0.391,9,29,0.31,9,18,0.5,9,29,13,7,3,7,28,oregon,36,20
2018-11-26,,Texas Southern,L,84,89,33,68,0.485,11,31,0.355,7,8,0.875,6,30,22,6,3,12,17,32,67,0.478,9,27,0.333,16,22,0.727,10,35,17,4,1,13,10,oregon,24,25
2018-12-01,@,Houston,L,61,65,21,53,0.396,6,26,0.231,13,17,0.765,7,32,12,8,3,15,23,19,57,0.333,9,35,0.257,18,23,0.7829999999999999,11,35,14,7,6,12,19,oregon,25,24
2018-12-08,,Omaha,W,84,61,33,56,0.589,12,23,0.522,6,8,0.75,10,35,18,5,1,9,13,21,50,0.42,12,31,0.387,7,8,0.875,2,13,15,5,1,8,13,oregon,25,11
2018-12-12,,San Diego,W,65,55,23,54,0.426,4,15,0.267,15,21,0.7140000000000001,9,32,14,11,6,8,16,20,49,0.408,7,28,0.25,8,11,0.727,7,30,12,1,2,16,22,oregon,23,23
2018-12-15,,Boise State,W,66,54,21,43,0.488,4,14,0.28600000000000003,20,25,0.8,5,33,7,5,3,12,17,18,51,0.353,7,16,0.438,11,18,0.611,6,23,5,4,1,10,17,oregon,28,17
2018-12-18,,Florida A&M,W,71,64,25,55,0.455,7,25,0.28,14,22,0.636,14,35,15,7,5,15,15,24,52,0.462,5,13,0.385,11,16,0.688,3,20,12,7,1,10,18,oregon,21,17
2018-12-21,@,Baylor,L,47,57,18,44,0.409,7,18,0.389,4,6,0.667,4,15,12,6,4,16,16,21,44,0.477,4,15,0.267,11,18,0.611,9,30,14,7,2,16,14,oregon,11,21
2018-12-29,@,Boise State,W,62,50,23,60,0.383,7,24,0.292,9,11,0.818,5,29,9,14,0,7,18,15,42,0.35700000000000004,6,21,0.28600000000000003,14,20,0.7,7,31,6,4,3,19,16,oregon,24,24
2019-01-05,,Oregon State,L,72,77,26,69,0.377,9,27,0.333,11,16,0.688,10,28,11,11,2,10,22,26,51,0.51,6,19,0.316,19,21,0.905,5,35,17,4,5,18,16,oregon,18,30
2019-01-10,,UCLA,L (1 OT),84,87,31,77,0.403,8,32,0.25,14,24,0.583,15,34,18,13,2,12,24,31,60,0.517,8,24,0.333,17,30,0.5670000000000001,14,46,13,7,4,23,21,oregon,19,32
2019-01-13,,USC,W,81,60,29,52,0.5579999999999999,13,24,0.542,10,16,0.625,7,31,16,5,3,12,20,23,54,0.426,5,18,0.278,9,14,0.643,5,22,12,4,3,11,15,oregon,24,17
2019-01-17,@,Arizona,W,59,54,22,57,0.386,7,17,0.412,8,13,0.615,7,32,11,7,6,8,15,19,52,0.365,6,22,0.273,10,15,0.667,8,36,9,5,1,14,16,oregon,25,28
2019-01-19,@,Arizona State,L,64,78,21,63,0.333,10,31,0.32299999999999995,12,13,0.923,14,30,11,5,1,15,22,25,49,0.51,11,28,0.393,17,21,0.81,6,26,17,6,3,15,15,oregon,16,20
2019-01-24,,Washington,L,56,61,21,45,0.467,6,16,0.375,8,12,0.667,5,20,11,10,1,19,14,22,40,0.55,8,20,0.4,9,11,0.818,3,18,18,10,2,19,14,oregon,15,15
2019-01-27,,Washington State,W,78,58,30,55,0.545,10,26,0.385,8,10,0.8,6,24,21,10,4,7,8,25,46,0.5429999999999999,6,17,0.353,2,4,0.5,5,24,16,2,1,16,13,oregon,18,19
2019-01-31,@,Utah,W,78,72,28,59,0.475,5,21,0.238,17,21,0.81,10,31,10,11,8,9,22,24,52,0.462,11,31,0.355,13,23,0.565,11,32,11,4,3,16,20,oregon,21,21
2019-02-02,@,Colorado,L,51,73,18,58,0.31,4,25,0.16,11,18,0.611,4,25,6,8,6,11,23,23,53,0.434,3,20,0.15,24,28,0.857,6,39,7,6,4,12,16,oregon,21,33
2019-02-06,,California,W,73,62,29,53,0.547,11,29,0.379,4,5,0.8,6,30,18,6,4,15,15,20,51,0.392,6,19,0.316,16,19,0.8420000000000001,3,21,10,8,0,9,11,oregon,24,18
2019-02-10,,Stanford,W,69,46,26,59,0.441,7,17,0.412,10,17,0.588,8,37,11,9,8,9,21,15,55,0.273,3,18,0.16699999999999998,13,22,0.591,11,31,3,1,3,13,13,oregon,29,20
2019-02-16,@,Oregon State,L,57,72,20,45,0.444,9,23,0.391,8,15,0.5329999999999999,5,30,15,4,3,15,18,25,51,0.49,8,24,0.333,14,23,0.609,4,27,16,5,5,8,15,oregon,25,23
2019-02-21,@,USC,L,49,66,18,54,0.333,4,21,0.19,9,11,0.818,8,26,10,6,1,9,12,27,54,0.5,9,24,0.375,3,5,0.6,7,33,20,5,2,13,10,oregon,18,26
2019-02-23,@,UCLA,L,83,90,29,58,0.5,11,30,0.3670000000000001,14,19,0.737,12,29,20,2,6,6,22,29,57,0.509,14,22,0.636,18,29,0.621,12,32,18,4,1,6,16,oregon,17,20
2019-02-28,,Arizona State,W,79,51,30,61,0.4920000000000001,9,25,0.36,10,16,0.625,10,39,14,9,1,15,22,17,53,0.321,3,24,0.125,14,26,0.5379999999999999,8,23,7,5,4,14,16,oregon,29,15
2019-03-02,,Arizona,W,73,47,27,61,0.443,8,22,0.364,11,14,0.7859999999999999,6,35,9,11,5,3,16,15,48,0.313,8,24,0.333,9,18,0.5,6,32,7,3,2,15,16,oregon,29,26
2019-03-06,@,Washington State,W,72,61,29,59,0.4920000000000001,10,20,0.5,4,10,0.4,5,27,15,11,4,9,15,21,50,0.42,6,18,0.333,13,16,0.813,6,33,15,5,5,17,15,oregon,22,27
2019-03-09,@,Washington,W,55,47,21,49,0.429,4,22,0.182,9,17,0.529,9,36,9,8,2,16,19,16,48,0.333,3,20,0.15,12,17,0.706,4,24,4,8,4,15,18,oregon,27,20
2019-03-13,N,Washington State,W,84,51,33,67,0.493,10,28,0.35700000000000004,8,10,0.8,14,38,16,14,3,14,19,16,52,0.308,7,32,0.219,12,16,0.75,8,29,13,5,1,20,13,oregon,24,21
2019-03-14,N,Utah,W,66,54,25,57,0.439,4,14,0.28600000000000003,12,15,0.8,8,32,9,6,6,8,18,18,53,0.34,2,23,0.087,16,20,0.8,8,30,7,3,4,12,16,oregon,24,22
2019-03-15,N,Arizona State,W (1 OT),79,75,28,67,0.418,10,26,0.385,13,24,0.542,11,33,13,8,10,8,23,22,55,0.4,8,18,0.444,23,31,0.742,9,35,13,4,7,14,20,oregon,22,26
2019-03-16,N,Washington,W,68,48,21,40,0.525,6,14,0.429,20,22,0.909,6,32,11,8,4,13,15,18,54,0.333,5,23,0.217,7,8,0.875,8,20,9,8,3,13,18,oregon,26,12
