date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-09,@,Santa Clara,W,81,64,31,58,0.534,4,15,0.267,15,22,0.682,8,29,14,9,0,9,26,21,57,0.368,8,30,0.267,14,29,0.483,18,40,11,6,6,19,24,prairie-view,21,22
2018-11-12,@,Baylor,L,80,91,28,61,0.459,11,22,0.5,13,25,0.52,11,25,14,8,1,11,22,31,51,0.608,11,23,0.478,18,27,0.667,4,28,17,4,11,16,20,prairie-view,14,24
2018-11-14,@,Texas-Rio Grande Valley,L,57,70,22,70,0.314,2,17,0.118,11,18,0.611,13,39,8,11,2,15,29,21,54,0.389,2,12,0.16699999999999998,26,36,0.722,10,41,10,6,7,18,18,prairie-view,26,31
2018-11-17,@,Lamar,L,67,74,26,67,0.388,3,18,0.16699999999999998,12,14,0.857,13,32,11,5,2,14,24,23,51,0.451,5,17,0.294,23,31,0.742,9,33,11,5,4,14,13,prairie-view,19,24
2018-11-19,@,UNC Greensboro,L,66,74,22,51,0.431,9,18,0.5,13,20,0.65,6,22,8,8,1,14,21,27,59,0.458,2,17,0.118,18,23,0.7829999999999999,10,33,12,6,4,13,18,prairie-view,16,23
2018-11-21,@,East Carolina,L,64,76,22,65,0.338,3,21,0.14300000000000002,17,22,0.773,9,33,7,10,4,11,21,27,66,0.409,5,20,0.25,17,22,0.773,14,49,21,8,6,18,17,prairie-view,24,35
2018-11-23,@,Georgia Tech,L,54,65,18,48,0.375,5,18,0.278,13,16,0.813,4,24,8,5,0,14,19,24,51,0.471,4,17,0.235,13,20,0.65,5,30,14,4,4,11,17,prairie-view,20,25
2018-12-01,@,Murray State,L,67,83,21,59,0.35600000000000004,6,17,0.353,19,22,0.8640000000000001,10,33,7,3,3,9,25,25,57,0.439,6,29,0.207,27,37,0.73,13,41,17,5,7,10,22,prairie-view,23,28
2018-12-04,@,Louisiana Tech,L,68,82,28,57,0.491,6,16,0.375,6,12,0.5,7,30,16,11,1,20,16,30,58,0.517,11,28,0.393,11,16,0.688,8,28,18,6,7,13,11,prairie-view,23,20
2018-12-11,@,Louisiana,L,90,122,29,68,0.426,8,24,0.333,24,29,0.828,7,27,5,6,1,20,24,43,66,0.652,14,29,0.483,22,25,0.88,4,36,28,9,5,20,25,prairie-view,20,32
2018-12-20,@,Seattle,L,64,102,19,55,0.345,3,15,0.2,23,37,0.622,7,24,4,1,1,10,17,36,62,0.581,13,27,0.481,17,19,0.895,10,39,19,4,3,13,25,prairie-view,17,29
2018-12-29,@,Winthrop,L,62,76,27,70,0.386,4,19,0.211,4,9,0.444,16,24,7,18,1,15,20,24,42,0.5710000000000001,9,19,0.474,19,23,0.826,8,35,10,4,3,26,17,prairie-view,8,27
2019-01-02,,Huston-Tillotson,W,81,65,33,63,0.524,6,26,0.231,9,14,0.643,12,27,22,9,1,17,24,21,41,0.512,8,16,0.5,15,22,0.682,7,25,10,4,2,27,20,prairie-view,15,18
2019-01-05,@,Southern,W,82,73,31,58,0.534,7,15,0.467,13,21,0.619,6,27,16,10,1,10,23,27,56,0.482,4,23,0.174,15,28,0.536,14,36,11,3,3,19,24,prairie-view,21,22
