date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Fairfield,W,90,57,32,59,0.542,14,30,0.467,12,15,0.8,8,36,17,4,3,13,17,22,60,0.3670000000000001,8,22,0.364,5,9,0.556,8,21,8,5,0,11,17,purdue,28,13
2018-11-10,,Ball State,W,84,75,30,69,0.435,7,32,0.219,17,24,0.708,18,37,17,4,5,11,21,25,52,0.481,11,23,0.478,14,19,0.737,7,27,9,4,2,18,24,purdue,19,20
2018-11-15,N,Appalachian State,W,92,70,36,66,0.545,13,31,0.419,7,10,0.7,10,34,16,8,5,12,18,23,56,0.411,8,28,0.28600000000000003,16,24,0.667,6,26,12,4,2,14,12,purdue,24,20
2018-11-16,N,Davidson,W,79,58,28,67,0.418,13,34,0.382,10,13,0.769,15,41,14,3,1,10,11,23,52,0.442,10,31,0.32299999999999995,2,6,0.333,4,25,12,3,1,13,17,purdue,26,21
2018-11-18,N,Virginia Tech,L,83,89,31,61,0.508,14,33,0.424,7,11,0.636,11,30,18,7,1,13,21,30,55,0.545,10,24,0.417,19,26,0.731,4,21,15,6,1,9,14,purdue,19,17
2018-11-23,,Robert Morris,W,84,46,26,58,0.448,12,27,0.444,20,23,0.87,13,40,18,9,9,13,15,17,54,0.315,4,16,0.25,8,10,0.8,8,26,8,6,2,17,20,purdue,27,18
2018-11-28,@,Florida State,L,72,73,22,51,0.431,11,30,0.3670000000000001,17,25,0.68,9,29,11,5,0,20,19,24,55,0.436,8,28,0.28600000000000003,17,20,0.85,8,25,12,6,3,17,24,purdue,20,17
2018-12-01,@,Michigan,L,57,76,22,62,0.355,9,24,0.375,4,6,0.667,12,32,12,4,3,9,12,26,55,0.473,13,26,0.5,11,13,0.846,5,30,15,3,2,11,9,purdue,20,25
2018-12-06,,Maryland,W,62,60,20,50,0.4,9,26,0.34600000000000003,13,16,0.813,7,25,11,8,7,16,15,20,57,0.35100000000000003,9,27,0.333,11,14,0.7859999999999999,13,34,10,7,5,16,15,purdue,18,21
2018-12-09,@,Texas,L,68,72,27,65,0.415,9,32,0.281,5,7,0.7140000000000001,7,26,6,6,3,6,19,23,47,0.489,11,25,0.44,15,16,0.938,3,29,17,1,7,14,11,purdue,19,26
2018-12-15,N,Notre Dame,L,80,88,30,70,0.429,9,29,0.31,11,18,0.611,12,37,17,5,2,7,21,26,50,0.52,11,21,0.524,25,29,0.862,1,29,20,6,4,8,15,purdue,25,28
2018-12-20,,Ohio,W,95,67,34,60,0.5670000000000001,14,29,0.483,13,16,0.813,4,33,23,9,5,10,16,23,56,0.411,9,24,0.375,12,19,0.632,9,25,11,4,3,14,14,purdue,29,16
2018-12-29,,Belmont,W,73,62,24,55,0.436,7,22,0.318,18,24,0.75,9,40,9,5,5,10,9,24,66,0.364,11,38,0.289,3,4,0.75,8,29,12,8,3,9,18,purdue,31,21
