date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Southeast Missouri State,W,75,65,26,54,0.481,4,25,0.16,19,33,0.5760000000000001,8,35,16,9,4,14,15,25,58,0.431,7,17,0.412,8,10,0.8,5,28,14,4,1,16,28,saint-louis,27,23
2018-11-10,,Troy,W,62,58,21,55,0.382,8,26,0.308,12,25,0.48,12,38,16,7,3,11,17,21,54,0.389,5,21,0.238,11,15,0.733,5,31,15,8,4,14,22,saint-louis,26,26
2018-11-13,,North Alabama,W,69,58,24,51,0.471,4,16,0.25,17,27,0.63,3,33,19,8,6,8,18,20,56,0.35700000000000004,4,15,0.267,14,19,0.737,6,34,11,3,2,14,23,saint-louis,30,28
2018-11-17,@,Seton Hall,W,66,64,20,42,0.476,5,8,0.625,21,30,0.7,7,33,8,8,7,23,27,19,57,0.333,4,17,0.235,22,31,0.71,5,22,4,8,4,7,20,saint-louis,26,17
2018-11-21,N,Pitt,L,73,75,29,68,0.426,5,15,0.333,10,16,0.625,16,42,12,7,7,11,23,24,55,0.436,4,12,0.333,23,34,0.6759999999999999,7,32,10,5,5,9,19,saint-louis,26,25
2018-11-24,,Central Arkansas,W,73,61,22,52,0.423,7,16,0.438,22,32,0.688,13,44,16,5,5,18,19,20,56,0.35700000000000004,8,25,0.32,13,18,0.722,4,23,10,5,3,13,20,saint-louis,31,19
2018-12-01,,Butler,W,64,52,20,43,0.465,5,15,0.333,19,30,0.633,7,37,10,8,8,18,16,18,64,0.281,4,24,0.16699999999999998,12,15,0.8,14,36,4,9,1,14,21,saint-louis,30,22
2018-12-05,@,Southern Illinois,L,56,61,23,69,0.333,6,26,0.231,4,9,0.444,11,39,14,9,2,16,19,23,51,0.451,4,18,0.222,11,21,0.524,4,36,11,9,8,16,13,saint-louis,28,32
2018-12-09,,Oregon State,W,65,61,21,50,0.42,8,12,0.667,15,32,0.469,12,30,12,10,4,15,19,21,53,0.396,6,22,0.273,13,17,0.765,10,35,15,8,2,16,25,saint-louis,18,25
2018-12-16,@,Houston,L,64,68,22,60,0.3670000000000001,6,19,0.316,14,23,0.609,12,34,6,7,3,8,20,22,50,0.44,6,20,0.3,18,25,0.72,10,40,10,6,5,14,22,saint-louis,22,30
2018-12-19,,North Carolina Central,W,74,65,30,61,0.4920000000000001,6,15,0.4,8,19,0.421,15,30,20,12,4,18,16,26,45,0.578,6,13,0.462,7,8,0.875,2,21,20,7,4,24,23,saint-louis,15,19
2018-12-22,N,Florida State,L,59,81,19,63,0.302,3,14,0.214,18,25,0.72,19,36,5,12,4,17,11,31,56,0.5539999999999999,10,18,0.556,9,11,0.818,7,33,13,10,3,19,21,saint-louis,17,26
2018-12-30,,Appalachian State,W,83,55,32,68,0.471,6,22,0.273,13,21,0.619,16,48,14,6,5,5,17,19,59,0.322,4,22,0.182,13,18,0.722,9,31,8,5,0,11,19,saint-louis,32,22
2019-01-06,,Rhode Island,W,60,53,21,55,0.382,7,21,0.333,11,23,0.478,10,37,13,9,5,12,14,18,52,0.34600000000000003,6,18,0.333,11,16,0.688,8,35,10,8,3,17,18,saint-louis,27,27
2019-01-09,,UMass,W,65,62,22,56,0.393,2,17,0.118,19,30,0.633,12,31,15,9,6,8,22,22,44,0.5,4,12,0.333,14,21,0.667,5,29,11,3,5,16,25,saint-louis,19,24
2019-01-12,@,La Salle,W,71,64,27,58,0.466,5,12,0.417,12,22,0.545,11,34,12,9,3,14,17,23,55,0.418,9,20,0.45,9,14,0.643,5,27,15,8,1,15,20,saint-louis,23,22
2019-01-15,@,Fordham,W,63,60,20,51,0.392,9,27,0.333,14,23,0.609,9,34,14,6,1,12,11,22,56,0.393,8,30,0.267,8,11,0.727,7,27,7,8,4,7,15,saint-louis,25,20
2019-01-18,,St. Joseph's,W,68,57,22,57,0.386,11,29,0.379,13,23,0.565,10,43,16,5,0,10,16,18,61,0.295,6,30,0.2,15,19,0.789,9,38,11,8,2,9,18,saint-louis,33,29
2019-01-23,@,Duquesne,L,73,77,26,67,0.388,2,20,0.1,19,22,0.8640000000000001,22,53,10,7,4,23,28,23,61,0.377,6,29,0.207,25,38,0.6579999999999999,11,28,14,7,7,11,17,saint-louis,31,17
2019-01-26,,Davidson,L,53,54,17,49,0.34700000000000003,6,22,0.273,13,20,0.65,14,35,12,5,4,12,18,17,43,0.395,9,26,0.34600000000000003,11,13,0.846,4,24,14,7,2,12,20,saint-louis,21,20
2019-01-30,,Richmond,L,81,84,31,72,0.431,7,22,0.318,12,17,0.706,21,36,16,12,4,12,17,30,52,0.5770000000000001,7,16,0.438,17,18,0.944,5,24,18,7,7,15,11,saint-louis,15,19
2019-02-02,@,Rhode Island,L,54,65,23,54,0.426,2,8,0.25,6,16,0.375,12,34,7,2,3,12,18,22,52,0.423,4,18,0.222,17,22,0.773,7,31,13,7,8,5,14,saint-louis,22,24
2019-02-05,,Dayton,W,73,60,24,57,0.421,5,20,0.25,20,32,0.625,17,38,11,7,5,8,17,23,54,0.426,3,16,0.188,11,15,0.733,9,30,9,3,1,12,20,saint-louis,21,21
2019-02-08,@,St. Joseph's,L,61,91,22,59,0.373,6,26,0.231,11,20,0.55,11,31,13,4,2,10,15,33,59,0.5589999999999999,12,28,0.429,13,17,0.765,7,31,16,6,3,5,13,saint-louis,20,24
2019-02-13,@,George Washington,W,73,58,23,49,0.469,9,22,0.409,18,22,0.818,5,31,14,6,2,12,17,21,51,0.412,8,17,0.471,8,14,0.5710000000000001,5,23,13,2,1,14,16,saint-louis,26,18
2019-02-16,,La Salle,W,62,49,22,50,0.44,5,15,0.333,13,27,0.481,6,39,12,6,6,10,13,19,63,0.302,5,27,0.185,6,9,0.667,11,34,12,7,4,13,26,saint-louis,33,23
2019-02-23,@,Dayton,L,62,70,26,56,0.464,4,13,0.308,6,14,0.429,7,27,12,6,0,11,18,24,48,0.5,10,22,0.455,12,20,0.6,8,33,14,2,2,14,11,saint-louis,20,25
2019-02-26,@,VCU,L,65,71,23,50,0.46,4,15,0.267,15,25,0.6,10,31,14,9,3,16,26,23,51,0.451,7,25,0.28,18,25,0.72,8,22,13,7,5,12,20,saint-louis,21,14
2019-03-02,,George Mason,W,81,71,30,66,0.455,8,23,0.348,13,19,0.684,11,37,20,6,9,12,20,22,63,0.349,7,16,0.438,20,25,0.8,14,39,14,6,4,14,20,saint-louis,26,25
2019-03-06,,Duquesne,W,85,75,28,68,0.412,7,20,0.35,22,39,0.564,24,50,13,11,4,13,16,28,62,0.452,10,27,0.37,9,15,0.6,9,35,15,8,6,17,25,saint-louis,26,26
2019-03-09,@,St. Bonaventure,L,57,66,21,62,0.339,5,19,0.263,10,17,0.588,16,38,8,3,2,13,21,20,44,0.455,6,15,0.4,20,27,0.741,4,27,12,6,8,11,15,saint-louis,22,23
2019-03-14,N,Richmond,W,71,68,28,59,0.475,6,19,0.316,9,18,0.5,15,37,13,2,4,8,13,25,51,0.49,6,15,0.4,12,17,0.706,4,20,15,2,4,4,12,saint-louis,22,16
2019-03-15,N,Dayton,W,64,55,24,57,0.421,6,14,0.429,10,15,0.667,10,32,13,8,3,9,14,22,50,0.44,7,22,0.318,4,6,0.667,6,29,16,5,5,15,17,saint-louis,22,23
2019-03-16,N,Davidson,W,67,44,25,52,0.481,8,17,0.471,9,12,0.75,8,41,15,2,2,9,12,15,58,0.259,7,30,0.233,7,11,0.636,10,26,11,1,7,3,15,saint-louis,33,16
