date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-07,,McNeese State,W,87,65,32,60,0.5329999999999999,13,31,0.419,10,13,0.769,8,32,17,10,2,5,18,27,59,0.458,4,14,0.28600000000000003,7,12,0.583,11,30,10,2,0,13,13,saint-marys-ca,24,19
2018-11-11,,Utah Valley,W,92,63,33,56,0.589,8,16,0.5,18,25,0.72,9,35,11,9,0,8,13,24,54,0.444,9,22,0.409,6,11,0.545,5,24,12,5,4,15,21,saint-marys-ca,26,19
2018-11-14,@,New Mexico State,W,73,58,25,54,0.463,9,22,0.409,14,16,0.875,7,34,9,5,0,8,21,20,55,0.364,2,18,0.111,16,23,0.696,10,32,6,3,1,6,14,saint-marys-ca,27,22
2018-11-19,N,Utah State,L,63,80,18,62,0.29,6,24,0.25,21,26,0.8079999999999999,12,31,8,7,2,11,17,29,59,0.4920000000000001,6,17,0.353,16,18,0.889,9,40,17,5,8,14,22,saint-marys-ca,19,31
2018-11-21,N,Mississippi State,L,57,61,23,62,0.371,6,16,0.375,5,8,0.625,10,32,8,4,1,5,15,24,55,0.436,5,24,0.208,8,10,0.8,6,31,12,5,6,8,12,saint-marys-ca,22,25
2018-11-24,,Harvard,L,68,74,24,55,0.436,4,22,0.182,16,26,0.615,11,30,5,8,0,13,23,26,49,0.531,6,19,0.316,16,24,0.667,8,31,10,7,2,14,23,saint-marys-ca,19,23
2018-11-28,,UC-Irvine,L,75,80,26,52,0.5,5,13,0.385,18,23,0.7829999999999999,4,28,8,2,2,8,18,29,60,0.483,7,18,0.389,15,19,0.789,8,31,8,5,2,6,21,saint-marys-ca,24,23
2018-12-01,,California,W,84,71,30,50,0.6,13,25,0.52,11,13,0.846,5,28,19,5,5,12,16,26,58,0.448,7,15,0.467,12,12,1.0,8,22,6,4,3,8,15,saint-marys-ca,23,14
2018-12-04,,Bethune-Cookman,W,93,61,32,54,0.593,10,25,0.4,19,31,0.613,8,35,17,6,6,7,20,22,56,0.393,3,14,0.214,14,19,0.737,7,25,7,1,2,10,25,saint-marys-ca,27,18
2018-12-07,N,New Mexico,W,85,60,33,55,0.6,6,18,0.333,13,18,0.722,6,35,17,2,5,14,20,23,66,0.348,4,26,0.154,10,16,0.625,13,27,8,5,1,10,15,saint-marys-ca,29,14
2018-12-10,,Cal State Fullerton,W,81,66,29,54,0.537,11,21,0.524,12,14,0.857,7,28,18,6,4,8,13,27,55,0.491,5,9,0.556,7,7,1.0,3,20,14,4,2,10,13,saint-marys-ca,21,17
2018-12-15,N,LSU,L,74,78,25,52,0.481,6,17,0.353,18,25,0.72,7,32,9,7,1,19,22,25,56,0.446,6,17,0.353,22,25,0.88,5,21,11,11,4,11,22,saint-marys-ca,25,16
2018-12-19,,Bucknell,W,85,56,35,64,0.547,10,21,0.476,5,5,1.0,8,40,18,6,1,10,14,22,63,0.349,5,25,0.2,7,7,1.0,6,24,14,3,2,7,11,saint-marys-ca,32,18
2018-12-22,@,Western Kentucky,L,68,71,26,64,0.406,8,17,0.471,8,9,0.889,12,32,8,5,2,13,16,29,50,0.58,6,12,0.5,7,12,0.583,2,25,12,7,9,15,15,saint-marys-ca,20,23
2018-12-29,,San Jose State,W,75,45,31,64,0.484,8,25,0.32,5,7,0.7140000000000001,9,32,10,14,1,9,19,16,50,0.32,6,17,0.353,7,12,0.583,7,26,6,5,2,19,8,saint-marys-ca,23,19
2019-01-03,@,San Francisco,L,72,76,28,65,0.431,5,15,0.333,11,16,0.688,8,34,7,8,2,8,21,26,58,0.448,7,17,0.412,17,25,0.68,11,38,11,3,4,10,13,saint-marys-ca,26,27
2019-01-05,,BYU,W,88,66,34,62,0.5479999999999999,9,21,0.429,11,15,0.733,6,32,14,10,2,7,19,22,54,0.407,6,17,0.353,16,22,0.727,5,29,7,1,2,13,16,saint-marys-ca,26,24
2019-01-12,@,Loyola Marymount,W,71,60,25,48,0.521,9,18,0.5,12,14,0.857,9,27,13,5,1,11,14,25,51,0.49,3,11,0.273,7,10,0.7,6,22,19,4,4,10,15,saint-marys-ca,18,16
2019-01-17,,Santa Clara,W,75,55,22,47,0.468,9,23,0.391,22,26,0.846,9,28,10,8,0,18,21,18,44,0.409,2,12,0.16699999999999998,17,21,0.81,8,23,6,8,4,19,23,saint-marys-ca,19,15
