date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Wagner,W,89,49,30,58,0.517,10,24,0.41700000000000004,19,25,0.76,11,37,20,11,8,7,17,18,56,0.321,6,26,0.231,7,10,0.7,10,28,10,4,1,16,21,seton-hall,26,18
2018-11-14,@,Nebraska,L,57,80,21,59,0.35600000000000004,2,16,0.125,13,20,0.65,10,35,3,1,3,13,20,26,63,0.413,8,23,0.348,20,27,0.741,14,41,15,7,6,8,16,seton-hall,25,27
2018-11-17,,Saint Louis,L,64,66,19,57,0.33299999999999996,4,17,0.235,22,31,0.71,5,22,4,8,4,7,20,20,42,0.47600000000000003,5,8,0.625,21,30,0.7,7,33,8,8,7,23,27,seton-hall,17,26
2018-11-22,N,Grand Canyon,W,82,75,28,45,0.622,6,12,0.5,20,33,0.606,3,28,15,7,3,12,23,25,56,0.446,11,30,0.3670000000000001,12,16,0.75,5,25,18,2,3,10,22,seton-hall,25,20
2018-11-23,N,Hawaii,W,64,54,23,54,0.426,5,17,0.294,13,18,0.722,8,30,12,6,2,9,18,20,48,0.41700000000000004,8,23,0.348,6,10,0.6,2,24,11,2,2,15,19,seton-hall,22,22
2018-11-25,N,Miami (FL),W,83,81,34,65,0.523,6,23,0.261,9,14,0.643,6,28,15,5,1,13,21,30,55,0.545,7,20,0.35,14,18,0.778,3,27,11,4,4,16,18,seton-hall,22,24
2018-12-01,,Louisville,L,65,70,25,62,0.40299999999999997,3,18,0.16699999999999998,12,15,0.8,4,26,11,6,4,7,15,25,57,0.439,9,27,0.33299999999999996,11,12,0.917,6,37,13,4,7,14,14,seton-hall,22,31
2018-12-04,,New Hampshire,W,77,57,27,57,0.474,8,21,0.381,15,22,0.682,10,37,15,6,4,10,13,21,56,0.375,11,29,0.379,4,6,0.667,4,26,14,1,1,14,20,seton-hall,27,22
2018-12-08,N,Kentucky,W (1 OT),84,83,27,59,0.45799999999999996,11,26,0.423,19,26,0.731,7,29,15,8,5,16,25,27,62,0.435,5,20,0.25,24,30,0.8,9,34,14,3,7,15,21,seton-hall,22,25
2018-12-15,,Rutgers,W,72,66,20,49,0.408,11,27,0.40700000000000003,21,32,0.6559999999999999,7,35,14,5,8,11,18,25,79,0.316,6,29,0.207,10,15,0.667,19,44,13,10,5,10,26,seton-hall,28,25
