date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Eastern Washington,W,66,34,24,62,0.387,3,17,0.17600000000000002,15,28,0.536,12,46,11,10,4,9,17,13,59,0.22,6,35,0.171,2,8,0.25,10,32,11,4,2,19,23,syracuse,34,22
2018-11-10,,Morehead State,W,84,70,28,68,0.412,3,16,0.188,25,30,0.833,14,45,11,6,8,14,18,28,70,0.4,7,24,0.292,7,12,0.583,8,29,14,7,3,12,24,syracuse,31,21
2018-11-15,N,UConn,L,76,83,26,66,0.394,6,22,0.273,18,25,0.72,7,26,10,8,4,10,24,28,57,0.491,12,21,0.5710000000000001,15,23,0.652,12,40,22,6,8,19,22,syracuse,19,28
2018-11-16,N,Oregon,L,65,80,18,51,0.353,5,28,0.179,24,31,0.774,10,22,12,12,1,16,24,25,50,0.5,7,20,0.35,23,25,0.92,11,32,17,9,7,18,20,syracuse,12,21
2018-11-21,,Colgate,W,77,56,26,60,0.433,7,20,0.35,18,30,0.6,17,41,13,13,3,9,14,18,51,0.353,12,40,0.3,8,10,0.8,5,24,14,4,1,15,20,syracuse,24,19
2018-11-28,@,Ohio State,W,72,62,22,45,0.489,11,24,0.458,17,19,0.895,4,25,13,1,3,12,28,15,46,0.326,6,22,0.273,26,35,0.743,8,28,12,5,1,10,17,syracuse,21,20
2018-12-01,,Cornell,W,63,55,21,42,0.5,8,21,0.381,13,21,0.619,5,24,9,7,4,10,11,20,43,0.465,9,24,0.375,6,9,0.667,3,20,17,4,2,9,17,syracuse,19,17
2018-12-04,,Northeastern,W,72,49,26,60,0.433,9,31,0.29,11,17,0.647,13,41,20,8,5,7,15,17,50,0.34,6,28,0.214,9,12,0.75,6,27,11,4,0,11,14,syracuse,28,21
2018-12-08,,Georgetown,W,72,71,25,58,0.431,8,28,0.28600000000000003,14,22,0.636,6,31,13,10,5,9,17,25,63,0.397,10,31,0.32299999999999995,11,17,0.647,13,40,17,4,3,15,15,syracuse,25,27
2018-12-15,,Old Dominion,L,62,68,16,48,0.333,8,22,0.364,22,34,0.647,5,27,13,8,4,12,17,23,50,0.46,9,26,0.34600000000000003,13,20,0.65,8,33,14,7,2,16,25,syracuse,22,25
2018-12-18,,Buffalo,L,59,71,24,57,0.421,6,22,0.273,5,13,0.385,7,29,7,6,5,15,19,23,62,0.371,10,33,0.303,15,20,0.75,14,40,12,9,1,16,18,syracuse,22,26
