date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,La Salle,W,75,67,22,57,0.386,5,16,0.313,26,36,0.722,14,47,14,6,3,15,20,22,62,0.355,8,24,0.33299999999999996,15,18,0.833,4,26,8,7,4,9,27,temple,33,22
2018-11-09,,Detroit,W,83,67,29,62,0.46799999999999997,11,27,0.40700000000000003,14,20,0.7,14,34,18,11,2,16,18,25,52,0.48100000000000004,9,25,0.36,8,13,0.615,6,21,12,8,2,19,16,temple,20,15
2018-11-13,,Georgia,W,81,77,30,69,0.435,6,20,0.3,15,18,0.833,7,26,11,13,2,10,17,28,55,0.509,4,10,0.4,17,22,0.773,3,30,15,9,4,17,17,temple,19,27
2018-11-16,,Loyola (MD),W,81,67,31,67,0.46299999999999997,6,22,0.273,13,16,0.813,8,27,19,10,6,6,14,24,53,0.45299999999999996,9,24,0.375,10,12,0.833,7,31,11,5,4,21,14,temple,19,24
2018-11-19,N,VCU,L,51,57,20,62,0.32299999999999995,4,28,0.14300000000000002,7,15,0.467,11,33,8,13,1,13,17,22,48,0.45799999999999996,6,20,0.3,7,13,0.5379999999999999,7,32,11,6,3,19,20,temple,22,25
2018-11-20,N,California,W,76,59,31,57,0.544,9,21,0.429,5,10,0.5,5,28,24,10,4,11,18,21,47,0.447,8,15,0.5329999999999999,9,18,0.5,2,24,10,4,0,14,15,temple,23,22
2018-11-27,@,Missouri,W,79,77,33,64,0.516,9,26,0.34600000000000003,4,8,0.5,6,22,18,8,0,5,17,26,50,0.52,11,19,0.579,14,20,0.7,11,37,11,2,1,15,14,temple,16,26
2018-12-01,@,St. Joseph's,W,77,70,27,68,0.397,6,27,0.222,17,18,0.9440000000000001,9,39,16,5,2,8,18,24,61,0.39299999999999996,7,24,0.292,15,23,0.652,6,31,9,4,3,7,15,temple,30,25
2018-12-05,@,Villanova,L,59,69,23,51,0.451,4,14,0.28600000000000003,9,12,0.75,5,25,7,4,0,9,20,21,52,0.40399999999999997,7,21,0.33299999999999996,20,25,0.8,10,34,11,3,1,6,12,temple,20,24
2018-12-12,,UMass,W,65,63,23,61,0.377,2,18,0.111,17,21,0.81,9,30,7,11,3,11,16,25,59,0.424,5,24,0.20800000000000002,8,10,0.8,8,37,10,3,1,17,17,temple,21,29
2018-12-15,N,Davidson,W (1 OT),77,75,29,63,0.46,12,31,0.387,7,13,0.5379999999999999,6,30,22,11,2,13,14,27,57,0.474,13,27,0.48100000000000004,8,12,0.667,6,31,16,7,3,16,14,temple,24,25
2018-12-22,@,Drexel,W,82,64,32,67,0.478,7,23,0.304,11,14,0.7859999999999999,7,34,16,8,1,8,14,24,55,0.436,4,15,0.267,12,19,0.632,6,33,13,2,0,16,14,temple,27,27
