date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Lenoir-Rhyne,W,86,41,34,60,0.5670000000000001,5,14,0.35700000000000004,13,21,0.619,8,44,22,9,10,11,16,14,67,0.209,7,35,0.2,6,11,0.545,12,35,7,7,1,15,20,tennessee,36,23
2018-11-09,,Louisiana,W,87,65,34,63,0.54,9,21,0.429,10,12,0.833,10,38,27,3,4,11,15,25,63,0.397,8,25,0.32,7,14,0.5,8,26,11,7,1,12,16,tennessee,28,18
2018-11-13,,Georgia Tech,W,66,53,19,48,0.396,4,12,0.333,24,38,0.632,11,43,12,6,4,12,19,16,58,0.276,3,19,0.158,18,21,0.857,7,31,5,6,2,13,30,tennessee,32,24
2018-11-21,N,Louisville,W,92,81,34,63,0.54,8,22,0.364,16,25,0.64,7,35,22,5,8,10,19,26,59,0.441,11,28,0.393,18,24,0.75,8,31,15,7,3,14,20,tennessee,28,23
2018-11-23,N,Kansas,L (1 OT),81,87,31,75,0.413,7,27,0.259,12,17,0.706,12,39,19,5,4,14,25,30,60,0.5,5,17,0.294,22,34,0.647,9,38,13,6,2,16,18,tennessee,27,29
2018-11-28,,Eastern Kentucky,W,95,67,35,69,0.507,7,28,0.25,18,25,0.72,17,48,24,5,5,16,20,21,59,0.35600000000000004,8,29,0.276,17,25,0.68,6,26,11,13,0,20,23,tennessee,31,20
2018-12-02,,Texas A&M-Corpus Christi,W,79,51,26,49,0.531,7,17,0.412,20,25,0.8,4,34,20,10,6,13,7,19,59,0.322,9,25,0.36,4,6,0.667,8,29,10,6,1,14,19,tennessee,30,21
2018-12-09,N,Gonzaga,W,76,73,29,72,0.403,12,29,0.414,6,10,0.6,16,38,22,2,4,7,16,27,59,0.458,7,18,0.389,12,19,0.632,10,39,14,4,2,11,17,tennessee,22,29
2018-12-15,@,Memphis,W,102,92,27,52,0.519,9,24,0.375,39,46,0.848,10,37,21,4,9,17,22,33,77,0.429,10,29,0.345,16,22,0.727,18,34,21,10,2,9,35,tennessee,27,16
2018-12-19,,Samford,W,83,70,33,57,0.579,5,14,0.35700000000000004,12,20,0.6,6,34,22,7,4,9,17,23,63,0.365,7,23,0.304,17,22,0.773,12,34,13,7,2,12,17,tennessee,28,22
2018-12-22,,Wake Forest,W,83,64,32,60,0.5329999999999999,3,13,0.231,16,21,0.762,8,33,17,3,4,5,21,22,54,0.407,5,23,0.217,15,22,0.682,8,25,13,4,2,8,18,tennessee,25,17
2018-12-29,,Tennessee Tech,W,96,53,37,58,0.638,4,8,0.5,18,22,0.818,8,37,25,10,12,13,16,21,57,0.368,6,19,0.316,5,20,0.25,11,24,11,8,1,17,15,tennessee,29,13
2019-01-05,,Georgia,W,96,50,34,64,0.531,6,18,0.333,22,26,0.846,10,40,25,5,7,9,23,17,53,0.321,1,20,0.05,15,27,0.556,5,24,8,6,2,13,21,tennessee,30,19
2019-01-08,@,Missouri,W,87,63,31,58,0.534,7,19,0.368,18,21,0.857,9,36,12,5,6,11,18,21,57,0.368,8,22,0.364,13,20,0.65,10,24,12,3,3,14,19,tennessee,27,14
2019-01-12,@,Florida,W,78,67,29,55,0.527,9,23,0.391,11,14,0.7859999999999999,10,32,15,7,3,12,19,19,54,0.35200000000000004,12,32,0.375,17,21,0.81,6,23,11,4,1,12,16,tennessee,22,17
2019-01-15,,Arkansas,W,106,87,30,57,0.526,11,18,0.611,35,39,0.897,11,30,19,9,3,17,17,32,67,0.478,10,26,0.385,13,22,0.591,15,31,16,9,1,18,27,tennessee,19,16
2019-01-19,,Alabama,W,71,68,28,64,0.438,3,12,0.25,12,16,0.75,10,33,16,6,7,9,18,25,59,0.424,10,26,0.385,8,18,0.444,9,36,13,3,4,13,20,tennessee,23,27
2019-01-23,@,Vanderbilt,W (1 OT),88,83,27,58,0.466,5,20,0.25,29,32,0.906,3,27,16,5,7,8,20,30,60,0.5,10,21,0.476,13,21,0.619,5,27,17,5,3,15,29,tennessee,24,22
2019-01-26,,West Virginia,W,83,66,29,61,0.475,6,16,0.375,19,26,0.731,8,27,19,10,5,16,19,24,55,0.436,8,21,0.381,10,18,0.556,8,30,14,9,5,24,25,tennessee,19,22
