date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Gardner-Webb,W,69,57,25,59,0.424,7,23,0.304,12,18,0.667,10,32,14,10,7,18,18,20,52,0.385,5,16,0.313,12,20,0.6,6,25,12,6,5,20,17,virginia-commonwealth,22,19
2018-11-09,,Hampton,W,69,57,23,54,0.426,5,20,0.25,18,31,0.581,4,37,14,8,4,16,25,18,62,0.29,3,17,0.17600000000000002,18,24,0.75,12,41,7,2,3,17,26,virginia-commonwealth,33,29
2018-11-12,,Bowling Green State,W,72,61,21,58,0.362,8,29,0.276,22,28,0.7859999999999999,11,30,13,11,6,15,25,19,54,0.35200000000000004,6,18,0.333,17,27,0.63,15,43,8,6,1,25,26,virginia-commonwealth,19,28
2018-11-19,N,Temple,W,57,51,22,48,0.458,6,20,0.3,7,13,0.5379999999999999,7,32,11,6,3,19,20,20,62,0.32299999999999995,4,28,0.14300000000000002,7,15,0.467,11,33,8,13,1,13,17,virginia-commonwealth,25,22
2018-11-20,N,St. John's (NY),L (1 OT),86,87,26,62,0.419,13,34,0.382,21,27,0.778,9,43,16,5,4,22,25,31,73,0.425,6,22,0.273,19,24,0.792,9,31,16,14,1,9,21,virginia-commonwealth,34,22
2018-11-24,,Hofstra,W (1 OT),69,67,30,72,0.417,6,30,0.2,3,6,0.5,14,39,15,14,5,13,20,22,60,0.3670000000000001,6,21,0.28600000000000003,17,20,0.85,7,35,9,5,3,19,14,virginia-commonwealth,25,28
2018-11-28,@,Old Dominion,L,52,62,17,49,0.34700000000000003,6,20,0.3,12,17,0.706,5,29,8,1,2,14,20,21,60,0.35,4,18,0.222,16,23,0.696,12,37,8,5,7,8,16,virginia-commonwealth,24,25
2018-12-01,,Iona,W,88,59,28,66,0.424,11,30,0.3670000000000001,21,36,0.583,15,41,16,14,7,8,23,19,51,0.373,4,19,0.211,17,23,0.7390000000000001,6,32,7,3,3,21,27,virginia-commonwealth,26,26
2018-12-05,@,Texas,W,54,53,16,57,0.281,6,25,0.24,16,21,0.762,16,35,6,7,6,14,17,22,53,0.415,4,17,0.235,5,8,0.625,7,33,12,5,4,17,21,virginia-commonwealth,19,26
2018-12-09,@,Virginia,L,49,57,18,61,0.295,6,29,0.207,7,11,0.636,12,31,7,2,4,7,21,13,44,0.295,5,18,0.278,26,30,0.867,11,36,9,4,2,12,18,virginia-commonwealth,19,25
2018-12-15,,College of Charleston,L,79,83,27,64,0.422,6,27,0.222,19,30,0.633,11,29,13,12,5,16,24,26,51,0.51,6,16,0.375,25,33,0.758,5,33,10,10,0,22,24,virginia-commonwealth,18,28
2018-12-22,,Wichita State,W,70,54,28,56,0.5,5,25,0.2,9,12,0.75,8,29,16,10,3,9,16,21,59,0.35600000000000004,6,26,0.231,6,10,0.6,14,35,10,3,1,16,18,virginia-commonwealth,21,21
2018-12-30,,Rider,W,90,79,33,62,0.532,14,29,0.483,10,14,0.7140000000000001,9,34,24,8,1,12,18,30,63,0.476,10,24,0.417,9,17,0.529,10,32,20,10,1,14,17,virginia-commonwealth,25,22
2019-01-05,@,Fordham,W,76,51,30,45,0.667,7,16,0.438,9,10,0.9,2,26,17,8,1,19,20,17,52,0.327,6,21,0.28600000000000003,11,17,0.647,10,22,11,6,1,17,11,virginia-commonwealth,24,12
2019-01-09,,La Salle,W,69,63,20,53,0.377,5,17,0.294,24,34,0.706,12,39,13,6,9,18,19,21,59,0.35600000000000004,5,20,0.25,16,20,0.8,11,38,10,10,2,19,27,virginia-commonwealth,27,27
2019-01-12,@,Davidson,L,57,64,19,51,0.373,4,24,0.16699999999999998,15,20,0.75,5,32,6,5,4,13,19,21,55,0.382,7,20,0.35,15,19,0.789,6,29,11,3,1,9,15,virginia-commonwealth,27,23
2019-01-16,,Dayton,W,76,71,27,59,0.458,9,19,0.474,13,22,0.591,12,38,12,5,4,9,19,26,55,0.473,4,16,0.25,15,23,0.652,7,30,16,3,3,12,21,virginia-commonwealth,26,23
2019-01-19,,UMass,W,68,50,19,42,0.452,6,13,0.462,24,32,0.75,7,34,12,7,7,19,21,17,58,0.293,5,21,0.238,11,17,0.647,12,29,10,8,4,18,29,virginia-commonwealth,27,17
2019-01-23,@,Rhode Island,L,65,71,22,51,0.431,2,12,0.16699999999999998,19,25,0.76,8,32,7,8,9,18,22,25,61,0.41,1,9,0.111,20,26,0.769,13,36,9,6,4,13,20,virginia-commonwealth,24,23
2019-01-26,@,Duquesne,W,80,74,27,56,0.482,3,13,0.231,23,32,0.7190000000000001,13,42,14,10,4,13,20,25,57,0.439,10,27,0.37,14,25,0.56,8,26,16,6,8,17,25,virginia-commonwealth,29,18
2019-02-02,,George Mason,W,79,63,26,55,0.473,11,32,0.344,16,23,0.696,3,31,21,7,6,11,18,25,58,0.431,2,19,0.105,11,19,0.579,6,35,10,8,0,14,23,virginia-commonwealth,28,29
2019-02-06,@,George Washington,W,60,50,23,54,0.426,3,20,0.15,11,18,0.611,13,38,12,6,2,14,20,15,44,0.341,3,14,0.214,17,22,0.773,6,28,10,6,1,16,18,virginia-commonwealth,25,22
2019-02-09,@,St. Bonaventure,W,85,55,31,61,0.508,6,22,0.273,17,23,0.7390000000000001,12,47,13,9,6,16,22,17,64,0.266,1,18,0.056,20,27,0.741,14,33,5,6,3,13,19,virginia-commonwealth,35,19
2019-02-13,,Richmond,W,81,60,27,47,0.574,10,22,0.455,17,23,0.7390000000000001,7,28,19,9,5,15,23,20,43,0.465,6,14,0.429,14,27,0.519,7,19,12,11,1,15,20,virginia-commonwealth,21,12
2019-02-16,@,Dayton,W,69,68,27,57,0.474,8,23,0.348,7,9,0.778,13,34,15,6,4,14,17,25,50,0.5,7,15,0.467,11,18,0.611,5,22,16,5,2,14,13,virginia-commonwealth,21,17
2019-02-19,,Rhode Island,W,76,42,31,62,0.5,11,27,0.407,3,4,0.75,7,30,23,10,1,6,19,13,43,0.302,2,11,0.182,14,18,0.778,9,30,8,3,2,19,15,virginia-commonwealth,23,21
2019-02-23,,George Washington,W,85,57,28,60,0.467,9,23,0.391,20,25,0.8,9,36,18,9,4,9,15,21,54,0.389,6,14,0.429,9,10,0.9,6,29,11,3,4,15,18,virginia-commonwealth,27,23
2019-02-26,,Saint Louis,W,71,65,23,51,0.451,7,25,0.28,18,25,0.72,8,22,13,7,5,12,20,23,50,0.46,4,15,0.267,15,25,0.6,10,31,14,9,3,16,26,virginia-commonwealth,14,21
2019-03-02,@,Richmond,W,69,66,27,54,0.5,5,20,0.25,10,16,0.625,9,34,13,10,3,15,17,24,50,0.48,10,20,0.5,8,19,0.421,6,27,18,11,1,15,18,virginia-commonwealth,25,21
2019-03-05,@,George Mason,W,71,36,30,68,0.441,6,26,0.231,5,7,0.7140000000000001,13,38,10,12,5,12,21,12,49,0.245,2,18,0.111,10,19,0.526,10,31,4,6,1,21,14,virginia-commonwealth,25,21
2019-03-08,,St. Joseph's,W,75,63,27,59,0.458,11,30,0.3670000000000001,10,15,0.667,7,35,21,7,1,10,12,23,59,0.39,8,25,0.32,9,10,0.9,6,30,10,6,4,10,15,virginia-commonwealth,28,24
2019-03-15,N,Rhode Island,L,70,75,23,58,0.397,7,20,0.35,17,25,0.68,13,35,12,6,8,12,18,26,60,0.433,5,13,0.385,18,21,0.857,12,34,9,4,4,12,17,virginia-commonwealth,22,22
