date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-09,,Gardner-Webb,W,87,59,32,63,0.508,10,25,0.4,13,19,0.684,9,29,20,16,3,20,25,21,45,0.467,6,21,0.28600000000000003,11,21,0.524,2,22,11,3,5,29,19,virginia-tech,20,20
2018-11-15,N,Ball State,W,73,64,29,63,0.46,7,26,0.26899999999999996,8,9,0.889,10,29,14,7,3,8,17,22,52,0.423,9,27,0.33299999999999996,11,14,0.7859999999999999,10,30,11,4,6,14,11,virginia-tech,19,20
2018-11-16,N,Northeastern,W,88,60,36,62,0.581,14,27,0.519,2,4,0.5,9,27,21,5,4,9,13,20,46,0.435,13,26,0.5,7,8,0.875,7,24,15,1,2,16,11,virginia-tech,18,17
2018-11-18,N,Purdue,W,89,83,30,55,0.545,10,24,0.41700000000000004,19,26,0.731,4,21,15,6,1,9,14,31,61,0.508,14,33,0.424,7,11,0.636,11,30,18,7,1,13,21,virginia-tech,17,19
2018-11-24,,Saint Francis (PA),W,75,37,27,56,0.48200000000000004,14,31,0.452,7,9,0.778,7,32,20,7,3,14,10,15,58,0.259,4,22,0.182,3,3,1.0,13,33,6,6,2,20,15,virginia-tech,25,20
2018-11-27,@,Penn State,L,62,63,22,50,0.44,10,19,0.526,8,13,0.615,8,26,9,11,3,14,14,25,57,0.439,9,29,0.31,4,7,0.5710000000000001,13,35,14,8,5,16,16,virginia-tech,18,22
2018-12-01,,Central Connecticut,W,94,40,36,63,0.5710000000000001,18,33,0.545,4,10,0.4,7,33,28,9,3,9,14,14,54,0.259,7,28,0.25,5,7,0.7140000000000001,6,23,9,4,4,17,14,virginia-tech,26,17
2018-12-05,,VMI,W,89,68,30,58,0.517,11,25,0.44,18,25,0.72,8,34,19,4,3,11,16,26,60,0.433,6,25,0.24,10,14,0.7140000000000001,3,25,9,5,1,14,22,virginia-tech,26,22
2018-12-09,,South Carolina State,W,81,44,28,58,0.483,11,24,0.45799999999999996,14,19,0.737,13,38,19,13,5,13,14,18,53,0.34,1,13,0.077,7,12,0.583,10,27,6,5,3,19,18,virginia-tech,25,17
2018-12-15,N,Washington,W,73,61,24,56,0.429,8,22,0.364,17,21,0.81,8,30,14,7,1,11,17,22,60,0.3670000000000001,10,30,0.33299999999999996,7,14,0.5,14,32,15,9,4,15,20,virginia-tech,22,18
2018-12-19,,North Carolina A&T,W,82,60,30,61,0.4920000000000001,7,20,0.35,15,17,0.882,11,37,14,4,3,12,9,24,53,0.45299999999999996,10,24,0.41700000000000004,2,4,0.5,3,19,15,5,2,14,13,virginia-tech,26,16
2018-12-28,,Maryland-Eastern Shore,W,85,40,29,44,0.659,14,26,0.5379999999999999,13,18,0.722,4,34,22,4,2,9,11,13,44,0.295,6,24,0.25,8,12,0.667,2,17,11,2,1,9,17,virginia-tech,30,15
2019-01-01,,Notre Dame,W,81,66,33,55,0.6,11,18,0.611,4,5,0.8,2,24,19,5,1,7,13,23,56,0.41100000000000003,13,34,0.382,7,13,0.5379999999999999,13,30,13,2,5,11,10,virginia-tech,22,17
2019-01-05,,Boston College,W,77,66,25,54,0.46299999999999997,6,22,0.273,21,25,0.84,8,31,13,5,2,11,18,19,48,0.396,8,27,0.29600000000000004,20,25,0.8,5,25,10,4,2,12,22,virginia-tech,23,20
2019-01-09,@,Georgia Tech,W,52,49,17,57,0.298,5,27,0.185,13,19,0.684,9,30,12,3,2,8,15,17,38,0.447,6,16,0.375,9,16,0.563,2,29,12,5,4,18,22,virginia-tech,21,27
2019-01-15,@,Virginia,L,59,81,19,44,0.4320000000000001,7,21,0.33299999999999996,14,17,0.8240000000000001,5,16,10,6,1,9,10,31,53,0.585,13,24,0.542,6,6,1.0,8,27,18,4,2,9,10,virginia-tech,11,19
2019-01-19,,Wake Forest,W,87,71,29,51,0.569,11,26,0.423,18,22,0.818,4,22,15,8,4,11,24,18,48,0.375,8,24,0.33299999999999996,27,38,0.711,12,30,8,3,0,14,18,virginia-tech,18,18
2019-01-21,@,UNC,L,82,103,27,61,0.44299999999999995,13,28,0.46399999999999997,15,16,0.938,10,30,21,8,1,15,18,36,67,0.537,16,34,0.47100000000000003,15,17,0.882,10,32,25,9,2,12,13,virginia-tech,20,22
2019-01-26,,Syracuse,W,78,56,25,48,0.521,14,30,0.467,14,20,0.7,7,29,23,4,2,12,15,20,55,0.364,9,28,0.321,7,14,0.5,8,23,7,8,2,14,17,virginia-tech,22,15
2019-01-30,@,Miami (FL),W,82,70,30,51,0.588,9,19,0.474,13,15,0.867,2,26,13,11,3,15,14,23,56,0.41100000000000003,12,33,0.364,12,14,0.857,4,22,14,11,1,16,12,virginia-tech,24,18
2019-02-02,@,NC State,W,47,24,16,45,0.35600000000000004,7,21,0.33299999999999996,8,13,0.615,10,37,8,8,3,10,11,9,54,0.16699999999999998,2,28,0.071,4,6,0.667,13,32,2,5,3,10,16,virginia-tech,27,19
2019-02-04,,Louisville,L,64,72,20,45,0.444,9,24,0.375,15,21,0.7140000000000001,4,24,13,4,5,12,14,24,53,0.45299999999999996,13,27,0.48100000000000004,11,12,0.917,10,30,14,3,0,15,16,virginia-tech,20,20
2019-02-09,@,Clemson,L,51,59,15,53,0.28300000000000003,5,19,0.263,16,17,0.941,11,33,8,9,1,11,17,19,46,0.413,11,28,0.39299999999999996,10,13,0.769,5,28,13,6,12,12,18,virginia-tech,22,23
2019-02-13,,Georgia Tech,W,76,68,25,53,0.47200000000000003,13,30,0.433,13,18,0.722,7,23,20,7,3,9,16,23,53,0.434,11,27,0.40700000000000003,11,13,0.846,7,26,15,2,4,10,14,virginia-tech,16,19
2019-02-16,@,Pitt,W,70,64,21,41,0.512,10,21,0.47600000000000003,18,26,0.6920000000000001,6,27,14,6,1,14,24,20,43,0.465,6,22,0.273,18,27,0.667,6,22,11,7,2,15,22,virginia-tech,21,16
2019-02-18,,Virginia,L,58,64,23,58,0.397,3,28,0.107,9,13,0.6920000000000001,11,26,9,9,2,8,12,23,50,0.46,11,27,0.40700000000000003,7,12,0.583,6,27,14,5,4,13,15,virginia-tech,15,21
2019-02-23,@,Notre Dame,W,67,59,19,52,0.365,5,18,0.278,24,31,0.774,16,45,8,5,2,15,18,19,58,0.32799999999999996,6,26,0.231,15,16,0.938,8,26,9,9,2,10,25,virginia-tech,29,18
2019-02-26,,Duke,W,77,72,23,50,0.46,8,26,0.308,23,29,0.7929999999999999,6,26,12,6,1,5,15,25,50,0.5,7,21,0.33299999999999996,15,19,0.789,7,29,11,1,4,12,20,virginia-tech,20,22
2019-03-05,@,Florida State,L (1 OT),64,73,22,53,0.415,8,27,0.29600000000000004,12,15,0.8,7,37,11,3,0,14,21,22,58,0.379,10,36,0.278,19,22,0.8640000000000001,8,31,12,6,1,7,15,virginia-tech,30,23
2019-03-08,,Miami (FL),W,84,70,29,59,0.4920000000000001,14,26,0.5379999999999999,12,13,0.9229999999999999,5,30,19,2,0,8,13,27,59,0.45799999999999996,6,29,0.207,10,14,0.7140000000000001,6,29,17,5,4,8,13,virginia-tech,25,23
2019-03-13,N,Miami (FL),W,71,56,27,54,0.5,11,27,0.40700000000000003,6,7,0.857,7,34,17,4,3,9,15,19,56,0.33899999999999997,8,29,0.276,10,14,0.7140000000000001,9,29,10,3,0,8,10,virginia-tech,27,20
2019-03-14,N,Florida State,L (1 OT),63,65,26,59,0.441,4,19,0.21100000000000002,7,13,0.5379999999999999,6,28,11,7,3,9,12,22,57,0.386,12,31,0.387,9,11,0.818,8,38,14,5,3,13,17,virginia-tech,22,30
