date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Towson,W,73,42,26,54,0.48100000000000004,10,26,0.385,11,18,0.611,11,34,19,6,3,5,19,13,41,0.317,4,14,0.28600000000000003,12,27,0.444,11,31,0,3,0,14,18,virginia,23,20
2018-11-11,,George Washington,W,76,57,30,55,0.545,8,19,0.42100000000000004,8,13,0.615,5,31,18,7,3,11,22,18,45,0.4,6,18,0.33299999999999996,15,23,0.652,5,24,8,4,2,15,21,virginia,26,19
2018-11-16,,Coppin State,W,97,40,35,58,0.603,15,25,0.6,12,15,0.8,5,34,24,8,5,4,8,17,52,0.327,6,24,0.25,0,0,,4,23,10,0,0,14,19,virginia,29,19
2018-11-21,N,Middle Tennessee,W,74,52,26,56,0.46399999999999997,8,23,0.348,14,20,0.7,9,32,16,8,4,13,11,20,51,0.392,3,13,0.231,9,12,0.75,5,24,12,9,4,14,18,virginia,23,19
2018-11-22,N,Dayton,W,66,59,21,49,0.429,7,20,0.35,17,22,0.773,12,27,8,6,0,9,14,25,46,0.5429999999999999,5,14,0.35700000000000004,4,8,0.5,9,27,12,6,2,12,21,virginia,15,18
2018-11-23,N,Wisconsin,W,53,46,20,54,0.37,4,17,0.235,9,12,0.75,6,28,10,9,2,5,9,21,48,0.43799999999999994,2,11,0.182,2,3,0.667,4,31,13,4,5,11,11,virginia,22,27
2018-11-28,@,Maryland,W,76,71,28,59,0.475,10,22,0.455,10,15,0.667,9,23,15,7,2,2,19,27,50,0.54,7,17,0.41200000000000003,10,16,0.625,8,30,12,0,2,13,16,virginia,14,22
2018-12-03,,Morgan State,W,83,45,27,50,0.54,8,22,0.364,21,23,0.9129999999999999,2,30,17,9,5,13,15,14,54,0.259,4,19,0.21100000000000002,13,16,0.813,6,23,5,10,2,14,21,virginia,28,17
2018-12-09,,VCU,W,57,49,13,44,0.295,5,18,0.278,26,30,0.867,11,36,9,4,2,12,18,18,61,0.295,6,29,0.207,7,11,0.636,12,31,7,2,4,7,21,virginia,25,19
2018-12-19,@,South Carolina,W,69,52,26,59,0.441,8,24,0.33299999999999996,9,13,0.6920000000000001,9,31,15,6,2,5,15,20,55,0.364,3,18,0.16699999999999998,9,13,0.6920000000000001,11,35,9,4,4,12,15,virginia,22,24
2018-12-22,,William & Mary,W,72,40,24,50,0.48,5,12,0.41700000000000004,19,21,0.905,8,42,12,4,1,7,17,16,49,0.327,2,20,0.1,6,16,0.375,6,22,3,4,3,7,17,virginia,34,16
2018-12-31,,Marshall,W,100,64,33,62,0.532,12,27,0.444,22,26,0.846,14,44,18,7,5,16,18,20,57,0.35100000000000003,6,22,0.273,18,23,0.7829999999999999,5,21,5,11,4,13,20,virginia,30,16
2019-01-05,,Florida State,W,65,52,21,52,0.40399999999999997,7,16,0.43799999999999994,16,18,0.889,6,32,12,4,2,10,16,15,44,0.341,6,23,0.261,16,27,0.593,6,29,8,9,6,13,19,virginia,26,23
2019-01-09,@,Boston College,W,83,56,33,55,0.6,8,19,0.42100000000000004,9,14,0.643,7,38,17,5,6,10,16,22,57,0.386,7,25,0.28,5,9,0.556,4,18,6,4,0,8,12,virginia,31,14
2019-01-12,@,Clemson,W,63,43,23,57,0.40399999999999997,10,23,0.435,7,12,0.583,8,43,11,4,2,8,13,14,54,0.259,3,19,0.158,12,17,0.706,7,32,5,7,2,6,14,virginia,35,25
2019-01-15,,Virginia Tech,W,81,59,31,53,0.585,13,24,0.542,6,6,1.0,8,27,18,4,2,9,10,19,44,0.4320000000000001,7,21,0.33299999999999996,14,17,0.8240000000000001,5,16,10,6,1,9,10,virginia,19,11
2019-01-19,@,Duke,L,70,72,28,53,0.528,3,17,0.17600000000000002,11,17,0.647,6,27,8,4,4,8,20,26,51,0.51,2,14,0.14300000000000002,18,31,0.581,8,30,6,5,1,8,18,virginia,21,22
2019-01-22,,Wake Forest,W,68,45,22,57,0.386,7,21,0.33299999999999996,17,21,0.81,12,39,14,6,6,7,15,17,55,0.309,6,24,0.25,5,7,0.7140000000000001,10,33,10,5,3,10,18,virginia,27,23
2019-01-26,@,Notre Dame,W,82,55,35,67,0.522,8,18,0.444,4,7,0.5710000000000001,10,44,12,2,5,2,9,22,61,0.361,8,29,0.276,3,8,0.375,8,29,10,1,3,7,8,virginia,34,21
2019-01-29,@,NC State,W (1 OT),66,65,24,52,0.462,4,10,0.4,14,19,0.737,10,36,15,2,6,15,22,22,64,0.344,7,26,0.26899999999999996,14,21,0.667,10,24,10,8,4,8,16,virginia,26,14
2019-02-02,,Miami (FL),W,56,46,22,52,0.423,6,17,0.353,6,10,0.6,10,40,16,5,6,14,10,17,50,0.34,4,21,0.19,8,15,0.5329999999999999,5,23,6,6,2,7,14,virginia,30,18
2019-02-09,,Duke,L,71,81,28,60,0.467,10,24,0.41700000000000004,5,7,0.7140000000000001,11,25,15,8,5,13,17,26,45,0.578,13,21,0.619,16,23,0.696,7,24,18,12,5,15,9,virginia,14,17
2019-02-11,@,UNC,W,69,61,24,45,0.5329999999999999,11,20,0.55,10,18,0.556,3,26,16,5,6,8,11,23,65,0.354,9,30,0.3,6,7,0.857,15,37,17,2,3,7,14,virginia,23,22
2019-02-16,,Notre Dame,W,60,54,19,52,0.365,8,23,0.348,14,17,0.8240000000000001,6,35,12,5,4,8,6,19,55,0.345,8,30,0.267,8,8,1.0,5,31,8,6,3,7,13,virginia,29,26
2019-02-18,@,Virginia Tech,W,64,58,23,50,0.46,11,27,0.40700000000000003,7,12,0.583,6,27,14,5,4,13,15,23,58,0.397,3,28,0.107,9,13,0.6920000000000001,11,26,9,9,2,8,12,virginia,21,15
2019-02-23,@,Louisville,W,64,52,26,56,0.46399999999999997,2,17,0.11800000000000001,10,10,1.0,6,35,12,2,7,4,12,17,55,0.309,12,33,0.364,6,8,0.75,5,26,10,2,3,5,12,virginia,29,21
2019-02-27,,Georgia Tech,W,81,51,30,54,0.556,9,17,0.529,12,17,0.706,8,37,17,3,5,7,9,21,56,0.375,5,17,0.294,4,7,0.5710000000000001,5,20,7,4,3,7,13,virginia,29,15
2019-03-02,,Pitt,W,73,49,24,41,0.585,9,16,0.563,16,20,0.8,1,24,14,9,1,10,16,17,44,0.386,6,19,0.316,9,13,0.6920000000000001,5,23,12,6,2,15,18,virginia,23,18
2019-03-04,@,Syracuse,W,79,53,28,51,0.5489999999999999,18,25,0.72,5,11,0.455,6,32,21,7,8,11,16,19,57,0.33299999999999996,8,25,0.32,7,11,0.636,11,30,8,9,4,9,13,virginia,26,19
2019-03-09,,Louisville,W,73,68,23,57,0.40399999999999997,12,28,0.429,15,21,0.7140000000000001,8,25,13,7,6,4,15,23,56,0.41100000000000003,9,25,0.36,13,17,0.765,10,34,7,2,3,10,20,virginia,17,24
2019-03-14,N,NC State,W,76,56,25,48,0.521,10,21,0.47600000000000003,16,22,0.727,5,29,18,7,1,7,19,19,49,0.38799999999999996,3,20,0.15,15,25,0.6,7,24,6,3,3,9,18,virginia,24,17
2019-03-15,N,Florida State,L,59,69,22,53,0.415,5,24,0.20800000000000002,10,13,0.769,6,18,8,5,2,7,17,26,46,0.565,6,16,0.375,11,15,0.733,9,33,10,3,3,12,16,virginia,12,24
