date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-06,,Western Kentucky,W,73,55,26,65,0.4,5,25,0.2,16,20,0.8,9,33,11,6,9,7,22,20,53,0.377,5,13,0.385,10,16,0.625,4,29,15,3,5,15,22,washington,24,25
2018-11-09,@,Auburn,L,66,88,25,45,0.556,6,14,0.429,10,17,0.588,3,21,10,8,5,18,18,29,70,0.414,12,31,0.387,18,23,0.7829999999999999,17,39,16,8,4,11,20,washington,18,22
2018-11-12,,San Diego,W,66,63,23,56,0.411,5,19,0.263,15,17,0.882,9,29,10,10,5,8,15,25,53,0.472,6,16,0.375,7,11,0.636,8,29,16,2,5,17,15,washington,20,21
2018-11-18,N,Santa Clara,W,82,68,24,50,0.48,8,20,0.4,26,34,0.765,5,29,12,8,7,14,19,26,58,0.448,4,19,0.211,12,21,0.5710000000000001,7,24,11,8,1,15,24,washington,24,17
2018-11-20,N,Texas A&M,W,71,67,20,61,0.328,6,20,0.3,25,36,0.6940000000000001,21,39,12,7,6,11,20,23,57,0.404,5,17,0.294,16,25,0.64,15,38,9,5,3,13,26,washington,18,23
2018-11-21,N,Minnesota,L,66,68,23,46,0.5,3,14,0.214,17,24,0.708,7,29,7,4,8,16,24,21,55,0.382,4,12,0.333,22,33,0.667,13,30,8,6,1,14,21,washington,22,17
2018-11-27,,Eastern Washington,W,83,59,28,54,0.519,12,28,0.429,15,27,0.556,11,41,14,7,11,17,14,19,66,0.28800000000000003,12,34,0.353,9,14,0.643,14,34,12,7,1,15,23,washington,30,20
2018-12-02,,UCSB,W,67,63,21,50,0.42,5,21,0.238,20,28,0.7140000000000001,6,30,13,10,5,14,20,22,53,0.415,8,20,0.4,11,21,0.524,10,34,12,8,1,16,23,washington,24,24
2018-12-05,@,Gonzaga,L,79,81,28,59,0.475,9,27,0.333,14,15,0.933,5,24,15,5,3,9,20,27,63,0.429,8,20,0.4,19,19,1.0,13,37,21,4,1,9,16,washington,19,24
2018-12-09,,Seattle,W,70,62,26,55,0.473,6,17,0.353,12,17,0.706,8,36,9,8,6,16,15,21,60,0.35,6,16,0.375,14,19,0.737,9,27,16,7,2,11,17,washington,28,18
2018-12-15,N,Virginia Tech,L,61,73,22,60,0.3670000000000001,10,30,0.333,7,14,0.5,14,32,15,9,4,15,20,24,56,0.429,8,22,0.364,17,21,0.81,8,30,14,7,1,11,17,washington,18,22
