date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,team,drb,opp_drb
2018-11-09,N,California,W,76,59,25,52,0.48100000000000004,9,21,0.429,17,25,0.68,6,36,14,7,4,19,29,18,51,0.353,2,10,0.2,21,32,0.6559999999999999,7,28,6,6,1,16,17,yale,30,21
2018-11-17,@,Memphis,L (2 OT),102,109,34,70,0.486,12,29,0.414,22,29,0.759,7,35,14,8,3,24,40,33,72,0.45799999999999996,6,23,0.261,37,56,0.6609999999999999,15,42,15,12,4,15,21,yale,28,27
2018-11-21,@,Vermont,L,70,79,27,55,0.491,6,18,0.33299999999999996,10,13,0.769,6,34,12,2,1,13,18,27,59,0.45799999999999996,13,34,0.382,12,17,0.706,6,29,15,8,6,6,15,yale,28,23
2018-11-28,@,Bryant,W,103,61,39,66,0.591,15,24,0.625,10,14,0.7140000000000001,8,39,29,5,4,15,17,20,60,0.33299999999999996,7,31,0.226,14,17,0.8240000000000001,8,26,6,8,2,19,19,yale,31,18
2018-12-01,N,Miami (FL),W,77,73,30,58,0.517,4,18,0.222,13,17,0.765,4,33,15,7,2,10,15,26,63,0.413,6,26,0.231,15,18,0.833,6,31,12,5,4,11,16,yale,29,25
2018-12-05,,Lehigh,W,97,87,33,65,0.508,11,31,0.355,20,25,0.8,13,42,21,5,3,12,10,31,67,0.46299999999999997,15,32,0.469,10,12,0.833,5,25,24,10,4,11,21,yale,29,20
2018-12-08,@,Duke,L,58,91,23,65,0.354,3,23,0.13,9,11,0.818,9,37,14,9,2,23,23,33,67,0.493,5,21,0.23800000000000002,20,31,0.645,13,44,20,16,6,15,14,yale,28,31
2018-12-11,,Albany (NY),W,71,63,29,54,0.537,4,14,0.28600000000000003,9,22,0.409,7,37,19,4,2,13,16,23,60,0.38299999999999995,8,26,0.308,9,13,0.6920000000000001,5,30,15,6,1,11,19,yale,30,25
2018-12-20,@,Monmouth,W,66,58,23,55,0.418,10,24,0.41700000000000004,10,18,0.556,12,38,17,4,7,16,16,21,56,0.375,1,11,0.091,15,22,0.682,11,37,8,7,2,12,18,yale,26,26
2018-12-22,,Iona,W,99,84,38,72,0.528,10,28,0.35700000000000004,13,23,0.565,17,53,30,2,4,13,16,29,70,0.414,10,35,0.28600000000000003,16,22,0.727,6,29,15,9,3,7,21,yale,36,23
